,Name,Description,Brand,Price,Image
0,ZOLUX Natural Branch Perch Large,Easy to attach securely to most cage.Comfortable for your bird's feet.Safe and Fun!,Zolux,23.1,//aleef.com/cdn/shop/products/ZOLUXNaturalBranchPerchLarge.jpg?v=1663397637
1,Zolux Straight Wood Perch,Zolux Straight Wood Perch Real WoodLength 20 cm,Zolux,24.0,//aleef.com/cdn/shop/products/3336021341639.jpg?v=1658656735
2,Prevue Pet SMALL SNUGGLE HUT For Birds and Small Pets - 21cm Hight,"Prevue Pet SMALL SNUGGLE HUT For Birds and Small Pets - 21cm HightHang in the cage to give birds and your small pet a snug hideaway
Stiff sides, soft fleece interior, hanging ties
Hand-washable.
Overall Size	18cm L x 10cm W x 21cm H",Prevue Pet,16.0,//aleef.com/cdn/shop/products/PrevuePetSMALLSNUGGLEHUTForBirds-21cmHigh.jpg?v=1663147885
3,Zolux Mineral Perches,"Zolux Mineral PerchesHelps birds to sharpen their beaks and maintain short , clean their claws in a natural way.",Zolux,19.0,//aleef.com/cdn/shop/products/3336021341554.jpg?v=1658654194
4,Prevue Pet SMALL SNUGGLE HUT For Birds&nbsp; and Small Pets - 26 cm High,"Prevue Pet SMALL SNUGGLE HUT For Birds and Small Pets - 26 cm High

Hang in the cage to give birds and your small pet a snug hideaway
Stiff sides, soft fleece interior, hanging ties
Hand-washable.
Sold as per color availability
Overall Size 24.7 L x 14.6 W x 26.6 H",Prevue Pet,25.0,//aleef.com/cdn/shop/products/PrevuePetSMALLSNUGGLEHUTForBirdsandSmallPets-26cmHight.jpg?v=1670328060
5,Zolux Rope Swing with Wooden Perch,"Complete your bird cage with new toys!Fun: different shapes to stimulate your bird’s mental activity.Natural range: plastic cords are replaced by hemp cords.Trendy colours: olive green, taupe and beige.Non-toxic: paint complies with food standards (EN71-3 standard)Made in PRC",Zolux,10.0,//aleef.com/cdn/shop/products/3336021340595.jpg?v=1658654923
6,"ZOLUX Wood Perch with Rope, Large","Fun: different shapes to stimulate your bird’s mental activity.Natural range: plastic cords are replaced by hemp cords.Trendy colours: olive green, taupe and beige.",Zolux,17.0,//aleef.com/cdn/shop/products/ZOLUXWoodPerchwithRopeL.jpg?v=1663403540
7,ZOLUX Natural Branch Perch Large,ZOLUX Natural Branch Perch- LargeEasy to attach securely to most cage.Comfortable for your bird's feet.Safe and Fun!,Zolux,20.0,//aleef.com/cdn/shop/products/3336021341622.jpg?v=1658654912
8,"Prevue Pet COCKATIEL COURT  Playground,  For Cockatiels and small Parrots","Prevue Pet COCKATIEL COURT  Playground,  For Cockatiels and small ParrotsLadder, swing & bird-safe bell included as shownLaminated floor for easy cleaningHefty hardwood construction for parakeets & small birdscolourful playground is constructed from solid hardwood and features 100% safe. A laminated base makes cleaning quick and convenient. Toys included as shownWash as needed with warm water using a soft damp cloth and mild soap. Dry thoroughly.Overall Size48.26 long, 36.83 wide, and 31.75 high cm",Prevue Pet,138.0,//aleef.com/cdn/shop/products/PrevuePetCOCKATIELCOURTPlayground_ForCockatielsandsmallParrots.jpg?v=1669529066
9,Pen Plax Cross Rope Perch,"Pen Plax Cross Rope Perch

For small and medium birds
Perfect perch for any cage. 
Versatile, it can be used outside the cage or inside.
Flexible application
Fully customizable and safe for use inside or outside the cage.
Easily attaches to any wire cage
Safe and durable construction

Size:

Diameter: 56 cm",Penn Plax,38.5,//aleef.com/cdn/shop/products/PenPlaxCrossRopePerch.jpg?v=1676109611
