,Name,Description,Brand,Price,Image
0,Prevue Pet Cuttlebone for Small Birds 2pcs×10.2cm,"Prevue Pet Cuttlebone for Small Birds 2pcs×10.2cm

a natural source of calcium and minerals for birds.
Cuttlebones help keep the birds’ beaks and nails trimmed and healthy and can be easily clipped to any cage.
Cuttlebones are suitable for small and extra-small birds, such as finches, canaries, parakeets, and cockatiels.
Cuttlebones measure approximately 4 inches long (max) and come in a natural colour.
For small and very small Birds",Prevue Pet,5.5,//aleef.com/cdn/shop/files/PrevuePetCuttleboneforSmallBirds2pcsx10.2cm.jpg?v=1688629272
1,Beaphar Eye Gel for all Pets,"Beaphar Eye Gel for all Pets

A sterile liquid gel to soothe and relieve dry and irritated eyes. 
Once applied to the eye, the gel gently softens and melts across the cornea to provide instant relief and reduce discomfort caused by dry eyes. 
Beaphar Eye Gel contains Vitamin A to help protect and repair the surface of the eye.
Ideal for helping your pet’s eyes to naturally clean dust and debris away.
Suitable for all animals, big and small.

Instructions1. Remove the screw cap on the tube.2. Hold your pet gently but firmly and place a single drop of Beaphar Eye Gel directly onto the surface of the eye, ensuring the tube does not touch the eye. You may find it helpful to support your pet in a towel to help restrain them while you are administering the Beaphar Eye Gel.3. The gel will gently melt across the surface of the eye.If required, this can be repeated every four hours.IMPORTANT:

Dispose of Beaphar Eye Gel 28 days after opening and replace it with a new one.",Beaphar,35.0,//aleef.com/cdn/shop/products/BeapharEyeGelforallPets.jpg?v=1674975039
2,Versele-Laga Prestige Kristal 2kg,Versele-Laga Prestige KristalWhite shell sand with aniseed. sterilized at high temperatureRefreshing scent. does not make dust and is environmentally friendly,Versele Laga,16.0,//aleef.com/cdn/shop/products/e7877f0de3db6452e68ccf6b655b7d3987bd60be.jpg?v=1658656136
3,"Prevue Pet CUTTLEBONE For Large & X-Large Birds ,6 inches long 2 Piece","Prevue Pet CUTTLEBONE For Large & X-Large Birds ,6 inches long 2 PieceCuttlebone is essential for all birds and promotes good health by keeping beaks and nails trimmedIncludes one metal hanger",Prevue Pet,22.0,//aleef.com/cdn/shop/products/PrevuePetCUTTLEBONEForLarge_X-LargeBirds_5incheslong.jpg?v=1669531785
4,"Prevue Pet CUTTLEBONE For Small Birds, 4 inches long Flavoured","Prevue Pet CUTTLEBONE For Small Birds, 4 inches long Flavoured  Cuttlebone is essential for all birds and promotes good health by keeping beaks and nails trimmedIncludes one metal hanger",Prevue Pet,10.2,//aleef.com/cdn/shop/products/PrevuePetCUTTLEBONEForSmallBirds_4incheslongFlavoured.jpg?v=1669533925
5,"Prevue Pet CUTTLEBONE For Small Birds , 4-inches long 6 Piece","Prevue Pet CUTTLEBONE For Small Birds , 4-inches long 6 Piece Cuttlebone is essential for all birds and promotes good health by keeping beaks and nails trimmedIncludes one metal hanger",Prevue Pet,35.0,//aleef.com/cdn/shop/products/PrevuePetCUTTLEBONEForSmallBirdsVanilla-flavoured_4incheslong6Packs.jpg?v=1669532484
6,حوض استحمام للطيور الصغيرة,"يمكن تركيبه على أغلب أقفاص الطيور
يتم تعليقة في فتحة الباب 
سهل التنظيف والإستخدام
مناسب للطيور الصغيرة
مصنوع من البلاستيك




مصنوع في ايطاليا",Zolux,28.87,//aleef.com/cdn/shop/products/3336021342216.jpg?v=1658654908
7,Versel-Laga Prestige KRISTAL - WHITE 5kg,Versel-Laga Prestige KRISTAL 15%SHELL SAND - WHITE 5kg White shell sand. .White shell sand with aniseed. sterilized at high temperature Refreshing scent. does not make dust and is environmentally friendly,Versele Laga,33.0,//aleef.com/cdn/shop/products/5410340230046.jpg?v=1658654181
8,"Zolux Litter for Bird cages and Aviaries, Anise fragrance, 2 Kg","Zolux Litter for Bird cages and Aviaries, Anise fragrance, 2 Kg 
Litter of quartz sand: 
helps digest seeds, with ground seashells and natural anise fragrance that covers bad odors. 
Ingredients: 
Quartzite, Ground seashells, Natural anise fragrance.
Directions: 
Spread a thin layer on the bottom of the cage. 
Remove, clean and replace at least once a week or more often if necessary.",Zolux,18.0,//aleef.com/cdn/shop/products/ZoluxLitterforBirdcagesandAviaries_Anisefragrance_2Kg.jpg?v=1671535635
9,"Prevue Pet CUTTLEBONE For Small Birds , 4-inches long","Prevue Pet CUTTLEBONE For Small Birds , 4-inches long  Cuttlebone is essential for all birds and promotes good health by keeping beaks and nails trimmedIncludes one metal hanger",Prevue Pet,7.0,//aleef.com/cdn/shop/products/PrevuePetCUTTLEBONEForSmallBirdsVanilla-flavoured_4incheslong.jpg?v=1669530621
