,Name,Description,Brand,Price,Image
0,Zolux Reflective Harness and leash - blue,Zolux Reflective Harness and leashHarness kit for cats that includes a 120 cm leash and adjustable harness. Reflective nylon strap for better visibility. Dimensions:Neck: Min: 18 cm / Max: 27 cmChest: Min 25 cm / Max 40 cm,Zolux,36.0,//aleef.com/cdn/shop/products/3336027200213.jpg?v=1658655808
1,Zolux Nylon cord leash 3 Miter - Red,Zolux Nylon  cord leash 3 Miterdurable Multiple colors suitable fpr training,Zolux,51.7,//aleef.com/cdn/shop/products/ZoluxNyloncordleash3MiterRed.jpg?v=1670401318
2,Zolux Reflective Harness and leash - orange,Zolux Reflective Harness and leashHarness kit for cats that includes a 120 cm leash and adjustable harness. Reflective nylon strap for better visibility. Dimensions:Neck: Min: 18 cm / Max: 27 cmChest: Min 25 cm / Max 40 cm,Zolux,36.0,//aleef.com/cdn/shop/products/3336026200214.jpg?v=1658655772
3,Zolux Reflective Harness and leash - green,Zolux Reflective Harness and leashHarness kit for cats that includes a 120 cm leash and adjustable harness. Reflective nylon strap for better visibility. Dimensions:Neck: Min: 18 cm / Max: 27 cmChest: Min 25 cm / Max 40 cm,Zolux,36.0,//aleef.com/cdn/shop/products/3336029200211.jpg?v=1658655475
4,Zolux Nylon cord leash 3 Miter - Orange,Zolux Nylon  cord leash 3 Miterdurable Multiple colors suitable fpr training,Zolux,51.7,//aleef.com/cdn/shop/products/ZoluxNyloncordleash3MiterOrange.jpg?v=1670402064
5,"Gim Dog leash for dogs, red nylon, 2 x 100 cm","Gim Dog leash for dogs, red nylon, 2 x 100 cm",Gim Dog,34.0,//aleef.com/cdn/shop/products/GimDogleashforcontrollingdogs_redcolor_2.5x100cm_007e5913-6d38-443b-95ee-3ffc1ecdedc8.jpg?v=1668840926
6,"Gim Dog leash for controlling dogs, red color, 2.5 x 100 cm","Gim Dog leash for controlling dogs, red color, 2.5 x 100 cm",Gim Dog,66.53,//aleef.com/cdn/shop/products/GimDogleashforcontrollingdogs_redcolor_2.5x100cm.jpg?v=1668840827
7,"Zolux ""HEART"" Reflective Leash 100 cm","Zolux ""HEART"" Reflective Leash 100 cm",Zolux,22.0,//aleef.com/cdn/shop/products/3336026702787.png?v=1658655499
8,ZOLUX Nylon Leash 1m -pink,Lightweight and durable nylon leashes!,Zolux,22.0,//aleef.com/cdn/shop/products/3336020461307.jpg?v=1658655497
9,Zolux Nylon  cord leash 3 Miter - blue,Zolux Nylon  cord leash 3 Miterdurable Multiple colors suitable fpr training,Zolux,51.7,//aleef.com/cdn/shop/products/3336020037304.jpg?v=1658654940
10,Zolux Shiny Cat Leash - pink,Zolux Shiny Cat LeashIt comes in variant colorsMade of soft nylonSize: 100 cm,Zolux,22.0,//aleef.com/cdn/shop/products/3336020200234.jpg?v=1658654937
11,Zolux Nylon  cord leash 6 Miter - orange,Zolux Nylon  cord leash 6 Miterdurable Multiple colors suitable fpr training,Zolux,59.4,//aleef.com/cdn/shop/products/3336020437609.jpg?v=1658654934
12,Zolux Shiny Cat Leash - red,Zolux Shiny Cat LeashIt comes in variant colorsMade of soft nylonSize: 100 cm,Zolux,22.0,//aleef.com/cdn/shop/products/3336026200238.jpg?v=1658654728
13,Zolux Tempo Cat Leash - blue,Zolux Tempo Cat LeashIt comes in variant colorsMade of soft nylon Size:  100 cm,Zolux,22.0,//aleef.com/cdn/shop/products/3336026200320.jpg?v=1658654725
14,Zolux Silicone Dog Leash 25mm,Zolux Silicone Dog LeashSturdy materialEasy to maintain and softSnap hook with safety clipComfort handle with neoprene lining,Zolux,78.54,//aleef.com/cdn/shop/products/3336026638994.jpg?v=1658654724
15,Zolux Ethnic Cat Leash,Zolux Ethnic Cat LeashIt comes in variant colorsMade of soft nylon Size:  100 cm,Zolux,22.0,//aleef.com/cdn/shop/products/3336025200260.jpg?v=1658654546
16,ZOLUX Nylon Leash 1m,Lightweight and durable nylon leashes!,Zolux,22.0,//aleef.com/cdn/shop/products/3336026200290.jpg?v=1658654528
17,Zolux Ethnic Cat Leash - pink,Zolux Ethnic Cat LeashIt comes in variant colorsMade of soft nylon Size:  100 cm,Zolux,22.0,//aleef.com/cdn/shop/products/3336027200268.jpg?v=1658654225
