,Name,Description,Brand,Price,Image
0,Catidea Pet Playpen  Foldable Tent for Pets Pink,"Catidea Pet Playpen  Foldable Tent for Pets PinkAllows your pets to play in a contained area; 360-degree open-mesh view, and zippered side entrance. The pet playpen keeps your pets safely with you while at the park, beach, and inside or outside your home. Easy-open, pop-up assembly and ground stakes for a safe, secure play area.
Suitable for puppies, dogs, cats, rabbits and other animals. 
Durable Material with reinforced corners. Made of ultra-durable 600 Denier Nylon.
Lightweight yet strong, our playpen is foldable and can be used indoors or outdoors.
The zippered carrying bag can easily store your playpen and accessories, and the handles make transport even easier.
Zippered door provides easy in/out access for your pet. Zip the door shut to keep your pet safely inside.




Size
Dimensions


S
97 × 38 cm


M
92 × 60 cm


L
118 × 60 cm


XL
160 × 62 cm",Catidea,165.0,//aleef.com/cdn/shop/products/CatideaPetPlaypenFoldableTentforPetsBlue.jpg?v=1662980445
1,Prevue Pet HOLLYWOOD CHAIR and IglooFor Cats and Dogs55cm High,"Prevue Pet HOLLYWOOD CHAIR and IglooFor Cats and Dogs55cm High A glamorous and cosy hideout for your cat or small dog.  The day bed features a “U” shaped back to make your cat feel more secure and less vulnerable to sneak attacks.  Upholstered in an elegant and durable blue-grey fabric, the large hideaway is the perfect spot for napping and quiet time.A glamorous and cosy hideout for your cat or small dog
Daybed features a “U” shaped back to make cats feel secure A large hideaway is perfect for nappingGreat for pets and kids
49cm in Diameter and 55cm High",Prevue Pet,275.0,//aleef.com/cdn/shop/products/PrevuePetHOLLYWOODCHAIRandIglooForCatsandDogs55cmHigh.jpg?v=1662882353
2,"Circular bed in the shape of cat eyes, large size, multi-colored","Circular bed in the shape of cat eyes, large size, multi-colored

It's a comfortable bed for cats that allows them also to have their own private space while sleeping and it will give you your own space too.

Size:

Large, Diameter= 60 cm
Small, Diameter= 40cm

Note:

This product is sold by color availability",Feline Go,129.5,//aleef.com/cdn/shop/products/Circularbedintheshapeofcateyes_largesize_multi-colored3.jpg?v=1678863081
3,"Prevue Pet Rhinoceros Footstool and Pet Igloo for cats and dogs, Brown colour","Prevue Pet Rhinoceros Footstool and Pet Igloo for cats and dogs, Brown colour


Features a fun and cosy hideout, an ideal napping spot for your cat or small dog.
The luxurious grey faux-leather fabric matches any home décor
Solid pinewood legs ensure stability
can be used as a lounging bed for your pet, a place to rest your feet, or both
Measures 88.9cm Long, 45.7 cm Wide, and 40.6 cm High",Prevue Pet,365.0,//aleef.com/cdn/shop/products/PrevuePetRHINOCEROSFootstoolandPetIgloo.jpg?v=1662794597
4,Catidea Pet Playpen  Foldable Tent for Pets Red,"Catidea Pet Playpen  Foldable Tent for Pets RedAllows your pets to play in a contained area; 360-degree open-mesh view, and zippered side entrance. The pet playpen keeps your pets safely with you while at the park, beach, and inside or outside your home. Easy-open, pop-up assembly and ground stakes for a safe, secure play area.Suitable for puppies, dogs, cats, rabbits and other animals. Please read the description for more info

Durable Material with reinforced corners. Made of ultra-durable 600 Denier Nylon.
Lightweight yet strong, our playpen is foldable and can be used indoors or outdoors.
The zippered carrying bag can easily store your playpen and accessories, and the handles make transport even easier.
Zippered door provides easy in/out access for your pet. Zip the door shut to keep your pet safely inside.




Size
Dimensions


S
97 × 38 cm


M
92 × 60 cm


L
118 × 60 cm


XL
160 × 62 cm",Catidea,165.0,//aleef.com/cdn/shop/products/CatideaPetPlaypenFoldableTentforPetsRed.jpg?v=1662980950
5,Catidea Pet Playpen  Foldable Tent for Pets Pink,"Catidea Pet Playpen  Foldable Tent for Pets PinkAllows your pets to play in a contained area; 360-degree open-mesh view, and zippered side entrance. The pet playpen keeps your pets safely with you while at the park, beach, and inside or outside your home. Easy-open, pop-up assembly and ground stakes for a safe, secure play area.Suitable for puppies, dogs, cats, rabbits and other animals. Please read the description for more info

Durable Material with reinforced corners. Made of ultra-durable 600 Denier Nylon.
Lightweight yet strong, our playpen is foldable and can be used indoors or outdoors.
The zippered carrying bag can easily store your playpen and accessories, and the handles make transport even easier.
Zippered door provides easy in/out access for your pet. Zip the door shut to keep your pet safely inside.




Size
Dimensions


S
97 × 38 cm


M
92 × 60 cm


L
118 × 60 cm


XL
160 × 62 cm",Catidea,165.0,//aleef.com/cdn/shop/products/CatideaPetPlaypenFoldableTentforPetsPink.jpg?v=1662979863
6,"Feline Go Shoe Cave Bed for Cats and Dogs, White Colour","Feline Go Shoe Cave Bed for Cats and Dogs, White Colour

The cozy and comfortable bed is made of soft and durable material to keep your pet warm and snug.
The Elliptical shape provides security and allows your pet to curl up and relax.
The bed is also easy to wash and maintain, so you don’t have to worry about stains or odours.
Whether you have a small cat or a large dog, we have the perfect size for you
It is cozy and comfortable. The soft and plush material will make your pet feel like they are sleeping on a cloud. The bed will also keep your pet warm in the winter and cool in the summer.
The bed is made of high-quality material that can withstand wear and tear. The bed is easy to clean and dry, so you can keep it fresh and hygienic.
It is secure and relaxing. The Elliptical shape will give your pet a sense of security and comfort. The bed will also allow your pet to curl up and rest in their natural position.
It is stylish and versatile. The bed comes in various colours and patterns that will match your home decor.

Size:

Medium: 60×45×28 cm",Feline Go,150.0,//aleef.com/cdn/shop/files/FelineGoShoeCaveBedforCatsandDogs_WhiteColour.jpg?v=1684137901
7,"Prevue Pet Dinosaur Footstool and Pet Igloo for cats and dogs, Green colour","Prevue Pet Dinosaur Footstool and Pet Igloo for cats and dogs, Green colour


Features a fun and cosy hideout, an ideal napping spot for your cat or small dog.
The luxurious grey faux-leather fabric matches any home décor
Solid pinewood legs ensure stability
can be used as a lounging bed for your pet, a place to rest your feet, or both
Measures 96.5 cm Long, 34.3 cm Wide, and 42.5  cm High",Prevue Pet,365.0,//aleef.com/cdn/shop/files/PrevuePetDinosaurFootstoolandPetIglooforcatsanddogs_Greencolour.jpg?v=1687703003
8,Catidea Pet Playpen  Foldable Tent for Pets Green,"Catidea Pet Playpen  Foldable Tent for Pets GreenAllows your pets to play in a contained area; 360-degree open-mesh view, and zippered side entrance. The pet playpen keeps your pets safely with you while at the park, beach, and inside or outside your home. Easy-open, pop-up assembly and ground stakes for a safe, secure play area.Suitable for puppies, dogs, cats, rabbits and other animals. Please read the description for more info

Durable Material with reinforced corners. Made of ultra-durable 600 Denier Nylon.
Lightweight yet strong, our playpen is foldable and can be used indoors or outdoors.
The zippered carrying bag can easily store your playpen and accessories, and the handles make transport even easier.
Zippered door provides easy in/out access for your pet. Zip the door shut to keep your pet safely inside.




Size
Dimensions


S
97 × 38 cm


M
92 × 60 cm


L
118 × 60 cm


XL
160 × 62 cm",Catidea,165.0,//aleef.com/cdn/shop/products/CatideaPetPlaypenFoldableTentforPetsGreen.jpg?v=1662981317
9,Pet Products Cabin with red hearts pattern for cats and small dogs,"Pet Products Cabin with red hearts pattern for cats and small dogs
Size:
40×35×35 cm",Pet Products,175.0,//aleef.com/cdn/shop/products/P38.jpg?v=1672907098
