,Name,Description,Brand,Price,Image
0,"Sherpa
  white pet carrier","Sherpa white pet carrierSHERPA Travel Element Pet Carrier is airline-approved for most major airlines and perfect for traveling in style and comfort by plane or car, for anything and everything from an adventure to a trip to the vetWIPE CLEAN easily by using disinfectant wipes on both the inside and the outside of the carrier.FEATURES mesh windows for ventilation, top and side entry with locking zippers for safety, padded, adjustable, no-slip carrying strap, machine-washable liner faux lambskin,Rear pocket for convenient storage of treats, leash and bags.PATENTED spring wire frame allows the rear end of the carrier to be pushed down several inches to conform to under-seat requirements.Silver HardwareDETAILS: Medium carrier fits pets up to 16"" in length x 11"" in height x 12"" deep and up to 16 pounds",Sherpa,360.0,//aleef.com/cdn/shop/products/786306555245.jpg?v=1658654409
1,Sherpa Original Deluxe Pet Carriers,"Sherpa Original Deluxe Pet Carriers
Travel in comfort and style with Carriers Airline Approved pet carriers. 
The patented spring wire frame allows the end of the carrier to be pushed down, conforming to under-seat requirements. 
Mesh panels offer proper ventilation and locking zippers for safety.
Top and side entries make it easier to comfortably load pets. 
The seat belt security strap doubles as a luggage strap.
PRODUCT DETAILS: 
Small: Animal weighing 3.6 kg and less 15″ L x 10″ W x 8.5″ H
Medium: Animal weighing 7.2 kg and less 17″ L x 11″ W x 10.5″ H
Large: Animal weighing 10 kg and less 19″ L x 11.75″ W x 11.5″ H",Sherpa,262.0,//aleef.com/cdn/shop/products/SherpaOriginalDeluxePetCarriers.jpg?v=1667292035
2,"Sherpa
  Travel With Peace Carrier On Wheels","Sherpa Travel With Peace Carrier On Wheels
Airline approved for pets in cabin Top side entryMesh panels for ventilationLocking zippersPatented spring wire frame Rear pocketPadded hand carry strapsAdjustable, no-slip shoulder strapMachine washable faux lambskin linerSeatbelt / luggage strapSize50.8×31.1×26.6 cmLarge for pets up to 22 lbs",Sherpa,385.0,//aleef.com/cdn/shop/products/743723987929.jpg?v=1658654331
3,"BEAST
  INSIDE CITY WALKER Pet Backpack Aqua Blue","BEAST INSIDE CITY WALKER Pet Backpack Aqua BlueLarge Space 34L×26W×42H cm（13.4"" L×10.2"" W×16.5"" H )Airline approved** Please contact the airline before flying with your pet.Up to 7kgWear Resistant and RainproofMade of 900D oxford fabric with waterproof & scratch prevention coating, durable scratch-proof mesh. Made with pet-safe and eco-friendly materials, easy clean, waterproof.Wonderful Front Clear WindowPets enjoy keeping a close eye on their surroundings. This pet backpack carrier with a big transparent window allows cats to see everything around them, which is sure to be a lot of fun. Your pet will love taking a ride in this cosy backpack carrier.Soothing TouchHands can reach into the sleeves on both sides to soothing touch the pet.Soothing TouchHands can reach into the sleeves on both sides to soothing touch the pet.Unparalleled Ergonomic DesignThoughtful design",Beast Inside,275.0,//aleef.com/cdn/shop/products/BEASTINSIDECITYWALKERPetBackpackAquaBlue.jpg?v=1664364798
4,شيربا شنطة وحامل تنقل 2 في 1 لون رمادي,"شيربا شنطة وحامل تنقل 2 في 1 لون رمادي 
منتج شيربا شنطة وحامل تنقل 2 في 1 لون رمادي ،  حقيبة مميزة لنقل الحيوانات الأليفة ، تتمتع الحيوانات الأليفة بمراقبة محيطها عن كثب. تمنح حقيبة الظهر نافذة شفافة كبيرة للقطط و الكلاب برؤية كل شيء من حولها ، ومن المؤكد أنها ستكون ممتعة للغاية. سيحب حيوانك الأليف القيام بجولة في حقيبة الظهر المريحة. متجر أليف يوفر لك كافة مستلزمات الحيوانات الأليفة من ماركات عالمية . 

اللون

رمادي 

الحيوان الأليف

قطط - كلاب
شيربا شنطة وحامل تنقل 2 في 1 لون رمادي 

مناسب للقطط والكلاب

تصميم مريح لا مثيل له


نافذة رائعة وواضحة

فتحات تهوية موزعة في جميع الجهات .
سهلة الحمل!",Sherpa,243.5,//aleef.com/cdn/shop/products/786306555238.jpg?v=1658653575
5,"BEAST
  INSIDE CITY WALKER  Pet Backpack Maple
  Yellow","BEAST INSIDE CITY WALKER  Pet Backpack Maple YellowLarge Space 34L×26W×42H cm（13.4"" L×10.2"" W×16.5"" H )Airline approved** Please contact the airline before flying with your pet.Up to 7kg Wear Resistant and RainproofMade of 900D oxford fabric with waterproof & scratch prevention coating, durable scratch-proof mesh. Made with pet-safe and eco-friendly materials, easy-clean, waterproof.Wonderful Front Clear WindowPets enjoy keeping a close eye on their surroundings. This pet backpack carrier with a big transparent window allows cats to see everything around them, which is sure to be a lot of fun. Your pet will love taking a ride in this cosy backpack carrier.Soothing TouchHands can reach into the sleeves on both sides to soothing touch the pet.Soothing TouchHands can reach into the sleeves on both sides to soothing touch the pet.Unparalleled Ergonomic DesignThoughtful design",Beast Inside,275.0,//aleef.com/cdn/shop/products/BEASTINSIDECITYWALKERPetBackpackMapleYellow.jpg?v=1664365030
6,BEAST INSIDE CITY WALKER Pet Backpack Robin Egg Blue,"BEAST INSIDE CITY WALKER Pet Backpack Robin Egg Blue Large Space  34L×26W×42H cm（13.4"" L×10.2"" W×16.5"" H ) Airline approved** Please contact the airline before flying with your pet.Up to 7kg Wear Resistant and RainproofMade of 900D oxford fabric with waterproof & scratch prevention coating, durable scratch-proof mesh. Made with pet-safe and eco-friendly materials, easy-clean, waterproof.Wonderful Front Clear Window Pets enjoy keeping a close eye on their surroundings. This pet backpack carrier with a big transparent window allows cats to see everything around them, which is sure to be a lot of fun. Your pet will love taking a ride in this cosy backpack carrier.Soothing TouchHands can reach into the sleeves on both sides to soothing touch the pet.Soothing TouchHands can reach into the sleeves on both sides to soothing touch the pet.Unparalleled Ergonomic DesignThoughtful design""",Beast Inside,275.0,//aleef.com/cdn/shop/products/BEASTINSIDECITYWALKERPetBackpackRobinEggBlue.jpg?v=1664365166
7,شيربا شنطة وحامل تنقل أسود كبير,,Sherpa,280.0,//aleef.com/cdn/shop/products/786306555269.jpg?v=1658654081
8,Zolux Flower Pet Carrier Medium,Zolux Flower Pet Carrier MediumWaterproof3 air ventsRemovable bottomcomfortable handleadjustable shoulder strapDimensions:Length: 40 cmWidth: 25 cm,Zolux,77.0,//aleef.com/cdn/shop/products/3336020034105.jpg?v=1658654787
9,Backpack for cats and small dogs,Backpack for cats and small dogsDimensions: 43 x 28 x 26 cmAs per available color,متجر اليف,101.9,//aleef.com/cdn/shop/products/Backpackforcatsandsmalldogs.jpg?v=1668924788
