,Name,Description,Brand,Price,Image
0,Bergamo Cat Pet Carrier with Plastic Door - navy blue,"Bergamo Cat Pet Carrier with Plastic Door


Light weight
Suitable for kittens and adult cats


Size
40.L x 26.W x 27.H",MP Bergamo,52.0,//aleef.com/cdn/shop/products/BergamoCatPetCarrierWithPlasticDoor.jpg?v=1676804717
1,"Canine Go Plastic Carrier for cats and dogs, Medium Size","Canine Go Plastic Carrier for cats and dogs, Medium Size 
Are you seeking a convenient and comfortable way to travel with your furry friend? 

Whether you need to take your pet to the vet, the park, or on a road trip, you’ll love our cat and dog carrier. 
Made from a durable Plastic and breathable material that keeps your pet cosy and secure.
It has a spacious interior with mesh windows for ventilation and visibility.
Travel in style with your furry companion
The ultimate carrier for your cat or dog
Keep your pet happy and safe on the go
The best gift for pet lovers
Our cat and dog carrier is suitable for small to medium
It’s available in various colours and designs to match your style.

Size: 35×40×56 cm",Canine Go,65.0,//aleef.com/cdn/shop/products/CanineGoPlasticCarrierforcats_MediumSizebaige.jpg?v=1683189939
2,"Bergamo cat carrier, small size, plastic door","Bergamo cat carrier, small size, plastic doormeasurementsLength: 37 cmWidth: 25 cm",MP Bergamo,40.0,//aleef.com/cdn/shop/products/BergamoCatCarrier_SmallSize_PlasticDoor.jpg?v=1678183820
3,Canine Go Plastic Carrier Size Medium for cats and dogs,"Canine Go Plastic Carrier Size Medium for cats and dogs
Are you seeking a convenient and comfortable way to travel with your furry friend? 

Whether you need to take your pet to the vet, the park, or on a road trip, you’ll love our cat and dog carrier. 
Made from a durable Plastic and breathable material that keeps your pet cosy and secure.
It has a spacious interior with mesh windows for ventilation and visibility.
Travel in style with your furry companion
The ultimate carrier for your cat or dog
Keep your pet happy and safe on the go
The best gift for pet lovers
Our cat and dog carrier is suitable for small to medium
It’s available in various colours and designs to match your style.

Size: 35×40×56 cm",Canine Go,55.0,//aleef.com/cdn/shop/products/CanineGoPlasticCarrierforcatsanddogsG_63923651-8a4c-413e-9e34-217db7bc7da7.jpg?v=1683187319
4,"MPS Pratiko Carrier with Metal Door for Cats and Dogs, Multiple Colours, Small","MPS Pratiko Carrier with Metal Door for Cats and Dogs, Multiple Colours, Small

Easy and innovative in the assembly.
Metal door and durable Plastic


Three sizes are available:

Small = 48×32×31 cm
Medium = 55x36x36 cm
Large = 58,5×35,5x40 cm",MPS,55.0,//aleef.com/cdn/shop/products/MPSPratikoCarrierwithMetalDoorforCatandDog_MultipleColours1.jpg?v=1675232418
5,"Bracco
  Travel Crates 1,2,3","Bracco Travel Crates 1,2,3 Bracco Travel Crates are IATA approved andsuitable for travel by air, also can beused at home for crate training.Two carry handlesLockable metal doorLockable quick release clipsWater bowl included3 sizes available",MP Bergamo,125.0,//aleef.com/cdn/shop/products/BraccoTravelCrates1-2-3.jpg?v=1665472250
6,Canine Go Plastic Carrier Size Small for cats and dogs,"Canine Go Plastic Carrier Size Small for cats and dogs
Are you seeking a convenient and comfortable way to travel with your furry friend? 

Whether you need to take your pet to the vet, the park, or on a road trip, you’ll love our cat and dog carrier. 
Made from a durable Plastic and breathable material that keeps your pet cosy and secure.
It has a spacious interior with mesh windows for ventilation and visibility.
Travel in style with your furry companion
The ultimate carrier for your cat or dog
Keep your pet happy and safe on the go
The best gift for pet lovers
Our cat and dog carrier is suitable for small to medium
It’s available in various colours and designs to match your style.

Size:33×35×50 cm",Canine Go,40.0,//aleef.com/cdn/shop/products/CanineGoPlasticCarrierforcatsanddogsO.jpg?v=1683187105
7,"MPS Pratiko Carrier with Metal Door for Cats and Dogs, Large","MPS Pratiko Carrier with Metal Door for Cats and Dogs, Large

Easy and innovative in the assembly.
Metal door and durable Plastic


Three sizes are available:

Small = 48×32×31 cm
Medium = 55x36x36 cm
Large = 58,5×35,5x40 cm",MPS,94.0,//aleef.com/cdn/shop/products/MPSPratikoCarrierwithMetalDoorforCatandDog_MultipleColours_9a432283-0565-4e99-b79f-4807bbc8a8f8.jpg?v=1675234116
8,"MPS Avior Pet Carrier, Gray","MPS Avior Pet Carrier, Gray

Suitable for both dogs and cats.
Top section can be completely removed.
Ventilation grilles in the top and bottom sections of the carrier.
Box can be secured with the seat belt of a car.
Easy to transport!
Made from sturdy plastic, which makes it easy to clean.
Storage compartment with room to store essentials for your pet.

 Size:

57.5×39.5×40.5 cm",MPS,82.5,//aleef.com/cdn/shop/products/MPSAviorPetCarrier_Gray.jpg?v=1675239266
9,MPS Carrier Partiko Plastic Door for Cat and Dog Small,"MPS Carrier Partiko Plastic Door for Cat and Dog Small

plastic door
 Light weight and easy to carry and use
 Made in Italy


 Size

Small = 48 × 31.5 × 33 cm
Large = 55 × 36 × 36 cm",MPS,70.0,//aleef.com/cdn/shop/products/MPSPlasticCarrierPratikoForCatsandDogs_0ad63790-3a84-4460-b147-2f25e71df765.jpg?v=1675156836
