,Name,Description,Brand,Price,Image
0,Zolux 4 Balls with Bells for Cats,ZOLUX Cat Toy 4 Balls With Bells-4cm,Zolux,7.0,//aleef.com/cdn/shop/products/3336025801337.jpg?v=1658653645
1,Zolux Enjoy cat toy cone with fethers,Zolux Enjoy cat toy cone with fethers,Zolux,17.25,//aleef.com/cdn/shop/products/3336025807155.jpg?v=1658656792
2,Zolux ETHI'CAT Cardboard Disc Toy for cats,"Zolux ETHI'CAT Cardboard Disc Toy for cats

The perfect material for biting and scratching
The air pockets in the toy make it easy for cats to sink their claws into the cardboard and the inner layer often makes a crinkly sound that cats like, too
This papery material makes for an excellent option as a toy for your cats
Made from 100% natural materials
a great way to keep your cat entertained and active.
Help stimulate your cat’s natural hunting instincts.",Zolux,6.0,//aleef.com/cdn/shop/products/ZoluxETHI_CATCardboardDiscToyforcats.jpg?v=1681724137
3,ZOLUX 10 MULTI-SHAPED TOYS 4 CM,ZOLUX Cat Toy 10 Figures-4cm,Zolux,18.0,//aleef.com/cdn/shop/products/3336025801276_73b62069-c5c5-4445-a62a-172f2d8f3309.jpg?v=1658653646
4,زولكس اينجوي لعبة للقطط فأر,Zolux Enjoy Mouse Cat toy,Zolux,16.5,//aleef.com/cdn/shop/products/fec4ad578356c3c5f941e716c994460ad7588c54.png?v=1658655347
5,Zolux Enjoy cat fishing rod ribbons toy,Zolux Enjoy cat fishing rod ribbons toy Colors are randomly picked,Zolux,10.0,//aleef.com/cdn/shop/products/3336025807100.jpg?v=1658653972
6,Zolux ETHI'CAT Fishing rod Cardboard Oval Toy for cats,"Zolux ETHI'CAT Fishing rod Cardboard Oval Toy for cats

The perfect material for biting and scratching
The air pockets in the toy make it easy for cats to sink their claws into the cardboard and the inner layer often makes a crinkly sound that cats like, too
This papery material makes for an excellent option as a toy for your cats
Made from 100% natural materials
a great way to keep your cat entertained and active.
Help stimulate your cat’s natural hunting instincts.",Zolux,6.0,//aleef.com/cdn/shop/products/ZoluxETHI_CATCardboardOvalToyforcats.jpg?v=1681723565
7,Zolux 3 Varied Balls,,Zolux,7.0,//aleef.com/cdn/shop/products/Zolux3VariedBalls.jpg?v=1667454177
8,Zolux Enjoy Cat Toy Hallow Ball,Zolux Enjoy Cat Toy Hallow Ball,Zolux,16.5,//aleef.com/cdn/shop/products/3336025807162.jpg?v=1658656791
9,Petlinks Cutie Bandit Cat Toy,"Petlinks Cutie Bandit Cat ToyPet links cutie Bandit long legged catnip plush cat toy with which is an exciting blend of silver vine and catnip.Pet links Cutie Bandit long legged catnip and crinkle cat toy is designed to stimulate and satisfies cats' Instinct to hunt great size to bat, carry and wrestleDangling arms and legs keep cats guessing jute and faux fur are both exciting textures for cats under stuffed and floppy for added fun!Happynip is our proprietary and exciting blend of silver vine and catnip, an ideal alternative for finicky felines who need a little extra excitement!It's more potent than catnip and as pure as can be! Most cats respond to catnip with a burst of energetic activity followed by a perfectly calm mellow period. Our catnip is produced without chemicals or pesticides.",PetLinks,22.0,//aleef.com/cdn/shop/products/786306402082_2.png?v=1658654415
