,Name,Description,Brand,Price,Image
0,<tc>Stefanplast Chic Bowl for Cats and Dogs 0.35 L</tc>,"Stefanplast Chic Bowl for Cats and Dogs 0.35 L

An innovative in their shape and incredibly practical to clean
They are also remarkably stable thanks to the anti-slip rubber rim and provided with an ergonomic and safe grip.

Size:

18x18x7 cm
0.35 L",Stefanplast,12.0,//aleef.com/cdn/shop/products/StefanplastChicBowl0.35LForCatsandDogs0.2L.jpg?v=1673764133
1,"MPS Maya Double Plastic bowl for cats, size small","MPS Maya Double Plastic bowl for cats, size small

It is made of high-quality plastic that is resistant to scratches and stains.
It has two compartments that can hold water and food separately or different types of food for variety.
The bowl also has a non-slip base that prevents it from sliding or tipping over.
cat bowl is dishwasher-safe and comes in different colours to suit your cat’s personality.
It is the perfect choice for feeding your cat in style and comfort.
Durable and easy-to-clean
Two compartments for water and food
Dishwasher-safe
Feed your cat in style and comfort

Size:

0.15L
11.5×21.5×6 cm",MPS,5.75,//aleef.com/cdn/shop/files/MPSMayaDoublePlasticbowlforcats_04b0c825-f67c-45ef-a608-92892d4bfaed.jpg?v=1684307002
2,MPS Maya Double Metallic bowl for cats,"MPS Maya Double Plastic bowl for cats, size Large

It is made of high-quality plastic that is resistant to scratches and stains.
It has two compartments that can hold water and food separately or different types of food for variety.
cat bowl is dishwasher-safe and comes in different colours to suit your cat’s personality.
It is the perfect choice for feeding your cat in style and comfort.
Durable and easy-to-clean
Two compartments for water and food
Dishwasher-safe
Feed your cat in style and comfort

Size:

Small: 35×46×9 cm
Large: 49×66×12 cm",MPS,50.0,//aleef.com/cdn/shop/files/MPSMayaDoubleMetallicbowlforcats.jpg?v=1692619537
3,"<tc>Stefanplast Bowl Break 13 Non Slip, Multiple colour For Cats and Dogs 0.2 L</tc>","Stefanplast Bowl Break 11 Non Slip, Multiple colour For Cats and Dogs 0.4 L

It has side grips to safely move it and anti-slip tabs that guarantee excellent stability.
It is practical and easy to clean.
Ideal for everyday use.
available in Green and Gray
Sold by colour availability

Dimensions

28x17x6 cm
0.2 L",Stefanplast,8.0,//aleef.com/cdn/shop/products/StefanplastBowlBreak13NonSlip_MultiplecolourForCatsandDogs0.2L.jpg?v=1673700292
4,"MPS Maya Double Plastic bowl for cats, size Large","MPS Maya Double Plastic bowl for cats, size Large

It is made of high-quality plastic that is resistant to scratches and stains.
It has two compartments that can hold water and food separately or different types of food for variety.
cat bowl is dishwasher-safe and comes in different colours to suit your cat’s personality.
It is the perfect choice for feeding your cat in style and comfort.
Durable and easy-to-clean
Two compartments for water and food
Dishwasher-safe
Feed your cat in style and comfort

Size:

0.6L
32×17×11 cm",MPS,10.0,//aleef.com/cdn/shop/files/MPSMayaDoublePlasticbowlforcats_6b4522dc-0ed7-4129-b070-03202bcbff8f.jpg?v=1684307449
5,"<tc>Stefanplast ""Set dinner"" Double Bowl for Cats and Dogs</tc>","Stefanplast ""Set dinner"" Double Bowl for Cats and Dogs

Set Dinner is the tray for dogs and cats made up of two bowls
Offer your pet water and food at the same time. 
It is practical and handy thanks to the side borders that contain any possible water or food spillage guaranteeing cleanliness and order.
It can be comfortably placed and it is quick and easy to clean.

Size:

large bowl = 0.3 لتر
small bowl= 0.25 لتر
46x35x11 cm",Stefanplast,34.0,//aleef.com/cdn/shop/products/StefanplastSetdinnerDoubleBowlforCatsandDogs_e9f8eea4-8cc7-4605-930f-2dd47b2d13d1.jpg?v=1674043985
6,<tc>Stefanplast Slow Food Chic Bowl for Cats and Dogs 0.5 L</tc>,"Stefanplast Chic Bowl for Cats and Dogs 0.5 L

Anti-gulping bowl for dogs and cats.
With anti-slip rubber rim.
It slows down feed intake and promotes a correct digestion.

Size:

20.5x20.5x6.5 cm
0.5 L",Stefanplast,24.0,//aleef.com/cdn/shop/products/StefanplastSlowFoodChicBowl.jpg?v=1673766305
7,"<tc>Stefanplast Bowl Break 11 Non Slip, Multiple colour For Cats and Dogs 0.4 L</tc>","Stefanplast Bowl Break 11 Non Slip, Multiple colour For Cats and Dogs 0.4 L

It has side grips to safely move it and anti-slip tabs that guarantee excellent stability.
It is practical and easy to clean.
Ideal for everyday use.
available in Green and Gray
Sold by colour availability

Dimensions

28x17x6 cm
0.4 L",Stefanplast,12.0,//aleef.com/cdn/shop/products/StefanplastBowlBreak11NonSlip_MultiplecolourForCatsandDogs0_4L.jpg?v=1673699723
8,"Feline Go Twin Feeding Bowl for cats, Pink Colour","Feline Go Twin Feeding Bowl for cats, Pink Colour 

It has side grips to safely move it and anti-slip tabs that guarantee excellent stability.
It is practical and easy to clean.
Ideal for everyday use.

Dimensions

Small: 23.5×15×5 cm
Large: 30.5×19.5×7.5 cm",Feline Go,8.0,//aleef.com/cdn/shop/files/FelineGoTwinFeedingBowlforcats_PinkColour.jpg?v=1692262612
9,"Feline Go Twin Feeding Bowl for cats, Blue Colour","Feline Go Twin Feeding Bowl for cats, Blue Colour 

It has side grips to safely move it and anti-slip tabs that guarantee excellent stability.
It is practical and easy to clean.
Ideal for everyday use.

Dimensions

Small: 23.5×15×5 cm
Large: 30.5×19.5×7.5 cm",Feline Go,8.0,//aleef.com/cdn/shop/files/FelineGoTwinFeedingBowlforcats_BlueColour_d560c660-fecc-434e-919f-444d6d32c9b6.jpg?v=1692262347
