,Name,Description,Brand,Price,Image
0,Applaws Dry Cat Food Adult Chicken,"Dry Chicken Meal (65%), Chicken Mince (17%), Potato, Brewer's yeast, Beet Pulp, Chicken Gravy, Salmon Oil, Vitamins and Minerals, Dried Egg, Cellulose Plant Fibre (0.03%), Sodium Chloride, Calcium Carbonate, Seaweed/Kelp, Cranberry, DL-Methionine, Potassium Chloride, Yucca Extract, Citrus Extract, Rosemary Extract.",Applaws,25.5,//aleef.com/cdn/shop/products/ApplawsDryCatFoodAdultChicken.jpg?v=1663483652
1,Josera NatureCat Adult Food,"Josera NatureCat Adult FoodJOSERA NatureCat is a true pleasure for all adventurers. Grainfree and with an extra serving of delicious poultry and salmon.With 30 % dried poultry and 10 % dried salmon (corresponds to roughly 130 g of fresh meat per 100 g dry kibble)Selected herbs and healthy fruits are the finishing touch to this recipe and offering your cat a delicious range of tastesValuable fatty acids from salmon, vitamins and trace elements for healthy skin and a shiny coatEncourages a pH-value of 6.0-6.5 to reduce the risk of urinary stone formationComplete feed for adult catsMade in Germany.",Josera,19.0,//aleef.com/cdn/shop/products/JoseraNatureCatAdultFood.jpg?v=1663493465
2,Josera Kitten Grain free dry food for kittens with chicken,"Josera Kitten Grain free dry food for kittens with chicken


Almost as soon as a kitten is born it needs special care, as does its mum.
Especially in those early months, it is essential to provide the necessary nutrients.
JOSERA Kitten grain-free meets these special requirements with its high-energy, easily digestible recipe using delicious poultry.
For growing cats and their mothers during the gestation and lactation periods
Easily digestible, grain-free recipe with nutritious salmon oil
The extra portion of delicious poultry for a sensational taste, which even the smallest kittens will love (corresponds to roughly 140 g fresh meat per 100 g kibble)
With special dietary fibre to inhibit the development of hairballs


Composition :
dried poultry protein; poultry fat; dried potato; pea flour; beet fibre; dried tapioca; potato protein; hydrolysed fish protein; dried poultry liver; salmon oil; yeast; minerals; ground chicory root (natural source of inulin);
Analytical constituents


protein    36.0 %
fat content    22.0 %
crude fibre    2.0 %
crude ash    7.0 %
calcium    1.35 %
phosphorus    1.05 %
magnesium    0,55 %",Josera,19.0,//aleef.com/cdn/shop/products/Josera-Kitten-Grainfree-dry-food-for-kitten-with-chicken.jpg?v=1658655219
3,"Josera
  Salmon Adult Cat Dry Food","Josera Salmon Adult Cat Dry FoodJOSERA Culinesse with high-quality salmon and salmon oil is the proper treat for your choosy cat. The balanced ingredients make JOSERA Culinesse tasty and especially easy to digest.With delicious salmon and selected salmonoil for your gourmet catThe moderate fat content makes JOSERACulinesse ideal for indoor and outdoor catsValuable fatty acids from salmon oil, Vitamins and trace elements for healthy skin and a shiny coatEncourages a pH-value of 6.0-6.5 to reduce the risk of urinary stone formationComplete feed for adult catsMade in Germany",Josera,19.0,//aleef.com/cdn/shop/products/Josera-Salmon-Adult-Cat-Dry-Food_36df0e77-1d8d-420d-ae5e-287281f7fa39.jpg?v=1658656763
4,BRAVERY CHICKEN FOR ADULT CAT,"BRAVERY CHICKEN FOR ADULT CATCompositionDehydrated chicken meat, tapioca, poultry fat (source of Ω-6 fatty acids), peas, hydrolyzed chicken protein, yeast and yeast extract-Saccharomyces cerevisiae (source of mannanooligosaccharides – MOS and β-glucans), hydrolyzed chicken liver, sweet potato, beet pulp, carob pod, potato protein, dehydrated whole egg, sh oil (source of Ω-3-EPA and DHA fatty acids), natural cellulose (source of insoluble ber), minerals, inulin (soluble ber of chicory, source of fructooligosaccharides – FOS), soluble dietary ber extracted from Plantago ovata, essential oils (oregano, cinnamon, cloves, thyme, rosemary, mint, green tea), yucca, hydrolyzates from crustaceans (source of glucosamine), hydrolyzates from cartilage (source of chondroitin), lyophilized melon juice concentrate (rich in superoxide dismutase – SOD).",Bravery,75.0,//aleef.com/cdn/shop/files/BRAVERYCHICKENFORADULTCAT.jpg?v=1697617239
5,Josera Catelux Cat Dry food for Adults,"Josera Catelux Cat Dry food for AdultsWith tasty duck & potato JOSERA Catelux is perfect for gourmets. Thanks to the extra dietary fibre, Catelux is also the ideal food for cats with a tendency to develop hairballs.With delicious duck and potato for finicky catsThe dietary fibre counteracts the formation of hairballs because swallowed hair moves through the digestive tract along with the special fibre. This is particularly important for long-haired catsValuable fatty acids, vitamins and trace elements ensure healthy skin and a shiny coatEncourages a pH-value of 6.0-6.5 to reduce the risk of urinary stone formationComplete feed for adult cats",Josera,60.0,//aleef.com/cdn/shop/products/JoseraCateluxCatDryfoodforAdults.jpg?v=1666865949
6,JosiCat Crispy Duck Dry Food for Cats,"JosiCat Crispy Duck Dry Food for Cats 18kgComplete feed for adult catsFlavourful with an appetizing duck & salmon tasteSuitable for both indoor and outdoor catsNo added artificial colours, flavours or preservativesNo added soy, sugar or milk productsComplete feed for adult catsMade in Germany",Josera,16.0,//aleef.com/cdn/shop/products/4032254753353.jpg?v=1658655190
7,Josera HELP Gastro Dry Food for Cats,"Josera HELP Gastro Dry Food for Cats

Dry food If your cat suffers from gastrointestinal problems, belching, stomach rumbling and diarrhoea.
A complete medical feed can support gastrointestinal problems thanks to its easily digestible, gluten-free recipe as well as its natural ingredients.
Can help with acute and chronic gastrointestinal problems
Digestion regulating fibres support the desired intestinal bacteria and can improve faecal consistency
Phytogenic complex: oregano is valued for its digestive properties

COMPOSITIONdried poultry protein; maize; rice; dried greaves protein; poultry fat; dried beet pulp (natural source of dietary fibre); hydrolysed animal protein; minerals; poultry liver hydrolysate; oregano; ginger; rosemary; nettle; milk thistle; cranberry;Analytical constituentsprotein 33.2 %fat content 17.8 %crude fibre 2.0 %crude ash 6.6 %calcium 1.35 %phosphorus 1.00 %magnesium 0,60 %



FEEDING RECOMMENDATIONالتغذيه


Weight - الوزن

inactive / olderغير نشطه/كبيره في العمر

normally active / activeنشطه/ نشطه جدا


2-3 kg
30-40 g
40-50 g


3-4 kg
40-50 g
50-65 g


4-5 kg
50-55 g
65-75 g


5-7 kg
55-70 g
75-90 g


7-10 kg
70-90 g
90-120 g",Josera,75.0,//aleef.com/cdn/shop/files/JoseraHELPGastroDryFoodforCats_16c8b639-d42a-4f68-9375-abd537f34d7f.jpg?v=1697619416
8,"Purina
  One Tender  Salmon and Tuna  Dry Food 
  for adult Cats","Purina One Tender & Salmon and Tuna Dry Food for Adult CatsIngredientssalmon,rice flour,corn gluten meal,salmon by-product meal,beef fat naturally preservd with mixed-tocopherols,soybean meal,whole grain corn,wheat flour,liver flavor,soy protein isolate,soy protein concentrate,glycerin,chicken,calcium carbonate,phosphoric acid,salt,potassium chloride,caramel color,L-lysine monohydrochio-ride,dried carrots,dried peas,chloine chloride,sodium bisulfate,taurine,MINERALS[zin]c sulfate,ferrou sulfate,manganese sulfate,copper sulfate,calcium iodate,vitamin,L-cysteine,Dl-Methionine.",Purina,24.0,//aleef.com/cdn/shop/files/PurinaOneTenderSalmonandTunaDryFoodforadultCats_2e6705a4-bcdd-4815-8e33-e7140ac7c99f.jpg?v=1697615636
9,Josera Sensicat dry food for cats with chicken,"Josera Sensicat dry food for cats with chickenThe selected, easily digestible raw materials in JOSERA SensiCat guarantee the best possible tolerability and are therefore especially suitable for nutritionally sensitive cats.ideal for adult cats and cats with a sensitive digestive systemformula with high acceptance and easy digestible ingredientsdietary fibre reduces hairball formationencourages a pH value of 6.0-6.5 to reduce the risk of urinary stone formationComposition :dried poultry protein; whole grain corn; rice; greaves; poultry fat; beet fibre; hydrolysed poultry protein; minerals; dried poultry liver;Analytical constituentsprotein    33.0 %fat content    18.0 %crude fibre    2.0 %crude ash    6.7 %calcium    1.30 %phosphorus    1.00 %magnesium    0,60 %Product benefitsEasy digestibleEASY DIGESTIBLEThe premium quality and the gentle processing of the selected raw materials guarantee high digestibility and offer the optimal light diet even for cats with a sensitive digestive system.Anti-HairballANTI-HAIRBALLDietetic fibres support the transport of the swallowed hair through the digestive tract and can thus reduce the formation of hairballs.Urinary pH 6.0-6.5URINARY PH 6.0-6.5A targeted selection of ingredients as well as the best recipes ensure an optimal calcium/phosphorus ratio and reduced magnesium content. This promotes a pH value of 6.0-6.5 which can counter the formation of urinary stones.",Josera,19.0,//aleef.com/cdn/shop/products/Josera-Sensicat-dry-food-for-cats-with-chicken-2kg.jpg?v=1658655212
10,BRAVERY CHICKEN ADULT STERILIZED CATS,"BRAVERY CHICKEN ADULT CAT100% Chicken Animal Protein0% GrainNo Added Artificial Colors, Flavors and PreservativesNatural AntioxidantsHypoallergenicGluten Free",Bravery,75.0,//aleef.com/cdn/shop/files/BRAVERYCHICKENADULTSTERILIZEDCATS.jpg?v=1697617201
11,Purina Friskies  Seafood Sensation  Dry Cat Food,"Purina Friskies  Seafood Sensation Dry Cat Food
Benefits:

Protein-rich to help maintain strong lean muscles
Antioxidants to help support a healthy immune system
Dental protection to help support healthy teeth and gums
Essential Fatty Acids with Omega 3 & 6 for healthy skin and coat
Vitamin A & Taurine to help support clear, healthy vision.

Ingredients

Wholegrain cereals and/or cereal by-products and/or vegetable by-products; Meat and meat by-products (poultry and/or beef and/or fish and/or lamb ) and/or poultry by-products; Vitamins, Minerals and Amino acids; Food colours; Antioxidants; Natural Flavours. 

Nutritional Analysis

Crude Protein    30%
Crude Fat    10%
Crude Fibre (max)    3%
Salt, NaCI (max)    1.8%",Purina,34.0,//aleef.com/cdn/shop/products/PurinaFriskiesSeafoodSensationDryCatFood.jpg?v=1663570367
