,Name,Description,Brand,Price,Image
0,"Schesir Natural Style Cans of Chicken fillets in Cooking Water Wet food for cats, 6x50g","Schesir Natural Style Cans of Chicken fillets in Cooking Water Wet food for cats, 6x50g


Top-quality food for cats who eat small meals or on diet, prepared in cooking water
100% natural ingredients, free from added colorings and preservatives.
Careful selection of the very best parts of the Chicken, steam-cooked, and hand-processed  


Composition:


Chicken fillets 65 % 
Rice 3% 


Nutrional Additives/Kg


Vit.A 1325 I.U 
Vit.E 15 mg 
Taurine 160 mg",Schesir,29.0,//aleef.com/cdn/shop/files/SchesirNaturalStyleCansofChickenfilletsinCookingWaterWetfoodforcats_6x50g.jpg?v=1687438292
1,Schesir Chicken fillets Natural Style in cooking water 85g,"Schesir Chicken fillets Natural Style in cooking water 85gTop quality food for adult cats in Cooking Water with 100% natural ingredients, free from added colorings and preservatives. Careful selection of the very best parts of the Chicken, steam-cooked, and hand-processedComposition:Chicken fillets 57%Rice 1.2%Nutrional Additives/Kgvit. A 1325 I.U.vit. E 15 mg.taurine 160 mg.",Schesir,6.21,//aleef.com/cdn/shop/files/SchesirChickenFilletsNaturalStyleInCookingWater85g.jpg?v=1700661833
2,Schesir Salmon natural Style 85g,"Schesir Salmon natural Style 85gTop quality food for adult cats in cocking water with 100% natural ingredients, free from added colorings and preservatives. Careful selection of the very best parts of the fish, steam-cooked, and hand-processed,Composition:Salmon 70%Rice 1.2%Nutritional Additives/KgVit. A 1325 u.i.Vit. E 15 mgTaurine 160 mg",Schesir,9.0,//aleef.com/cdn/shop/files/SchesirSalmonNaturalStyle85g.jpg?v=1700660917
3,Schesir Chicken fillets natural style 85g,"Schesir Chicken fillets natural style 85gTop quality food for adult cats in soft jelly: with 100% natural ingredients, free from added colorings and preservatives. Careful selection of the very best parts of the Chicken, steam-cooked and hand-processed,Composition:Chicken fillets 55%Rice 3%Nutrional Additives/Kgvit. A 1325 I.U.vit. E 15 mg.taurine 160 mg.",Schesir,6.21,//aleef.com/cdn/shop/products/SchesirChickenFilletsNaturalStyle2.jpg?v=1664697673
4,Schesir Tuna with Whitebaits 85g,"Schesir Tuna with Whitebaits 85gTop quality food for adult cats in soft jelly: with 100% natural ingredients, free from added colorings and preservatives. Careful selection of the very best parts of the Fish, steam-cooked, and hand-processed,Composition: Tuna 51%Whitebaits 4%Rice 1.5%Nutritional Additives/KgVit. A 1325 u.i.Vit. E 15 mgTaurine 160 mg",Schesir,6.9,//aleef.com/cdn/shop/products/8005852750037.jpg?v=1662291851
5,Schesir Tuna with Kiwi 75g,"All the quality of Schesir 100% natural ingredients in an original and delicious recipe with real fruit combined with the best parts of the fish. Steam cooked, free from added colorings and preservatives.Composition:Tuna 45%Kiwi 4%Rice 2,1%",Schesir,6.9,//aleef.com/cdn/shop/products/8005852613554.jpg?v=1662291814
6,Schesir Tuna & Beef fillets Natural Style in cooking water 85g,"Schesir Tuna & Beef fillets Natural Style in cooking water 85gTop quality food for adult cats made with 100% natural ingredients, free from added colorings and preservatives. Careful selection of the very best parts of the fish, steam-cooked and hand-processed. In cooking water.Composition:Beef fillets 36%Tuna 27%Rice 4%Nutrional Additives/Kgvit. A 1325 I.U.vit. E 15 mg.taurine 160 mg.",Schesir,6.9,//aleef.com/cdn/shop/products/8005852750518.jpg?v=1662291793
7,Schesir Chicken fillets and Beef with rice natural Style 85g,"Schesir Chicken fillets and Beef with rice natural Style 85gTop quality food for adult cats in cocking water with 100% natural ingredients, free from added colorings and preservatives. Careful selection of the very best parts of the Chicken, steam-cooked, and hand-processed,Composition:Chicken fillets 33%Beef fillets 33%Rice 4%Nutritional Additives/KgVit. A 1325 u.i.Vit. E 15 mgTaurine 160 mg",Schesir,6.9,//aleef.com/cdn/shop/products/8005852750549.jpg?v=1662291958
8,Schesir Tuna with Chicken fillets 85g,"Schesir Tuna with Chicken fillets 85gTop quality food for adult cats in soft jelly: with 100% natural ingredients, free from added colorings and preservatives. Careful selection of the very best parts of the Chicken and Fish, steam-cooked and hand-processed,Composition:Tuna 51%Chicken fillets 4.7%Rice 1.5%Nutrional Additives/Kgvit. A 1325 I.U.vit. E 15 mg.taurine 160 mg.",Schesir,6.9,//aleef.com/cdn/shop/products/SchesirTunawithChickenfillets14x85g.jpg?v=1664280919
9,Schesir tuna with surimi 85g,"Schesir tuna with surimi 85gTop quality food for adult cats in soft jelly: with 100% natural ingredients, free from added colorings and preservatives. Careful selection of the very best parts of the Fish , steam-cooked, and hand-processed, in 100g pouch format Composition:Tuna 51%Surimi 5%Rice 1.5%Nutrional Additives/Kgvit. A 1325 I.U.vit. E 15 mg.taurine 160 mg.",Schesir,6.9,//aleef.com/cdn/shop/products/8005852750068.jpg?v=1662291854
