,Name,Description,Brand,Price,Image
0,Schesir Soup With Pink Salmon and Carrots 85 g,"Schesir Soup With Pink Salmon and Carrots  85 gSchesir Soup is made with 100% natural ingredients, free of added colorants and preservatives. Only the best parts of the Fish, steamed and processed by hand, with preparation in inviting soup to be administered alone or in combination with croquettes.Composition:Pink Salmon 19%Carrots 7%",Schesir,6.25,//aleef.com/cdn/shop/products/SchesirSoupWithPinkSalmonandCarrots20x85g.jpg?v=1664182822
1,"Schesir Wild Tuna and Pumpkin Soup Wet food for cats, 85g","Introducing Schesir Wild Tuna and Pumpkin Soup Wet Food for Cats, a tantalizing treat that your feline friend will absolutely adore! 🐱 This premium cat food is crafted with the finest ingredients to provide a meal that not only tastes amazing but also nourishes your cat's well-being.
🌟 Schesir Wild Tuna and Pumpkin Soup Wet food for cats Features:


Delicious Tuna and Pumpkin Combo: Schesir offers a mouthwatering fusion of wild-caught tuna and nutritious pumpkin, creating a flavor sensation that will leave your cat purring for more. 🐟🎃


High-Quality Nutrition: Our cat food is thoughtfully designed to meet your cat's dietary needs, supporting overall health, a shiny coat, and boundless energy.


All-Natural Ingredients: We believe in the power of nature. Schesir's recipe contains no artificial additives, preservatives, or colorants, ensuring a wholesome and safe meal.


Balanced Diet: Our formula is carefully crafted to provide a well-balanced diet for your cat, promoting vitality and longevity.


Convenient and Hygienic Pouches: Each pouch is easy to open and portioned for mess-free serving, making mealtime a breeze. No more leftovers or wasted food! ♻️


Irresistible Taste: With Schesir, your cat won't be able to resist the delectable taste, and mealtime will become the highlight of their day! 😻🍽️


📋 Ingredients:

Tuna (min. 51%)
Pumpkin (min. 4%)
Rice (min. 1.5%)
Minerals

🍽️ Feeding Table:

For an average-sized cat, we recommend serving approximately 2-3 pouches per day, divided into 2-3 meals.
Adjust the amount based on your cat's age, weight, and activity level for tailored nutrition.
Always provide fresh water alongside the delightful Schesir meal.

Treat your cat to a gourmet experience with Schesir Wild Tuna and Pumpkin Soup Wet Food for Cats. We understand your feline companion deserves the very best, and Schesir delivers exceptional taste, quality, and nutrition. Make mealtime an enchanting affair for your beloved kitty! 😺🍽️
Choose Schesir, where quality and your cat's happiness go hand in paw. 🐾
Aleef Store, The destination for your pet care supplies.",Schesir,6.25,//aleef.com/cdn/shop/products/SchesirSoupWithWildTunaandPumpkin20x85g.jpg?v=1664182779
2,"Schesir Pouch of Chicken fillets wet food for Kitten, 100g","Introducing Schesir Chicken Fillets Kitten in a Pouch, the purr-fect choice for your furry bundle of joy! 🐾 Our premium wet food for kittens is specially crafted to provide everything your little one needs for a healthy start in life. Made with the finest quality ingredients, Schesir is the brand you can trust to nourish your growing kitten.
🌟 Schesir Pouch of Chicken fillets wet food for Kitten Features:


Tender Chicken Fillets: Schesir Kitten food is a delectable feast of tender, succulent chicken fillets that your kitten will adore. 🍗


High-Quality Nutrition: We understand that kittens have unique nutritional needs. That's why we've formulated our food to provide essential nutrients for growth, energy, and a shiny coat.


Natural Ingredients: We believe in keeping things natural. Schesir's Kitten food contains no artificial additives, preservatives, or colorants.


Balanced Diet: Our recipe is meticulously crafted to ensure a perfectly balanced diet for your kitten, promoting overall well-being.


Easy-to-Serve Pouches: Each pouch is conveniently portioned, making mealtime a breeze. No more messy cans or leftovers! ♻️


Great Taste: With Schesir, your kitten won't be able to resist the scrumptious taste, and mealtime will become their favorite time of the day! 😺


📋 Ingredients:

Chicken (min. 52%)
Rice (min. 1.5%)
Tapioca starch (min. 1.5%)
Minerals

Nutritional Additives/Kg


vit. A 1700 I.U.
vit. E 180 mg
taurine 200 mg



🍽️ Feeding Table:

For kittens, we recommend feeding approximately 2-3 pouches per day, divided into 2-3 meals.
The specific amount can vary depending on your kitten's age, weight, and activity level, so be sure to adjust accordingly.
Always provide fresh water alongside their delicious Schesir meal.

Give your precious kitten the best start in life with Schesir Chicken Fillets Kitten in a Pouch. We know you want only the finest for your feline friend, and Schesir is here to deliver exceptional taste, quality, and nutrition. Make every meal a delightful experience for your kitten! 😻🍽️
Choose Schesir, where quality and love for your kitten go hand in paw. 🐾
Aleef Store, The destination for your pet care supplies.",Schesir,6.9,//aleef.com/cdn/shop/products/SchesirChickenfilletsKittenPouch20x100g.jpg?v=1664182864
3,Schesir Chicken and Mullet 70g,"Schesir Pouch Chicken and Mullet 70gTop quality food for adult cats made with 100% natural ingredients, free from added colorings and preservatives. Careful selection of the very best parts of the fish , steam-cooked and hand-processed. In broth.",Schesir,6.08,//aleef.com/cdn/shop/products/SchesirChickenandMullet70gx20.jpg?v=1664180339
4,"Schesir Chicken Fillets in Jelly wet food for adult cats , 85g","Schesir Chicken Fillets in Jelly wet food for adult cats , 85g


Finest real chicken fillets 
The recipe is based on chicken fillets
All ingredients selected are 100% natural
The fish is steam-cooked and prepared by hand 
Without added preservatives or colours


COMPOSITION 

62% CHICKEN FILLETS
1.5% RICE


ANALYTICAL

Protein 15%
Raw fats 1%
Raw fibre 1%
Raw ash 2%
Moisture 81%


FEEDING GUIDELINES

Feed up to twice a day
Combine it with our complete wet and/or dry foods
After opening, keep the product in the refrigerator
Serve it within 48 hours. 
Serve at room temperature.",Schesir,6.9,//aleef.com/cdn/shop/products/SchesirChickenFilletsinJellywetfoodforadultcats_85g.jpg?v=1672124827
5,"Schesir Chicken Thin Slices in Sauce wet food for adult cats, 85g","Schesir Chicken Thin Slices in Sauce wet food for adult cats, 85g


Based on chicken to all the pleasure of eating quality meat. And The sauce enhances the natural flavour
This recipe is based on strips of succulent chicken
All ingredients selected are 100% natural
The chicken is steamed-cooked and prepared by hand
Without added preservatives or colours. 


COMPOSITION

62% CHICKEN STRIPS
5.2% TAPIOCA STARCH
1.5% RICE


ANALYTICAL

Protein 15%
Raw fats 1%
Raw fibres 1%
Raw ash 2%
Wetness 81%


FEEDING GUIDELINES

Feed up to twice a day
Combine it with our complete wet and/or dry foods
After opening, keep the product in the refrigerator
Serve it within 48 hours. 
Serve at room temperature.",Schesir,6.9,//aleef.com/cdn/shop/products/SchesirChickenThinSlicesinSaucewetfoodforadultcats_85g.jpg?v=1672123363
6,"Schesir Pollo Chicken Cream in a Pouch Wet food for Kitten, 150g","Give your adorable furball the purr-fect meal with Schesir's Tonnetto Chicken Cream - a gourmet delight specially crafted to cater to your kitten's unique needs. Made with the finest ingredients and packed with love, this wet food is the ideal choice for a healthy, happy, and thriving little feline friend.
🌟 Schesir Pollo Chicken Cream in a Pouch Wet food for Kitten Features 🌟


Premium Ingredients: Schesir Tonnetto Chicken Cream is prepared using only the highest quality, all-natural tuna and tender chicken, ensuring your kitten receives the best nutrition.


Creamy Goodness: The velvety cream texture of this wet food is easy for kittens to lap up, making it a delightful and easy-to-eat meal.


Balanced Nutrition: A specially designed formula that contains essential vitamins, minerals, and proteins to support your kitten's growth and development.


High Palatability: Irresistible to even the pickiest eaters, the delicious combination of tuna and chicken will have your kitten purring with delight.


Convenient Pouch: Each pouch is a perfectly portioned meal, ensuring freshness and no-waste feeding. Just tear, serve, and watch your kitten enjoy!


Ideal for Kittens: This formula is tailored for the specific dietary requirements of kittens, supporting their delicate tummies and energy needs.



COMPOSITION

Chicken 50%, Sunflower Oil, Starch, Dehydrated Egg

ANALYTICAL CONSTITUENTS

Protein 10,5%, fats 2,5 %, fibre 1%, ash 2%, Calcium 200 mg/100g, Phosphorus 120 mg/100g, Moisture 84%




التغذيه Feed Recommendation


شهر months
حوامل pregnancy
مرضعه lactation
1
2
3
4
5-6


علبة/يوم cans/day
2
3
1/2
1
1+1/2
2
3




Remember to store the product in the refrigerator and use it within 48-72 hours. Serve at room temperature.
The quantities indicated in the table refer to daily requirements and should be divided into at least 4 meals at various times of day",Schesir,15.75,//aleef.com/cdn/shop/products/SchesirPolloChickenCreamWetfoodforKitten_150g.jpg?v=1679385479
7,Applaws Chicken Breast with Lamb in Jelly Pouch 70g,"Chicken breast 55%, Lamb 7%, Vegetable gelling agent 1%, 37% Water",Applaws,5.85,//aleef.com/cdn/shop/products/40ebaefb7f4df839e57af5850522f79c6a69421f.jpg?v=1662291920
8,"Schesir Tuna with Sea bass in Jelly wet food for adult cats , 85g","Schesir Tuna with Sea bass in Jelly wet food for adult cats , 85g


Rich in proteins and omega 3
Tuna is the main ingredient in this recipe 
The tuna is paired with a tasty sea bass topping
All ingredients selected are 100% natural
The fish is steam-cooked and prepared by hand
Without added preservatives or colours
Only sustainably fished tuna


COMPOSITION

57% TUNA
5% SEA BASS
1.5% RICE


ANALYTICAL 

Protein 13%
Raw fats 1%
Raw fibre 1%
Raw ash 2%
Moisture 83%


FEEDING GUIDELINES

Feed up to twice a day
Combine it with our complete wet and/or dry foods
After opening, keep the product in the refrigerator
Serve it within 48 hours. 
Serve at room temperature.",Schesir,6.9,//aleef.com/cdn/shop/products/SchesirTunawithSeabassinJellywetfoodforadultcats_85g.jpg?v=1672216505
9,Me-O Delite Tuna With Chicken Flakes In Jelly Wet Food 70g,Me-O Delite Tuna With Chicken Flakes In Jelly Wet Food 70gTuna with chicken flakes wet food Taurine For eye sight healthBiotin and ZincFor a shiny coat and healthy skinVitamin CTo support and enhance immune system,Meo,4.95,//aleef.com/cdn/shop/products/Me-ODeliteTunaWithChickenFlakesInJellyWetFood12x70g.jpg?v=1664620249
