,Name,Description,Brand,Price,Image
0,Beaphar Macadamia Oil Cat Shampoo,"This shampoo is a rich, premium shampoo. It is a specially formulated deep conditioning shampoo for cats. This shampoo contains macadamia oil to bring life and condition to the dullest coat.Available in 250ml and 1L 1L bottle comes with a pump",Beaphar,35.0,//aleef.com/cdn/shop/products/8711231109029.jpg?v=1658655889
1,Vet’s Best  Waterless Shampoo Cat Bath 150ml,"Vet’s Best  Waterless Shampoo Cat Bath 150mlIs a no-rinse foam cat shampoo that acts as a natural cleanser that moisturizes skin and coat, while soothing dry skin and itching. Waterless Cat shampoo is formulated using Natural Ingredients (aloe vera, neem oil, vitamin E, and oatmeal) and has a relaxing and calming fragrance.For use with cats 12 weeks or older, and will not affect topical flea control products.",Vet's Best,48.0,//aleef.com/cdn/shop/products/Vet_sBestWaterlessShampooCatBath150ml.jpg?v=1669622878
2,Beaphar Bubbles Shampoo for Cats 250ml,"Bubbles by Beaphar! Specially formulated for all types of cats for a wonderfully hydrated, super soft and shiny coat. Use bubbles to enjoy some good moments together with your cat.",Beaphar,34.65,//aleef.com/cdn/shop/products/8711231103324.jpg?v=1658655884
3,"Beaphar Dimethi care parasite infestations removal shampoo for cats and dogs, 200ml","Beaphar Dimethi care parasite infestations removal shampoo for cats and dogs, 200ml

A natural and effective way to protect your pet from ticks, fleas and other parasites.
This shampoo is suitable for cats and dogs of at least 12 weeks of age.
It supports the maintenance of healthy skin and coat by nourishing it with aloe vera and dimethicone.
Beaphar dimethi care shampoo immobilizes parasites by purely physical means, without using any chemicals or pesticides.
It also has a pleasant fragrance that your pet will enjoy.
Beaphar dimethi care shampoo is part of the Beaphar dimethi care range, which offers products that help to prevent and treat parasite infestations in your pet.",Beaphar,35.0,//aleef.com/cdn/shop/files/anaturalandeffectivewaytoprotectyourpetfromticks_fleasandotherparasites..jpg?v=1684401982
4,"Beaphar pH Shampoo for short and long hair for cats, 250mL","Beaphar pH Shampoo for short and long hair for cats, 250mL

A mild pH that is suitable for both short and long hair helps prevent dryness and irritation.
Our shampoo also contains natural ingredients that moisturize and condition your cat’s coat, leaving it soft, shiny and fresh.
Whether your cat has sleek or fluffy fur, our shampoo will make it easy to groom and cuddle.

Try our cat shampoo today and see the difference!",Beaphar,35.0,//aleef.com/cdn/shop/files/BeapharpHShampooforshortandlonghairforcats_250mL.jpg?v=1684655758
5,Beaphar Premium Shampoo Kitten & Cat 200ml,"Beaphar Premium Shampoo Kitten & Cat 200mlwith white tea and silk hydrates and nourishes the furThe silk protein extracts fortifies, protects and smooth the cuticle scales
Allows the fur to be untangled easily and make it easy to brush
The neutral pH respects the skin of cats and kittens
Softly cleans the cat's coat leaving it glossy, sweet smelling and voluminous!",Beaphar,60.06,//aleef.com/cdn/shop/products/BeapharPremiumShampooKitten_Cat200ml.jpg?v=1670920579
6,"Beaphar
  Kitten Shampoo Fruit Aroma","Beaphar kitten shampoo is a mild, pH neutral shampoo, specially formulated for the sensitive skin of kittens. Fruits have been added to ensure your kitten's coat maintains its soft, youthful quality. A mild and gentle formulation Suitable for all young breeds",Beaphar,80.75,//aleef.com/cdn/shop/products/BeapharKittenShampooFruitAroma.png?v=1667733886
7,Catidea Cat Shampoo 236ml,Catidea Cat Shampoo 236ml,Catidea,24.0,//aleef.com/cdn/shop/products/1.jpg?v=1663404525
8,"Simple Solution Extreme Carpet Shampoo Odor, Spring Fresh Scent","Tired of battling those relentless carpet stains and lingering odors? Look no further! Our Extreme Carpet Shampoo is meticulously crafted to combat tough stains and banish odors, infusing your home with the rejuvenating scent of spring.


KeySimple Solution Extreme Carpet Shampoo Odor, Spring Fresh Scent Features:




Powerful Stain Remover: Bid farewell to unsightly stains. This shampoo delves deep into your carpets, effectively lifting and erasing even the most stubborn blemishes.


Odor Neutralization: No more masking odors. Our formula gets to the root of the issue, neutralizing unpleasant smells and leaving your carpets with the fresh, inviting fragrance of spring.


Deep Cleaning: Offering a comprehensive and thorough clean, it revitalizes your carpets, restoring their appearance and texture.


Carpet-Friendly: Crafted to be gentle on your carpet's fibers while maintaining its formidable cleaning power.



Ingredients


Purified water, professional strength detergents and fragrance


Directions for Use:



Vacuum your carpet thoroughly before use to remove loose dirt and debris.


Shake the bottle well to ensure proper mixing of the formula.


Dilute the shampoo according to the manufacturer's instructions, if necessary, based on the severity of stains and odors.


Test the product on a small, inconspicuous area of your carpet to ensure colorfastness and compatibility.


Apply the diluted solution evenly to your carpet using a carpet cleaning machine or a clean, damp cloth, working in small sections.


Allow the shampoo to sit for the recommended time mentioned in the instructions, but do not let it dry on the carpet.


Use a clean, damp cloth or the carpet cleaning machine to remove the shampoo, going over the treated areas until the water runs clear.


Allow your carpet to fully dry before resuming regular use.


Experience the delight of cleaner, fresher carpets with Simple Solution Extreme Carpet Shampoo. Bring the invigorating essence of spring to your home today. Order now!
Aleef Store, The destination for your pet care supplies.",Simple Solution,61.2,//aleef.com/cdn/shop/files/SimpleSolutionExtremeCarpetShampooOdor_SpringFreshScent.jpg?v=1695638177
9,Beaphar Cat Shampoo Aloe Vera,"Beaphar shampoo with Aloe Vera ensures a naturally moisturized skin and keeps the fur soft and glossy. The aloe vera cares for the skin and is ideal to cure small wounds and itchy areas. It also keeps the fur soft, de-tangling any knots in the fur, leaving your cat well cared for.",Beaphar,35.0,//aleef.com/cdn/shop/products/8711231150380.jpg?v=1658655756
