,Name,Description,Brand,Price,Image
0,<tc>Stefanplast Cathy Clever & Smart Litter box for Cats</tc>,"Stefanplast Cathy Clever & Smart Litter box for Cats 

Provided with a practical pull-out drawer that makes the disposal of cat litter easier, guaranteeing a sanitized and tidy toilet everyday.
Provided with an hygienic scoop placed on the upper part, in order to allow a quick and fast litter tray cleaning.
Provided with a carbon filter that keeps the toilet always sanitized.

Size: 

58x45x48 cm

 




درج يسحب للخارج
Pull-out drawer





سكوب صحي
Hygienic scoop





فلتر كربون
Carbon filter





VIDEO TUTORIAL",Stefanplast,172.0,//aleef.com/cdn/shop/products/StefanplastCathyClever_SmartLitterboxforCats.jpg?v=1673939642
1,<tc>Stefanplast Cathy Litter box With a Carbon Filter for Cats</tc>,"Stefanplast Cathy Litter box With a Carbon Filter for Cats

A very roomy and at the same time comfortable for our pet that will feel safe.
It is provided with a flap door for an easier entry and exit, a second practical opening for a quicker and easier cleaning, handle for transport,

Size: 

56x40x40 cm

 




باب متأرجح
Flap door





فلتر كربون
Carbon filter",Stefanplast,98.0,//aleef.com/cdn/shop/products/StefanplastCathyLitterboxWithaCarbonFilterforCats.jpg?v=1673937846
2,<tc>Stefanplast Furba Top Chic Self-cleaning Sieve Plastic Litter box for Cats</tc>,"Stefanplast Furba Top Chic Self-cleaning Sieve Plastic Litter box for Cats

An Innovative self-cleaning hooded cat litter tray.
Made up of a sieve and two basins that quickly separate dirt without waste.
It has an intelligent scoop-free cleaning system that allows throwing the waste directly in the bin.

Size: 

58.5x39.4x42.7 cm",Stefanplast,170.0,//aleef.com/cdn/shop/products/StefanplastFurbaTopChicSelf-cleaningSievePlasticLitterboxforCats.jpg?v=1673857868
3,Bergamo Cat Litter Basin With Filter,"Bergamo Cat Litter Basin With Filter 
 
Shiny floor
Easy to use and practical
Size:
59X39X.5X23cm 
Made in Italy 
Tutorial Video",MP Bergamo,95.0,//aleef.com/cdn/shop/products/BergamoCatLitterBasinWithFilter4.jpg?v=1665295626
4,<tc>Stefanplast Cathy Easy Clean Litter box With a Carbon Filter for Cats</tc>,"Stefanplast Cathy Easy Clean Litter box With a Carbon Filter for Cats

A very roomy and at the same time comfortable for our pet that will feel safe.
It is provided with a flap door for an easier entry and exit, a second practical opening for a quicker and easier cleaning, handle for transport,
With hygienic scoop and carbon filter to get rid of bad odours..

Size: 

56x40x40 cm

 




بوابه مثاليه
Practical opening


 




سكوب صحي
Hygienic scoop


 




فلتر كربون
Carbon filter",Stefanplast,104.0,//aleef.com/cdn/shop/products/StefanplastCathyEasyCleanLitterboxWithaCarbonFilterforCats.jpg?v=1673936797
5,"Feline Go Cat Litter Tray With Strainer, Light green colour","Feline Go Cat Litter Tray With Strainer, Light green colour

Litter Tray With paws Strainer is a fun and functional product that adds a touch of cuteness to your cat’s litter box.
It works similarly to Litter Tray With Strainer, but with a twist: the strainer tray has paw-shaped holes that let the clean litter pass through, while the solid waste and clumps stay on top.
The non-strainer tray collects the clean litter and can be used as a replacement for the strainer tray.
It prevents tracking and scattering, as the clean litter stays in the tray and does not stick to your cat’s paws or fur.
Litter Tray With Paws Strainer is made of durable plastic that is easy to wash and sanitize.
It comes in different colours and sizes to suit your preference and your cat’s needs.
Litter Tray With Paws Strainer is a cute and clever solution for cat owners who want to make litter cleaning more enjoyable and less messy.

Size:

37.5x49.5x17.5 cm",Feline Go,30.0,//aleef.com/cdn/shop/files/FelineGoCatLitterTrayWithStrainer_Lightgreencolour.jpg?v=1692017317
6,<tc>Stefanplast Très Chic Indoor Filter Litter box for Cats</tc>,"Stefanplast Très Chic Indoor Filter Litter box for Cats

Cat toilet with an anti-odour active carbon filter.
Designed to make our cats feel more comfortable without compromising on style.
A flap door for easier entry and exit.
The hooded indoor Filter model is provided with a carbon filter
With a carrying handle.

Size: 

56x39x39 cm





مدخل متأرجح Swing door







مقبض للحملCarrying handle







فلتر كربون نشط مضاد للرائحة.Active carbon filter included







مقابض للإحكامClips included",Stefanplast,108.0,//aleef.com/cdn/shop/products/StefanplastTresChicIndoorFilterLitterboxforCats.jpg?v=1673856358
7,"Feline Go Cat Litter Tray With Strainer, Light Blue colour","Feline Go Cat Litter Tray With Strainer, Light Blue colour

Litter Tray With paws Strainer is a fun and functional product that adds a touch of cuteness to your cat’s litter box.
It works similarly to Litter Tray With Strainer, but with a twist: the strainer tray has paw-shaped holes that let the clean litter pass through, while the solid waste and clumps stay on top.
The non-strainer tray collects the clean litter and can be used as a replacement for the strainer tray.
It prevents tracking and scattering, as the clean litter stays in the tray and does not stick to your cat’s paws or fur.
Litter Tray With Paws Strainer is made of durable plastic that is easy to wash and sanitize.
It comes in different colours and sizes to suit your preference and your cat’s needs.
Litter Tray With Paws Strainer is a cute and clever solution for cat owners who want to make litter cleaning more enjoyable and less messy.

Size:

37.5x49.5x17.5 cm",Feline Go,30.0,//aleef.com/cdn/shop/files/FelineGoCatLitterTrayWithStrainer_LightBluecolour.jpg?v=1692014556
8,MP Bergamo Cat Litter Tray Without filter,MP Bergamo Cat Litter Tray with SifterNo scoop needed to clean the sandEasy to use and saves you time on cleaningDimensions: 59×39.5×27:,MP Bergamo,55.0,//aleef.com/cdn/shop/products/MPBergamoCatLitterTrayWithoutFilterBaige.jpg?v=1666508512
9,<tc>Stefanplast Furba Chic Maxi Litter box for Cats</tc>,"Stefanplast Furba Chic Maxi Litter box for Cats

A spacious innovative self-cleaning opened cat litter tray, designed to fit the needs of more space and comfort of our cat friends.
Made up of a sieve and two basins that quickly separate dirt without waste.
An intelligent scoop free cleaning system that allows to throw the waste directly in the bin.
Dedicated and ideal product and an even more comfortable solution according to the size of our pets.

Size:

69.5x47x26 cm

Tutorial Video",Stefanplast,170.0,//aleef.com/cdn/shop/products/StefanplastFurbaChicMaxiLitterboxforCats.jpg?v=1674024232
