,Name,Description,Brand,Price,Image
0,Fida poop-bag Replacement,Fida poop-bag Replacement A pack of 6 refill rolls for your poo bag holder.,Fida,19.2,//aleef.com/cdn/shop/products/6951135202750.jpg?v=1658654149
1,MPS Litter coarse sand Scoop for cats,"MPS Litter coarse sand Scoop for cats


Made of high quality Italian plastic with big mesh
Easy to use.",MPS,8.8,//aleef.com/cdn/shop/products/MPSLitterfinesandScoopforcats.jpg?v=1675501714
2,Feline Go Litter Scoop With Cover for cats,"Feline Go Litter Scoop With Cover for cats

a handy tool that helps you keep your cat’s litter box clean and odour-free.
It has a large scoop that can easily pick up clumps of litter, and a cover that prevents the litter from falling off the scoop or spreading dust and germs.
The cover also has a hook that allows you to hang the scoop on the side of the litter box or on a wall.
The scoop and cover are durable plastic that is easy to wash and sanitize.
Litter Scoop With Cover for cats is a must-have for any cat owner who wants to maintain a hygienic and comfortable environment for their furry friend.

Measurement: 

13×29×9.5 cm",Feline Go,7.0,//aleef.com/cdn/shop/products/FelineGoLitterScoopWithCoverforcats.jpg?v=1692181799
3,Practical Bags For Cats  Litterbox- 6 bags size Small,"Practical Bags For Cats  Litterbox- 6 bags size Large

Practical bags placed on the litterbox containing 6 bags
(65x31cm) Large
clean and hygienic
Makes the Litter Box cleaning process quick and easy
Prevent urine deposits and unpleasant odours inside the litter box
Keep the litter box for a longer period.",متجر اليف,10.0,//aleef.com/cdn/shop/products/01547987f8317149b757cd70d0b7b16f.jpg?v=1663054145
4,Stefanplast Hygienic Scoop&nbsp;,"Stefanplast Hygienic Scoop
Size
25x11x2 cm",Stefanplast,4.0,//aleef.com/cdn/shop/products/8003507963917.jpg?v=1672646089
5,"Bergamo Scoop For Coarse Sand, Large size","Bergamo Scoop For Coarse Sand, Large size",MP Bergamo,6.0,//aleef.com/cdn/shop/products/BergamoScoopForCoarseSand_Smallsize.jpg?v=1665216307
6,Catidea standing pet food spoon,,Catidea,11.0,//aleef.com/cdn/shop/products/catideastandingpetfoodspoon.jpg?v=1663398524
7,"Bergamo Scoop For Fine Sand, Small size","Bergamo Scoop For Fine Sand, Small size",MP Bergamo,5.1,//aleef.com/cdn/shop/products/BergamoScoopforcoarsesand_Largesize.jpg?v=1665211670
8,"Bergamo Scoop For Coarse Sand, Large size","Bergamo Scoop For Coarse Sand, Large size",MP Bergamo,6.8,//aleef.com/cdn/shop/products/BergamoScoopforcoarsesand_Largesize_f08848d7-dd3c-4650-8991-66b57f941b6a.jpg?v=1665216061
9,"Bergamo Scoop For Fine Sand, Large size","Bergamo Scoop For Fine Sand, Large size",MP Bergamo,8.0,//aleef.com/cdn/shop/products/BergamoScoopforfinesand_Largesize.jpg?v=1665215444
10,FIDA Waste Bag Dispenser H14 X W4 cm,This waste bag dispenser is suitable for all dogs.Fix this practical box on your retractable leash and conveniently store some poop bags for the walks.Material: ABSSize: H 14 cm X W 4 cmBag size: H 6 cm X W 4 cm,Fida,12.8,//aleef.com/cdn/shop/products/FD22002.jpg?v=1658656220
11,Zolux Litter Scoop&nbsp;,"Zolux Litter Scoop

It's an excellent scoop with a deep base to clean the biggest amount of litter .. It's easy and way comfortable to use.",Zolux,17.6,//aleef.com/cdn/shop/products/ZoluxLitterScoop.jpg?v=1672642115
12,CatIdea Cat litter Scoop and Collector Cream,CatIdea Cat litter Scoop and CollectorIt's made of a high quality plastic which is easy to collect with and clean.,Catidea,22.0,//aleef.com/cdn/shop/products/6921103001746.jpg?v=1658654691
13,"<tc>Stefanplast Multipurpose Shovel Litter Scoop Single, For Cats</tc>","Stefanplast Multipurpose Shovel Litter Scoop Single, For Cats


An excellent scoop with a deep base to clean the biggest amount of litter 
Easy and way comfortable to use.


Size
27.5x12.5x9",Stefanplast,10.0,//aleef.com/cdn/shop/products/ZoluxLitterScoop_ed6c917a-86dd-4da6-af19-acd493f4412a.jpg?v=1672645253
14,"Bergamo
  Shaker Cat Litter Scoop",Bergamo Shaker Cat Litter Scoop,MP Bergamo,12.0,//aleef.com/cdn/shop/products/BergamoShakerCatLitterScoop.jpg?v=1668584066
15,"بروفاين أكياس فضلات, 4 رول",أكياس الفضلات بأنماط وألوان مختلفة تعتبر أكياس الفضلات من الضروريات اثاء التنزه مع كلبك في الأماكن العامه لالتقاط مخلفات وفضلات كلبك والحفاض على نظافة الأماكن العامة اثناء التنزه عملية وصفيرة الحجم لسهولة الحمل,Profine,12.0,//aleef.com/cdn/shop/products/ProfineLitterBags_4Rolls.jpg?v=1668513039
16,MPS Elektra Litter Scoop Assorted,MPS Elektra Litter Scoop Assorted,MPS,8.8,//aleef.com/cdn/shop/products/MPSElektraLitterScoopAssorted.jpg?v=1663569478
17,Catidea Litter Scoop For Cats,"CatIdea Large litter ScoopLarge litter scoop for less time-consuming
it helps cleaning and collecting cat waste in one process for easier and efficient cleaning.",Catidea,14.0,//aleef.com/cdn/shop/products/CatIdeaLargelitterScoop.jpg?v=1663057848
18,Practical Bags For Cats  Litterbox- 6 bags size Large,Practical Bags For Cats  Litterbox- 6 bags size LargePractical bags placed on the litterbox containing 6 bags(90x31cm) Largeclean and hygienicMakes the Litter Box cleaning process quick and easyPrevent urine deposits and unpleasant odours inside the litter boxKeep the litter box for a longer period,متجر اليف,10.0,//aleef.com/cdn/shop/products/PracticalBagsForCatsLitterbox-6bagssizeLarge_6f4f49f7-648a-489d-9e32-653e63fe0ce2.jpg?v=1663052933
19,Practical Bags For Cats  Litterbox- 6 bags size Large,"Practical Bags For Cats  Litterbox- 6 bags size Large
Practical bags placed on the litterbox containing 6 bags
(90x31cm) Large
clean and hygienic
Makes the Litter Box cleaning process quick and easy
Prevent urine deposits and unpleasant odours inside the litter box
Keep the litter box for a longer period.",متجر اليف,10.0,//aleef.com/cdn/shop/products/PracticalBagsForCatsLitterbox-6bagssizeLarge.jpg?v=1662794969
20,Bergamo Shaker Cat Litter Scoop,Bergamo Shaker Cat Litter Scoop,MP Bergamo,12.0,//aleef.com/cdn/shop/products/8058093274138.jpg?v=1658656710
21,MPS PALETTE RHEA,scoop useful for all types of litter and in particular,MPS,8.8,//aleef.com/cdn/shop/products/8022967012850.jpg?v=1658656662
22,اينودورينا سيتي باغ أكياس فضلات 3 رول,أكياس الفضلات بأنماط وألوان مختلفة تعتبر أكياس الفضلات من الضروريات اثاء التنزه مع كلبك في الأماكن العامه لالتقاط مخلفات وفضلات كلبك والحفاض على نظافة الأماكن العامة اثناء التنزه عملية وصفيرة الحجم لسهولة الحمل,Inodorina,16.5,//aleef.com/cdn/shop/products/e1a168aeb8d7988262ac9bac2813fb3fea7ef81e.jpg?v=1658655927
23,زولكس عصا مجرفة لنفايات الكلاب,مجرفة عملية وصحية من الممكن التقاط فضلات الكلب الخاص بك على أي نوع من السطح بسرعة وبدون جهدمجهزة بمقبض يؤدي إلى فتح المجرفة عن طريق الضغط البسيط  فهو يساعد على الحفاظ على نظافة الحديقة وممتعتهامثالية لكبار السن والأشخاص الذين يعانون من مشاكل الظهر أو التنقل فإنه يتجنب الاضطرار إلى الانحدار,Zolux,66.0,//aleef.com/cdn/shop/products/3336024744406.jpg?v=1658655542
24,Fida Poop-Bag Holder,Fida Poop-Bag Holder Special compartment for storing bags It can be hanged in the m7 leash for quick use too.,Fida,30.0,//aleef.com/cdn/shop/products/6951135202729.jpg?v=1658655048
25,MPS Litter Scoop Multicolor,MPS Litter Scoop Multicolor,MPS,7.0,//aleef.com/cdn/shop/products/8022967065306.jpg?v=1658654489
