,Name,Description,Brand,Price,Image
0,Lindocat Clumping And  Active Carbon 10L,"Clumping + Active Carbon is composed of a selected mix of natural sodium bentonite with Active Carbon.This bentonite sand is characterized by its ability to instantly form ultra compact agglomerates.This guarantees a complete neutralization of odors which adds to the absence of dust.A triple action for a superior quality cat litter.With the addition of activated carbon for total control of bad odors.Activated carbon is a totally natural material with a highly porous structure and a high internal surface area. The molecules responsible for bad odors form physical bonds with activated carbon: it works as for magnets, the positive and negative charges attract each other. The large internal surface with its special pores allows to attract and imprison a large amount of unpleasant odors.",Lindocat,80.0,//aleef.com/cdn/shop/products/8006455001199.jpg?v=1658655003
1,PetClay White Bentonite Extra Activated Carbon Litter for cats,"Lindocat Essential Urasite Litter for cats, 20L 

Lindocat Essential is a natural and hygienic cat litter that offers superior performance and odour control.
It is made from 100% Urasite, a rare and valuable clay mineral that has a high absorbency of liquids and odours.
Thanks to its unique lamellar structure, Urasite traps and neutralizes bacteria, the main cause of bad smells, keeping your cat’s litter box fresh and clean.
Urasite quickly captures and neutralizes bacteria, the main source of unpleasant smells, ensuring a healthy and comfortable environment for your cat
Lindocat Essential is not chemically treated, so it is safe for your cat and the environment.
It is available in 10L paper bags and 20L plastic valve bags",Lindocat,86.0,//aleef.com/cdn/shop/files/LindocatEssentialUrasiteLitterforcats_20L.jpg?v=1692709538
2,Purina Tidy  Non-clumping  cat litter  24/7 performance  20LB 9 Kg,"Purina Tidy  Non-clumping  cat litter  24/7 performance  20LB 9.07KgExtended-release deodorizing systemGreat absorption, powerful odour control99.6% dust-free",Purina,62.0,//aleef.com/cdn/shop/products/070230107206.jpg?v=1658655046
3,"Lindocat Advanced Super Premium Cat Litter, No Scent","Lindocat Advanced Super Premium Cat Litter, No Scent

Zero Odors
Long Lasting
Extra Strong Clumping
The ultimate cat litter for those who are looking for a product with outstanding performance.
Guarantees exceptional odour control properties and extra strong clumping power.
The solid and compact agglomeration ensures minimal product wast",Lindocat,56.0,//aleef.com/cdn/shop/files/LindocatAdvancedSuperPremiumCatLitterNoScent6L_ec051a62-7a6b-4de2-95d2-eb7360dd56a0.jpg?v=1691397023
4,Lindo Cat Advanced MultiCat 12L,"Lindo Cat Advanced MultiCatMulti-Cat + is a high-quality, clumping, hygienic litter, made of 100% bentonite of fine and unique white color, with a fine grain size. The small size of the granules allows a very rapid agglomeration and the formation of solid lumps, with a minimal waste of product for a longer duration over time than normal bedding. Free of added fragrances in full respect of your cat's physical well-being.",Lindocat,65.0,//aleef.com/cdn/shop/products/345a83a3902290bbf3d4847ad7f5e2fa5c4c6c8a.jpg?v=1658656028
5,Lindo Cat CLUMPING+ LOW TRACK Cat Litter,"Lindo Cat CLUMPING+ LOW TRACK Cat LitterDOES NOT STICK TO THE PAWScomposed of a selected mix of natural sodium bentonite.
This bentonite is characterized by its ability to instantly form ultra-compact agglomerates.
This guarantees a complete neutralization of odours which adds to the absence of dust.
Triple action for a superior quality cat litter.",Lindocat,58.0,//aleef.com/cdn/shop/products/LindoCatCLUMPING_LOWTRACK.jpg?v=1664090540
6,BioSand Super Clumping White Litter 15 L,"BioSand Super Clumping White is a compact litter composed of a refined, natural mineral Bentonite. The litter is made so fine that liquids cannot reach the bottom of the litter tray, trapping them in very small, compact balls scented with baby powder perfume.The speed and remarkable clumping power of BioSand Super Clumping White enables dirt to be completely removed, leaving the remaining litter perfectly clean and dry.",BioSand,105.0,//aleef.com/cdn/shop/products/8017520001556.jpg?v=1658655639
7,"Lindocat Advanced Super Premium Cat Litter, No Scent","Lindocat Advanced Super Premium Cat Litter, No ScentZero Odors
Long Lasting
Extra Strong Clumping
The ultimate cat litter for those who are looking for a product with outstanding performance.
Guarantees exceptional odour control properties and extra strong clumping power.
The solid and compact agglomeration ensures minimal product wast",Lindocat,84.0,//aleef.com/cdn/shop/products/LindocatAdvancedSuperPremiumCatLitterNoScent10L.jpg?v=1667024655
8,BioSand Super Clumping White Litter 10 L,"BioSand Super Clumping White is a compact litter composed of a refined, natural mineral Bentonite. The litter is made so fine that liquids cannot reach the bottom of the litter tray, trapping them in very small, compact balls scented with baby powder perfume.The speed and remarkable clumping power of BioSand Super Clumping White enables dirt to be completely removed, leaving the remaining litter perfectly clean and dry.",BioSand,77.0,//aleef.com/cdn/shop/products/8017520001518.jpg?v=1658655903
9,Lindocat Advanced CARBON+MICRO 6L,"Lindocat Advanced CARBON+MICRO 6LMicro granules, maxi absorbance.Active CarbonZero OdorsLong Lasting100% NaturalBased on 100% natural white bentonite.Fine granules guarantee rapid and solid clumps, making daily litter cleaning easy and reducing any waste. Enriched with activated carbon, allows high absorption at a molecular level of the organic components of dejections, instantly neutralizing bad smells.",Lindocat,33.0,//aleef.com/cdn/shop/products/LindocatAdvancedCARBON_MICRO6L.jpg?v=1667027699
10,"Rigor Cat Litter, Carbon","Rigor Cat Litter, Carbon
Super compact granules that provide faster and smoother clumping. Natural bentonite for perfect odour control. Long-term and economical use is 99.5% dust-free.
Does not leave a paw trail. High liquid Suction Capacity. Made of High-Quality White Bentonite Mine",Rigor Cat,20.0,//aleef.com/cdn/shop/products/RigorCatLitter_Carbon.jpg?v=1664089076
