,Name,Description,Brand,Price,Image
0,Zolux Scratching post With Catnip,Zolux Scratching post With CatnipDimensions: Height: 44.5 cm Width: 12 cm,Zolux,11.0,//aleef.com/cdn/shop/products/3336025040279.jpg?v=1658655807
1,"Beaphar Calming Tablets for Cats & Dogs, 20 Tablets","Beaphar Calming Tablets for Cats & Dogs, 20 TabletsBeaphar Calming Tablets are a herbal supplement for dogs and cats. The tablets contain Melissa officinalis, sometimes called Lemon Balm, which is recognized for its calming properties, along with other beneficial ingredients including rosemary. The tablets help alleviate problem behavior arising from stressful situations such as: Visit to the vet Fireworks Thunderstorms Traveling Moving houseHow to UseAllow 1 ½ hours for tablets to take effect.Cats and small dogs: ½ tablet.Medium dogs 1 tablet.Large dogs 2 tablets.Tablets can be given directly or added to the food. The treatment can be repeated after 2½ hours; administer no more than 3 times per day",Beaphar,35.0,//aleef.com/cdn/shop/products/BeapharCalmingTabletsforCats_Dogs.jpg?v=1666678024
2,Petlinks Cutie Bandit Cat Toy,"Petlinks Cutie Bandit Cat ToyPet links cutie Bandit long legged catnip plush cat toy with which is an exciting blend of silver vine and catnip.Pet links Cutie Bandit long legged catnip and crinkle cat toy is designed to stimulate and satisfies cats' Instinct to hunt great size to bat, carry and wrestleDangling arms and legs keep cats guessing jute and faux fur are both exciting textures for cats under stuffed and floppy for added fun!Happynip is our proprietary and exciting blend of silver vine and catnip, an ideal alternative for finicky felines who need a little extra excitement!It's more potent than catnip and as pure as can be! Most cats respond to catnip with a burst of energetic activity followed by a perfectly calm mellow period. Our catnip is produced without chemicals or pesticides.",PetLinks,22.0,//aleef.com/cdn/shop/products/786306402082_2.png?v=1658654415
3,Zolux ETHI'CAT Ball Catnip Toy for cats,"Zolux ETHI'CAT Ball Catnip Toy for cats

Give your feline friend a treat they will love with this catnip stuffed toy.
This toy is made of soft, durable fabric that can withstand your cat’s claws and teeth.
It is filled with premium catnip to stimulate your cat’s senses and encourage them to play.
The toy comes in various shapes and colours, such as mice, fish, birds, and more.
Whether you want to toss, roll, or cuddle, this toy will keep your cat entertained and happy for hours.
100% recycled polyester padding, stitching and embroidery
88% minimum recycled materials
Order yours today and watch your cat go wild!",Zolux,9.0,//aleef.com/cdn/shop/products/ZoluxETHI_CATBallCatnipToyforcats.jpg?v=1681811282
4,SmartyKat Mouse Moods Cat Toy,SmartyKat Mouse Moods Cat ToySmarty Kat Mouse moods set of 2 emoji catnip cat toys Wink tongue and rainbow poop are pint sized with added ribbon and faux fur providing textural stimulationA set of 2 toys Filled with catnip and faux furCats get active with catnip which inactive them to play and jumpMeets all the saftey standards,Smartykat,14.08,//aleef.com/cdn/shop/products/6e328da2a817e04e2fba674b132e6b1ee64d830e.jpg?v=1658656835
5,SmartyKat Pom Player Cat Toy,SmartyKat Pom Player Cat ToySmarty Kat pomp player door dangler catnip and silver vine cat toy a 3 in 1 toy sure to please any catSmarty Kat Pomp Player Door Dangler Catnip and Silver vine Cat ToySilver vine and catnip is a more potent blend than catnip alone. Our catnip is produced without chemicals or pesticides. For most cats catnip provides a burst of energy followed by a mellow periodA 3 in 1 toy sure to please any cat launch-able for interactive play or hang Just out of cat's reach to encourage jumping real feathers and mixed textures are enticing for cats to come back for more,Smartykat,17.6,//aleef.com/cdn/shop/products/9f0ff56c738d9571c03e07a11fe8568a90d6c794.jpg?v=1658656834
6,Smarty kat silly swimmers cat toy,"Smarty kat silly swimmers cat toySMARTYKAT Silly Swimmer Fish are sure to make playtime fun for your feline friend.CREATED to excite, the fish toys feature crinkle material and feathers to drive cats wild.DESIGNED to engage your cat, these toys are the perfect size for felines to bat and carry.FILLED with pure ingredients and free from chemicals or pesticides. Cats typically develop a reaction to catnip at 9 months of age.",Smartykat,22.0,//aleef.com/cdn/shop/products/786306320232.jpg?v=1658654650
7,Zolux ETHI'CAT Worm Catnip Toy for cats,"Zolux ETHI'CAT Worm Catnip Toy for cats

Give your feline friend a treat they will love with this catnip stuffed toy.
This toy is made of soft, durable fabric that can withstand your cat’s claws and teeth.
It is filled with premium catnip to stimulate your cat’s senses and encourage them to play.
The toy comes in various shapes and colours, such as mice, fish, birds, and more.
Whether you want to toss, roll, or cuddle, this toy will keep your cat entertained and happy for hours.
100% recycled polyester padding, stitching and embroidery
88% minimum recycled materials
Order yours today and watch your cat go wild!",Zolux,20.0,//aleef.com/cdn/shop/products/ZoluxETHI_CATWormCatnipToyforcats.jpg?v=1681811858
8,Zolux ETHI'CAT Pyramid with Fishing Rod Catnip Toy for cats,"Zolux ETHI'CAT Pyramid with Fishing Rod Catnip Toy for cats

Give your feline friend a treat they will love with this catnip stuffed toy.
This toy is made of soft, durable fabric that can withstand your cat’s claws and teeth.
It is filled with premium catnip to stimulate your cat’s senses and encourage them to play.
The toy comes in various shapes and colours, such as mice, fish, birds, and more.
Whether you want to toss, roll, or cuddle, this toy will keep your cat entertained and happy for hours.
With or without bamboo fishing rods 28% recycled material minimum.
100% recycled polyester padding, stitching and embroidery
88% minimum recycled materials
Order yours today and watch your cat go wild!",Zolux,14.0,//aleef.com/cdn/shop/products/ZoluxETHI_CATPyramidwithFishingRodCatnipToyforcats.jpg?v=1681725967
9,Zolux ETHI'CAT Owl Catnip Toy for cats,"Zolux ETHI'CAT Owl Catnip Toy for cats

Give your feline friend a treat they will love with this catnip stuffed toy.
This toy is made of soft, durable fabric that can withstand your cat’s claws and teeth.
It is filled with premium catnip to stimulate your cat’s senses and encourage them to play.
The toy comes in various shapes and colours, such as mice, fish, birds, and more.
Whether you want to toss, roll, or cuddle, this toy will keep your cat entertained and happy for hours.
100% recycled polyester padding, stitching and embroidery
88% minimum recycled materials
Order yours today and watch your cat go wild!",Zolux,9.0,//aleef.com/cdn/shop/products/ZoluxETHI_CATOwlCatnipToyforcats.jpg?v=1681809689
