,Name,Description,Brand,Price,Image
0,Simple Solution Stain & Odor Remover For Cats 1 L,"Simple Solution Stain & Odor Remover For Cats 1 LDESIGNED FOR CAT MESSESUNIQUE PRO-BACTERIA FORMULAMULTIPLE USESVERSATILE CLEANINGMADE IN THE USAIngredientsPurified water, natural non-pathogenic bacteria, denatured ethanol, natural enzymes, detergent and fragrance.InstructionsSaturate the soiled area. When treating carpet, cover twice the size of the mess and be sure to saturate the carpet backing and padding.et sit for 10 minutes for the enzymes to break down the organic proteins. Blot excess moisture with a colour-safe cloth.Allow the area to dry naturally, which may take 24-48 hours. When dry, the stain and odour will disappear.",Simple Solution,52.0,//aleef.com/cdn/shop/products/010279904336.jpg?v=1658653588
1,"Beaphar Toothpaste for Cats & Dogs, Liver Flavoured 100g","Beaphar Toothpaste for Cats & Dogs, Liver Flavoured 100g


Specially formulated for dogs and cats
Its regular use will make bad-breath or expensive dental treatments less likely. 
Toothpaste is readily accepted, due to its meaty flavour, and regular tooth brushing can become a fun part of your pet's oral hygiene routine.
Brushing helps dislodge plaque, then the toothpaste’s special formula goes into action, with two enzymes that fight bad bacteria and help break down hidden plaque.
Suitable for dogs and cats.


Ingredients: 


Zinc, Sodium tripolyphosphate, Protease, Glucose oxidase


InstructionsIt is important to introduce your pet to teeth cleaning slowly.1. Lift your pet’s lips to expose the teeth. Reinforce this by giving them lots of praise.2. Once your pet is used to having their mouth touched on the outside, start running your finger along their teeth.3. When they are accustomed to this, introduce them to a small amount of Beaphar Toothpaste. Place some on your finger.4. When they are used to the taste and texture of the toothpaste, and having their mouth touched you can start to introduce the  Toothbrush.Always have drinking water available.",Beaphar,44.0,//aleef.com/cdn/shop/products/BeapharToothpasteforCats_Dogs_LiverFlavoured.jpg?v=1672904188
2,"Beaphar Fresh Breath Spray for cats & dogs, 150ml","Beaphar Fresh Breath Spray for cats & dogs, 150ml

An easy-to-use product that fights bad breath, plaque and tartar in your furry dog friend.
Beaphar Fresh Breath Spray for dogs contains natural enzymes that break down plaque and prevent tartar formation.
It also contains ingredients that bind calcium, which is a major component of tartar.
By spraying this product on your dog’s teeth daily, you can help to keep their mouth hygienic and their teeth cleaner.
Beaphar Fresh Breath Spray for Dogs is suitable for cats and dogs of all ages and breeds.
It has a pleasant taste that your pet will love.
Beaphar Fresh Breath Spray for dogs is a must-have product for any pet owner who cares about their pet’s dental health.
Order yours today and see the difference it makes!

Instructions

ALWAYS FULLY READ THE PRODUCT LABEL BEFORE USE.
Spray 3–4 pumps onto your pet's teeth from a distance of 5–10cm. It is recommended to repeat this daily for optimum benefit.
If bad breath persists it may be a sign of tooth decay, and you should seek veterinary advice. Teeth heavily coated in tartar may need veterinary attention.
Always have fresh drinking water available.",Beaphar,40.0,//aleef.com/cdn/shop/files/BeapharFreshBreathSprayforcats_dogs_150ml.jpg?v=1684394495
3,"Simple Solution Pet Urine Destroyer for cats and dogs, 1L","Are you tired of battling persistent pet odors and stains in your home? Simple Solution Pet Urine Destroyer is your ultimate weapon against the toughest urine messes left by your beloved cats and dogs. Our powerful formula is here to rescue your home and your peace of mind.


Simple Solution Pet Urine Destroyer for cats and dogs Features:




Advanced Odor Neutralization: Our pet urine destroyer is specially formulated to eliminate even the most stubborn pet odors, leaving your home smelling fresh and clean.


Triple-Action Formula: This powerful solution not only removes odors but also breaks down the toughest urine stains, ensuring a thorough clean.


Safe for Pets and Kids: Our pet-friendly formula is gentle and safe for both pets and children, providing a worry-free solution for your home.


Enzyme-Powered: Harnessing the power of natural enzymes, it targets the source of odors, eradicating them from the root.


Multi-Surface Versatility: Whether on carpets, upholstery, or hard surfaces, our pet urine destroyer works effectively to restore cleanliness and freshness.


Trusted Brand: Simple Solution is a name you can trust for over 30 years, known for its innovative solutions to pet-related challenges.


Ingredients:

Water, Bio-Cultured Bacteria, Non-Pathogenic Bacteria, Enzymes, Surfactants, Isopropanol, Natural Citrus Scent.

Directions for Use:

Remove any solid waste and blot the stained area with a clean cloth or paper towel.
Shake well and saturate the affected area with Simple Solution Pet Urine Destroyer.
Allow the solution to penetrate the stain for at least 10 minutes.
Blot the treated area to remove excess moisture. For carpets and upholstery, use a wet vacuum if available.
Ensure thorough drying and repeat if necessary for stubborn stains.

Say goodbye to the frustration of pet urine stains and odors in your home. Choose Simple Solution Pet Urine Destroyer for an effective, safe, and reliable solution to keep your living space fresh and inviting. Enjoy a clean and odor-free home with your furry companions.
Revitalize your home today with Simple Solution Pet Urine Destroyer. Order now and experience the difference it makes in maintaining a clean and pleasant living environment for both you and your pets.
Aleef Store, The destination for your pet care supplies.",Simple Solution,56.0,//aleef.com/cdn/shop/files/SimpleSolutionPetUrineDestroyerforcatsanddogs_1L.jpg?v=1698228501
4,Sanal Eye Cleaner 50ml,"Before use, please check if there is no infection or another condition which asks for veterinary assistance. If not, gently put 3 drops in the lower eyelid. Let your pet blink his eyes. Use a cotton ball with some Sanal Eye Cleaner on it to wipe around the eye until the dirt comes off. Repeat 1 to 2 times per week.",Sanal,41.0,//aleef.com/cdn/shop/products/8711908606004.jpg?v=1658653459
5,Beaphar Mouth Wash  For Dogs 250ml,"Beaphar Mouth Wash  For Dogs 250mlMouth Wash can be added to a dog's drinking water to counteract bad breath. Bacteria and food particles cause plaque to form on teeth, causing tooth and gum decay, and leading to bad breath. Beaphar Mouth Wash contains enzymes that fight bad bacteria and reduce the formation of plaque.How to useAdd 10 ml of Beaphar Mouth Wash to 1000 ml of the dog's drinking water daily. It is possible to add more Mouth Wash at the same rate every time the drinking water is refreshed (at least every 24 hours).",Beaphar,48.0,//aleef.com/cdn/shop/products/BeapharMouthWashForDogs250ml.jpg?v=1667041376
6,"Simple Solution Dog Stain and Odour Remover, 750ml","Unique formula contains Pro-Bacteria producing enzymes -specific to pet messes- working together to organically remove urine, faeces and vomit stains and odours.Quickly neutralises odours instead of covering them u.Helps prevent repeat marking.Safe for use around pets and children when used as directed. 750ml",Simple Solution,42.0,//aleef.com/cdn/shop/products/010279906088.jpg?v=1658656743
7,Beaphar Bio Cosmetic Eye Cleaner 100ml,"Beaphar Bio Cosmetic Eye Cleaner 100ml Beaphar BIO Cosmetic Eye Cleaner for dogs and cats Cleans the eyes of your pet gently. It contains active ingredients from Organic Farming. The ECOCERT®label guarantees the natural origin and the quality of the ingredients used. The lotion, enriched with Floral water and Orange, gently soothes and cleans the eyes. Regular cleaning helps prevent irritation caused by excess dirt.",Beaphar,40.8,//aleef.com/cdn/shop/products/b001febae287f8a8aaab4fd78f82bea62774f262.jpg?v=1658655091
8,DENTI-CARE 2 in 1 ORAL HYGIENE SOLUTION 250 ml,"DENTI-CARE 2 in 1 ORAL HYGIENE SOLUTION 250 mldenticare - Mark and ChappellContains natural pomegranate extractHelp reduce oral bacteriaSimply add to pets’ drinking waterNo brushing requiredVetIQ® 2in1 Denti-Care liquid has been specially formulated to give your pet the very best oral care and help maintain good dental health. The active ingredient, Pomegranate extract (Punica Granatum), is a natural plant extract which has been mainly proven to reduce dental plaque. It’s easy to use and no more brushing is required. Simply add to your pets water bowl daily to be consumed through their normal water intake.Directions for Use:Add 10ml (1 capful) to 500 ml (1/2 litre) of fresh drinking water daily. Replace drinking water every 24 hours, even if not nished, using fresh diluted solution as directed.",Mark & Chappell,70.0,//aleef.com/cdn/shop/products/750826005597.jpg?v=1658654090
9,"فيت اي كيو بخاخ 2 في 1 للعناية بالفم و الاسنان للقطط والكلاب, 110 مل","فيت اي كيو بخاخ 2 في 1 للعناية بالفم والاسنان, 110 مل

بخاخ عناية الاسنان والفم من شركة فيت اي كيو من مستخلص الرمان والنعناع وزيت بذور البقدونس
يعمل على تقليل البلاك والجير
تقضي على البكتريا في الفم
يحتوي مستخلص الرمان المضاد للأكسدة الطبيعي على فائدة إضافية تتمثل في مساعدة المناعة وتعزيز تكوين الكولاجين في اللثة
يقضي على الرائحة السيئة للفم


متجر أليف الوجهة الأفضل لمستلزمات رعاية أليفك.",Mark & Chappell,46.0,//aleef.com/cdn/shop/products/750826005979.jpg?v=1667381038
