,Name,Description,Brand,Price,Image
0,Beaphar Malt Paste for Cats 100 g,"Beaphar Malt Paste for Cats 100 gCats by constantly Licking them self it can form hairballs that are regurgitated very unpleasant or even can lead to intestinal blockage in the stomach of the cat.The combination of aromatic malt and vegetable oils supports the natural expulsion of swallowed hair with the daily bowel. Useful oils and fats are essential for energy supply of the cat.INGREDIENTSMalt extract  (12%)MOS (Mannan-oligosaccharides)  (1%)FEEDING RECOMMENDATIONSGive for shorthaired cats daily about 4 cmfor long-haired cats about 6 cm of the pastein food or directly from the tube.If necessary, the amount can be doubled.",Beaphar,35.0,//aleef.com/cdn/shop/products/8711231170357.jpg?v=1658655525
1,M&C Nurish-UM Paste for Cats & Kittens 70g,"Great tasting, high calorie paste for ""Finicky Eaters""Essential supplement for cats recovering after illnessFortified with vitamins & mineralsContains taurine, an essential amino acidEasy to give paste formulationSuitable for adults and kittens over 8 weeks old",Mark & Chappell,50.0,//aleef.com/cdn/shop/products/750826001384.jpg?v=1658655571
2,Hairball Paw-Gel,"Hairball Paw-GelNUTRI-VET® HAIRBALL PAW-GEL for cats is an easy way to promote healthy skin and glossy coats. As cats groom themselves they ingest hair which can build up and cause hairballs. Regular brushing and the use of the hairball Paw-Gel may help prevent and eliminate hairballs. This paw-gel does not contain petroleum jelly, artificial colours or flavours.Available in Chicken and Salmon flavours.",Nutri-Vet,60.0,//aleef.com/cdn/shop/products/669125998502.jpg?v=1658656723
3,Beaphar Junior Paste for Cats 100 g,Beaphar Junior Paste for Cats 100 gSupplementary feeding for cats from 9 weeks ageDelicious paste as a special treat and perfect reward for junior cats and kittens. Healthy support for growing cats and natural source of essential vitamins and vital elements for steady growth.High in taurineValuable for strong vision and cardiac function support.Rich in calciumBone formation and dental healthBiotin + Omega 3 & 6Helps to promote a beautiful shiny coatFEEDING RECOMMENDATIONS≈ 1 cm of paste per day (since 9 weeks age)Mix with food or treat as reward straight from the tube.,Beaphar,35.0,//aleef.com/cdn/shop/products/8711231129560.jpg?v=1658655789
4,Beaphar Salmon Oil Paste 100g,"Beaphar Salmon Oil Paste 100gIt's more like a special snack to give as a daily treat. It contains Salmon Oil (20%) that origins from the atlantic salmon.The omega 3 and 6 fatty acids provide essential nutrients and contribute to a nice shiny coat. DHA has been added to maintain a good eyesight. The amount of chicken , turkey and duck makes the paste irresistibly delicious.Omega 3 and 6Grain FreeNo added sugar",Beaphar,35.0,//aleef.com/cdn/shop/files/BeapharSalmonOilPaste100g.jpg?v=1692186781
5,Vet's+Best Gel for muscle and joint support for cats 100 g,"Vet's+Best Gel for muscle and joint support for cats 100 gContains a mixture of important substances to support the movement of muscles and joints.Glucosamine, MSM, tumeric.Boswellia serrata, vitamin C.A good, palatable gel mixture for your pet.It does not contain preservatives or artificial colours.Contains no petroleum or sugar.Safe to use when pregnant.How to usePut about 3g of gel on your pet's food so that your pet gets used to its taste and then you can put it on your finger and put it in your pet's mouth or on the front paw where it can lick itIt is given every 6 or 8 hours as needed and given from 12 weeks of age",Vet's Best,38.25,//aleef.com/cdn/shop/products/031658803316.jpg?v=1658653587
6,"Multi-Vitamin Paw-Gel Salmon Flavor for cats, 89 mL","Multi-Vitamin Paw-Gel Salmon Flavor for cats, 89 mL

A tasty and easy way to give your feline friend the vitamins and minerals they need for optimal health.
This gel contains a balanced blend of essential nutrients, such as vitamins A, D, E, B12, iron, zinc and more, that support your cat’s immune system, skin and coat, vision and digestion.
Also formulated with a natural salmon flavour that your cat will love.
Simply apply a small amount of gel to your cat’s paw or nose and watch them lick it off. No mess, no fuss, just a happy and healthy cat!",Nutri-Vet,60.0,//aleef.com/cdn/shop/files/Multi-VitaminPaw-GelSalmonFlavorforcats89mL.jpg?v=1683014253
7,VetIQ Defurr-UM Hairball Remedy 70g,"Helps remove and prevent hairballsSource of prebiotic fibre for healthy digestionWith Vitamin E, a natural antioxidantTasty flavour cats love",Mark & Chappell,47.0,//aleef.com/cdn/shop/products/750826001506.jpg?v=1658655503
8,VetIQ Urinary Care Paste For Dogs & Cats 100g,"VetIQ Urinary Care Paste For Dogs & Cats 100gVetIQ Urinary Care Paste for Cats & Dogs - 100 Gm. A safe and gentle way to naturally maintain a healthy urinary tract. It contains DL-methionine which acidifies the urinary pH and is also designed to help dissolve struvite urinary crystals and stones, as well as helping to reduce the risk of urinary stones recurring. The easily administered palatable paste contains a natural cranberry extract. Can be used in cats with feline urological syndrome and in dogs which are prone to forming struvite stones.",Mark & Chappell,60.0,//aleef.com/cdn/shop/products/750826005610.jpg?v=1658655504
9,Beaphar Poultry Paste for cats 100 g,Beaphar Poultry Paste for cats 100 gBeaphar Poultry Paste is specially formulated treat for cats with high poultry meat content and irresistible taste and Smell.High in chickenGrain-freeNo sugarHigh in taurineValuable for strong vision and cardiac function support.Biotin + Omega 3 & 6Helps to promote a beautiful shiny coatINGREDIENTSChicken  (43%)Turkey  (6.2%)Duck  (2.6%)ADDITIVESTaurine  (5.000 mg)Meat Animal by-products Crude oils and fats FEEDING RECOMMENDATIONS≈ 1 cm of paste per dayMix with food or treat as reward straight from the tube.,Beaphar,35.0,//aleef.com/cdn/shop/products/8711231171194.jpg?v=1658655524
