,Name,Description,Brand,Price,Image
0,Me-O Creamy Treats Bonito 4x15g,"Me-O Creamy Treats Bonito 4x15gFiber: Healthy digestive system.Taurine: Improves eyesight.Omega 6, Zinc &DL-Methionine: Healthy skin and coat.",Meo,13.2,//aleef.com/cdn/shop/products/8850477013704.jpg?v=1658655355
1,Kit Cat Purr Puree Plus+ Chicken & Collagen Care (Collagen Care) 4 Sachets x 15g,"Kit Cat Purr Puree cat treats are created by nutritionists who are cat lovers and are made with goodness of carefully selected natural ingredients which contains no added colors or preservatives. Our smooth blend of tuna and fish oil recipe is perfect for cats of all life stages. Grain-Free, delicious and 100% Natural – this will be the most irresistible and ideal treat your cat will crave.Support Anti AgingFor Better HydrationTaurine AddedPrebiotic & Vitamin ENo Pork No Lard100% Grain Free",Kit Cat,14.0,//aleef.com/cdn/shop/products/8852084173239.jpg?v=1658655846
2,Me-O Creamy Treats Salmon Flavor 4x15g,"For cats over 2 months oldOmega 3: Boost immune systemTaurine: Improves eyesightOmega 6, Zinc & DL-Methionine: Healthy skin and coat",Meo,13.86,//aleef.com/cdn/shop/products/8850477013698.jpg?v=1658655357
3,Me-O Creamy Treats Chicken and Pumpkin Cat Treats 60g,"Me-O Creamy Treats Chicken and Pumpkin Cat Treats 60gCalcium and Phosphorus.
Helps build strong bones and teeth.
Taurine nourishes the eyes.
Zinc nourishes the skin and coat.
15gram × 4 pack
This is a snack for playing with your cats For balanced nutrition, do
Do not feed this treats as a meal.",Meo,13.2,//aleef.com/cdn/shop/products/Me-OCreamyTreatsChickenandPumpkinCatTreats60g.jpg?v=1669446105
4,Kit Cat Purr Puree Plus+ Tuna & Collagen Care (Collagen Care) 4 x 15 g,"Kit Cat Purr Puree Plus+ Tuna & Collagen Care (Collagen Care) 4 x 15 gKit Cat Purr Puree cat treats are created by nutritionists who are cat lovers and are made with goodness of carefully selected natural ingredients which contains no added colors or preservatives. Our smooth blend of tuna and fish oil recipe is perfect for cats of all life stages. Grain-Free, delicious and 100% Natural – this will be the most irresistible and ideal treat your cat will crave.Support Anti AgingFor Better HydrationTaurine AddedPrebiotic & Vitamin ENo Pork No Lard100% Grain FreeAvailable in 4 x 15 g",Kit Cat,14.0,//aleef.com/cdn/shop/products/8852084173277.jpg?v=1658655657
5,"Churu For Skin & Coat care Chicken Treats For Cats, 4×14g","Churu For Skin & Coat care Chicken Treats For Cats, 4×14gOmega-3 fatty acids from fish oil help maintain healthy skin and a shiny coatMade with 100% pure and natural farm-raised chickenNo grains, preservatives or artificial coloursCreamy texture and savoury flavours cats loveHigh in moistureAn innovative, interactive way to spend time togetherCan be used as a topper on wet or dry foodINGREDIENTSWater, Chicken, Tapioca Starch, Soybean Oil, Natural Flavors, Natural Scallop Flavor, Guar Gum, Fish Oil, Vitamin E Supplement, Taurine, Green Tea Extract.GUARANTEED ANALYSISCrude Protein (min) 7.00%Crude Fat (min) 2.80%Crude Fiber (max) 0.30%Moisture (max) 88.00%Vitamin E (min) 310 IU/kgTaurine (min) 0.025%Omega-3 (min) 0.20%Omega- 6 (min) 1.00%CALORIE CONTENT660 kcal/kg, 9.2 kcal/tube ME (calculated)",Inaba,18.0,//aleef.com/cdn/shop/products/ChuruForSkin_CoatcareChickenTreatsForCats_4x14g.jpg?v=1664869010
6,Kit Cat Purr Puree Tuna & Fiber (Hairball) 15g x 4 Sachets,"Kit Cat Purr Puree cat treats are created by nutritionists who are cat lovers and are made with goodness of carefully selected natural ingredients. This recipe contains a smooth blend of tuna. with no added colours or preservatives and is perfect for cats of all life stages. Grain-Free, delicious and 100% Natural – this will be the most irresistible and ideal treat your cat will crave.Omega 3 & 6Taurine AddedPrebiotic Vitamin ENo Pork No LardGrain Free",Kit Cat,14.0,//aleef.com/cdn/shop/products/8852084172843.jpg?v=1658655619
7,"Churu Tuna Varieties Bag Treats For Cats, 20 Tubes×14g","Churu Tuna Varieties Bag Treats For Cats, 20 Tubes×14g  
Contains Tuna flavours in one package.
Contain
TUNA RECIPE 5 tubes
TUNA WITH CHICKEN RECIPE 5 tubes
TUNA WITH SCALLOP RECIPE 5 tubes
TUNA WITH CHEESE RECIPE 5 tubes.",Inaba,62.0,//aleef.com/cdn/shop/products/ChuruTunaVarietiesBagTreatsForCats_20Tubesx14g.jpg?v=1665040772
8,Me-O  Creamy Treats  Chicken-Liver and Goat Milk  Cat Treats 60g,"Me-O  Creamy Treats  Chicken-Liver and Goat Milk  Cat Treats 60gCalcium and Phosphorus.Helps build strong bones and teeth.Taurine nourishes the eyes.Zinc nourishes the skin and coat.15gram × 4 packThis is a snack for playing with your cats For balanced nutrition, donot feed this treats as a meal.",Meo,13.2,//aleef.com/cdn/shop/products/Me-OCreamyTreatsChicken-LiverandGoatMilkCatTreats60g.jpg?v=1669445573
9,"Churu Tuna With Shrimp Flavor Treats For Cats, 4×14g","Churu Tuna With Shrimp Flavor Treats For Cats, 4×14gMade with 100% pure and natural farm-raised chicken and high-quality human-grade beef
No grains, preservatives or artificial colours
Creamy texture and savoury flavours cats love
Great for administering pills
High in moisture cats need for general health
Low in calories
Can be used as a topper on wet or dry food
INGREDIENTS
Water, Tuna, Tapioca Starch, Natural Flavors, Guar Gum, Natural Shrimp Flavor, Vitamin E Supplement, Taurine, Green Tea Extract.GUARANTEED ANALYSIS
Crude Protein (min) 7.00%
Crude Fat (min) 0.20%
Crude Fiber (max) 0.30%
Moisture (max) 91.00%
Vitamin E (min) 310 IU/kg
Taurine (min) 0.025%
Sodium 0.38%
Phosphorous 0.23%
Magnesium 0.01%
Calcium 0.025%
Potassium 0.09%
CALORIE CONTENT
430 kcal/kg, 6.0 kcal/tube ME (calculated)",Inaba,16.0,//aleef.com/cdn/shop/products/ChuruTunaWithShrimpFlavorTreatsForCats_4x14g.jpg?v=1666163089
10,Me-O Creamy Treats Chicken & Liver 4x15g,"For cats over 2 months oldGreen Tea: Healthy balance systemTaurine: Improves eyesightOmega 6, Zinc & DL-Methionine: Healthy skin and coat",Meo,13.86,//aleef.com/cdn/shop/products/8850477013681.jpg?v=1658655358
11,Kit Cat Purr Puree Chicken & Scallop 15g x 4 Sachets,"Kit Cat Purr Puree cat treats are created by nutritionists who are cat lovers and are made with goodness of carefully selected natural ingredients. This recipe contains a smooth blend of chicken and salmon. with no added colours or preservatives and is perfect for cats of all life stages. Grain-Free, delicious and 100% Natural – this will be the most irresistible and ideal treat your cat will crave.Omega 3 & 6Taurine AddedPrebiotic Vitamin ENo Pork No LardGrain Free",Kit Cat,14.0,//aleef.com/cdn/shop/products/8852084172904.jpg?v=1658655843
12,"Churu Chicken with Cheese and Beef Treats For Cats, 4×14g","Churu Chicken with Cheese and Beef Treats For Cats, 4×14gMade with 100% pure and natural farm-raised chicken and high-quality human-grade beef
No grains, preservatives or artificial colours
Creamy texture and savoury flavours cats love
Great for administering pills
High in moisture cats need for general health
Low in calories
Can be used as a topper on wet or dry food
INGREDIENTS
Water, Chicken, Cheese (Milk, Water, Phosphoric acid), Tapioca Starch, Natural Flavors, Natural Chicken Flavor, Guar Gum, Vitamin E Supplement, Taurine, Green Tea Extract.
GUARANTEED ANALYSIS
Crude Protein (min) 7.00%
Crude Fat (min) 0.20%
Crude Fiber (max) 0.30%
Moisture (max) 91.00%
Vitamin E (min) 310 IU/kg
Taurine (min) 0.025%
Sodium 0.38%
Phosphorous 0.23%
Magnesium 0.01%
Calcium 0.025%
Potassium 0.09%
CALORIE CONTENT
430 kcal/kg, 6.0 kcal/tube ME (calculated)",Inaba,18.0,//aleef.com/cdn/shop/products/ChuruChickenwithShrimpTreatsForCats_4x14g_fdb301c2-47bf-4845-8402-a683170f06d5.jpg?v=1664865544
13,Kit Cat Purr Puree Tuna & Salmon 15g x 4 Sachets,"Kit Cat Purr Puree cat treats are created by nutritionists who are cat lovers and are made with goodness of carefully selected natural ingredients. This recipe contains a smooth blend of tuna & Salmon. with no added colours or preservatives and is perfect for cats of all life stages. Grain-Free, delicious and 100% Natural – this will be the most irresistible and ideal treat your cat will crave.Omega 3 & 6Taurine AddedPrebiotic Vitamin ENo Pork No LardGrain Free",Kit Cat,14.0,//aleef.com/cdn/shop/products/8852084172836.jpg?v=1658656584
14,"Churu Chicken With Salmon Treats For Cats, 4×14g","Churu Chicken With Salmon Treats For Cats, 4×14gMade with 100% pure and natural farm-raised chicken and high-quality human-grade beef
No grains, preservatives or artificial colours
Creamy texture and savoury flavours cats love
Great for administering pills
High in moisture cats need for general health
Low in calories
Can be used as a topper on wet or dry food
INGREDIENTS
Water, Chicken, Tapioca Starch, Salmon, Natural Flavors, Natural Scallop Flavor, Guar Gum, Vitamin E Supplement, Taurine, and Green Tea Extract.GUARANTEED ANALYSIS
Crude Protein (min) 7.00%
Crude Fat (min) 0.20%
Crude Fiber (max) 0.30%
Moisture (max) 91.00%
Vitamin E (min) 310 IU/kg
Taurine (min) 0.025%
Sodium 0.38%
Phosphorous 0.23%
Magnesium 0.01%
Calcium 0.025%
Potassium 0.09%
CALORIE CONTENT
430 kcal/kg, 6.0 kcal/tube ME (calculated)",Inaba,16.0,//aleef.com/cdn/shop/products/ChuruChickenWithSalmonTreatsForCats_4x14g.jpg?v=1666162046
