,Name,Description,Brand,Price,Image
0,"Zolux 'Moov' Leash for dogs, Gray","Zolux 'Moov' Leash for dogs, Gray

The sturdy, comfortable leash has a handle lined with neoprene
Made from water-repellent materials, it also has reflective strips for maximum safety

Size:
Thickness × Length",Zolux,39.6,//aleef.com/cdn/shop/products/Zolux_Moov_Leashfordogs_Gray.jpg?v=1675930745
1,FIDA Retractable AutoBrake Dog Leash - Medium,"FIDA Retractable AutoBrake Dog Leash Make walks safer and more enjoyable for you and your dog with this FIDA Retractable leash. This leash features AutoBrake tape, and is retractable so that you can better maintain control of your dog while the two of you enjoy the outdoors together. Features: Retractable, AutoBrake Leash Weight suggestions on the package Med:5.9 in L x 0.205 in W x 5.24 in H; Tape: 16 in L x 0.02 in W Large:6.57 in L x 0.205 in W x 5.78 in H; Tape: 16 in L x 0.03 in W XLarge:6.57 in L x 0.205 in W x 5.78 in H; Tape: 16 in L x 0.03 in W",Fida,95.0,//aleef.com/cdn/shop/products/c6ac4c67888fc65bc4541a1e9bc375003bddeaa0_4fc2b93f-de2a-45f8-a1d5-781f7a32c4b3.jpg?v=1658656784
2,Zolux Silicone Dog Leash 25mm - orange,Zolux Silicone Dog LeashSturdy materialEasy to maintain and softSnap hook with safety clipComfort handle with neoprene lining,Zolux,60.06,//aleef.com/cdn/shop/products/3336022351699.jpg?v=1658654869
3,"Zolux 'Moov' Leash for dogs, Black","Zolux 'Moov' Leash for dogs, Black

The sturdy, comfortable leash has a handle lined with neoprene
Made from water-repellent materials, it also has reflective strips for maximum safety

Size:
Thickness × Length",Zolux,41.8,//aleef.com/cdn/shop/products/Zolux_Moov_Leashfordogs_Black.jpg?v=1675929189
4,"Zolux Moov Black Jogging Leash For Dogs, 2m","Zolux Moov Black Jogging Leash For Dogs, 2m 

The ideal leash for hiking, biking or jogging.
The stretchable, shock-absorbing part of the leash provides traction resistance for sudden stops or speed changes.
preferred be attached to Zolux Moov jogging or Zolux Moov harness&nbsp;
Sturdy safety hooks can be attached to the dog&rsquo;s harness as well as to your belt or bike frame.
May be adjusted to the desired length.
Made from water-repellent materials, it also has reflective strips for maximum safety.",Zolux,145.0,//aleef.com/cdn/shop/products/ZoluxMoovBlackJoggingLeashForDogs.jpg?v=1675926467
5,"Zolux Moov Red Jogging Leash For Dogs, 2m","Zolux Moov Red Jogging Leash For Dogs, 2m

The ideal leash for hiking, biking or jogging.
The stretchable, shock-absorbing part of the leash provides traction resistance for sudden stops or speed changes.
preferred be attached to Zolux Moov jogging or Zolux Moov harness&nbsp;
Sturdy safety hooks can be attached to the dog&rsquo;s harness as well as to your belt or bike frame.
May be adjusted to the desired length.
Made from water-repellent materials, it also has reflective strips for maximum safety.",Zolux,145.0,//aleef.com/cdn/shop/products/ZoluxMoovRedHikingLeashForDogs.jpg?v=1675925807
6,"Zloux
  Silicone Collar with Luminous Buckle 25mm","Zolux Silicone Collars with Luminous Buckle


Sturdy material
Easy to maintain and soft
Adjustable
Luminous buckle (red/blue/green light) to help you safely walk your dog after dark!
3 Position function: Continuous light - Blinking light - Flashing light

Neck Size:

From 34 to 53 cm",Zolux,60.06,//aleef.com/cdn/shop/products/ZlouxSiliconeCollarwithLuminousBuckle25mm_fd13224d-0c38-4bf1-be0f-dc57bd89d1b5.jpg?v=1675667816
7,Zolux Nylon Comf Leash 1m X 25mm Black For Dogs,"Zolux Nylon Comf Leash 1m X 25mm Black For Dogs

A soft and light leash made of functional materials is suitable for daily walking and dog training.
There is a padded loop at the end of the handlebar for a comfortable grip.",Zolux,48.0,//aleef.com/cdn/shop/products/ZoluxNylonComfLeash1mX25mmBlackForDogs.jpg?v=1671868108
8,Fida Lech Automatic Hiking Red - L,"This corset contains a stainless hook as it is made of excellent quality plastic  XS 3 M 12 KGS 5 m 15 kgM 5 m 25 kgL 5 m 50 kg",Fida,126.0,//aleef.com/cdn/shop/products/d31d8a99067477de1b24ccce8499823fa276199c.jpg?v=1658656782
9,"Fida Retractable Dog Leash Heavy Duty, 16 ft Pet Walking Leash Large - orange","Fida Retractable Dog Leash Heavy Duty, 16 ft Pet Walking Leash Large Large size suit for dog or cat up to 110 lbs, The length of entire tape is 16 ft. Comfortable Ergonomic Grip, Whole anti-slip handle covered by soft TPE material. Durable Coil Spring: more than 30000 times stretching and keep Consistent Retraction. Easy to use- Quick Lock, Pause and Unlock Button- operate with your thumb only.",Fida,130.0,//aleef.com/cdn/shop/products/c8d87f8a81f325280ddf9ceb4c70e8606aefa435_ccb1d789-65a6-4b42-ab34-abb14f4184a0.jpg?v=1658656780
10,"Fida Retractable Dog Leash Heavy Duty, 16 ft Pet Walking Leash for X-Small","Fida Retractable Dog Leash Heavy Duty, 16 ft Pet Walking Leash for X-Small XS size suit for dog or cat up to 26 lbs, The length of entire tape is 10 ft. Comfortable Ergonomic Grip, Whole anti-slip handle covered by soft TPE material. Durable Coil Spring: more than 30000 times stretching and keep Consistent Retraction. Easy to use- Quick Lock, Pause and Unlock Button- operate with your thumb only.",Fida,70.0,//aleef.com/cdn/shop/products/b10b654932ad4dee9e999bdc36f43ed61b4120ba.jpg?v=1658655430
11,"Zolux 'Moov' Leash for dogs, Red","Zolux 'Moov' Leash for dogs, Red The sturdy, comfortable leash has a handle lined with neoprene Made from water-repellent materials, it also has reflective strips for maximum safety
Size:
Thickness × Length",Zolux,39.6,//aleef.com/cdn/shop/products/Zolux_Moov_Leashfordogs_Red.jpg?v=1675927543
12,"Zolux Moov Red Jogging Leash For Dogs, 2m","Zolux Moov Red Jogging Leash For Dogs, 2m

The ideal leash for hiking, biking or jogging.
The stretchable, shock-absorbing part of the leash provides traction resistance for sudden stops or speed changes.
preferred be attached to Zolux Moov jogging or Zolux Moov harness&nbsp;
Sturdy safety hooks can be attached to the dog&rsquo;s harness as well as to your belt or bike frame.
May be adjusted to the desired length.
Made from water-repellent materials, it also has reflective strips for maximum safety.",Zolux,145.0,//aleef.com/cdn/shop/products/ZoluxMoovRedJoggingLeashForDogs.jpg?v=1675925462
13,Zolux Moov Red Jogging adjustable Belt For Dogs,"Zolux Moov Gray Jogging adjustable Belt For Dogs

For playing sports or taking a long walk with your dog. Equipped with a comfort handle.
Resistant because it is made with materials which water resistant
Move safely with your animal thanks to the reflective bands
Elastic and adjustable for maximum comfort.
2 zipped pockets to save your belong or your dog treats
A bottle holder pocket and lumbar support for more convenience.

Item Dimensions 

34×13.4×12 cm

Weight 260 Grams",Zolux,190.0,//aleef.com/cdn/shop/products/ZoluxMoovCamoGreyJoggingadjustableBeltForDogs1.jpg?v=1675759998
14,Zolux Moov Red Jogging adjustable Belt For Dogs,"Zolux Moov Red Jogging adjustable Belt For Dogs

For playing sports or taking a long walk with your dog. Equipped with a comfort handle.
Resistant because it is made with materials which water resistant
Move safely with your animal thanks to the reflective bands
Elastic and adjustable for maximum comfort.
2 zipped pockets to save your belong or your dog treats
A bottle holder pocket and lumbar support for more convenience.

Item Dimensions 

34×13.4×12 cm

Weight 260 Grams",Zolux,190.0,//aleef.com/cdn/shop/products/ZoluxMoovRedJoggingadjustableBeltForDogs.jpg?v=1675756957
15,Zolux Moov Black Jogging adjustable Belt For Dogs,"Zolux Moov Black Jogging adjustable Belt For Dogs

For playing sports or taking a long walk with your dog. Equipped with a comfort handle.
Resistant because it is made with materials which water resistant
Move safely with your animal thanks to the reflective bands
Elastic and adjustable for maximum comfort.
2 zipped pockets to save your belong or your dog treats
A bottle holder pocket and lumbar support for more convenience.

Item Dimensions 

34×13.4×12 cm

Weight 260 Grams",Zolux,190.0,//aleef.com/cdn/shop/products/ZoluxMoovBlackJoggingadjustableBeltForDogs.jpg?v=1675756427
