,Name,Description,Brand,Price,Image
0,<tc>Stefanplast Chic Bowl for Cats and Dogs 0.35 L</tc>,"Stefanplast Chic Bowl for Cats and Dogs 0.35 L

An innovative in their shape and incredibly practical to clean
They are also remarkably stable thanks to the anti-slip rubber rim and provided with an ergonomic and safe grip.

Size:

18x18x7 cm
0.35 L",Stefanplast,12.0,//aleef.com/cdn/shop/products/StefanplastChicBowl0.35LForCatsandDogs0.2L.jpg?v=1673764133
1,Zolux stainless steel dog bowl,"Zolux stainless steel dog bowl

Stainless steel dog bowls are perfect for holding your dog’s food and water.
They won’t break if dropped or tipped over unlike ceramic bowls and are chew-proof, unlike plastic bowls.
These metal dog bowls don’t hold odours, making them more hygienic than other options.
Stainless steel is considered to be the best material for a dog bowl as it’s easy to clean, doesn’t hold on to bacteria and is much more durable





الحجم- Sizes


السعه - Capacity




صغير جدا - X-Small


850mL




صغير - Small


1.8L




وسط- Medium


2.5L




كبير - Large


4.1L




كبير جدا - X-Large


6.5L",Zolux,10.0,//aleef.com/cdn/shop/products/Zoluxstainlesssteeldogbowl.jpg?v=1679820182
2,"<tc>Stefanplast Bowl Break 13 Non Slip, Multiple colour For Cats and Dogs 0.2 L</tc>","Stefanplast Bowl Break 11 Non Slip, Multiple colour For Cats and Dogs 0.4 L

It has side grips to safely move it and anti-slip tabs that guarantee excellent stability.
It is practical and easy to clean.
Ideal for everyday use.
available in Green and Gray
Sold by colour availability

Dimensions

28x17x6 cm
0.2 L",Stefanplast,8.0,//aleef.com/cdn/shop/products/StefanplastBowlBreak13NonSlip_MultiplecolourForCatsandDogs0.2L.jpg?v=1673700292
3,Zolux Stainless steel non-slip Dogs bowl,"Zolux Stainless steel non-slip Dogs bowl

Stainless steel dog bowls are perfect for holding your dog’s food and water.
They won’t break if dropped or tipped over unlike ceramic bowls and are chew-proof, unlike plastic bowls.
These metal dog bowls don’t hold odours, making them more hygienic than other options.
equipped with a non-skid rubber bottom or a rounded rubber bottom.
This design is intended for pets that knock over their food bowls and love to create messes.
The non-slip feature helps keep the bowl from sliding around when your pet eats
Stainless steel is considered to be the best material for a dog bowl as it’s easy to clean, doesn’t hold on to bacteria and is much more durable





الحجم - Sizes


السعه - Capacity




صغير جدا - X-Small


500mL




صغير - Small


700mL




وسط- Medium


900mL




كبير - Large


950mL




كبير جدا - X-Large


1.8L




كبير جدا جدا - XX-large


2.7L",Zolux,13.0,//aleef.com/cdn/shop/products/ZoluxStainlesssteelnon-slipDogsbowl.jpg?v=1679823051
4,"<tc>Stefanplast ""Set dinner"" Double Bowl for Cats and Dogs</tc>","Stefanplast ""Set dinner"" Double Bowl for Cats and Dogs

Set Dinner is the tray for dogs and cats made up of two bowls
Offer your pet water and food at the same time. 
It is practical and handy thanks to the side borders that contain any possible water or food spillage guaranteeing cleanliness and order.
It can be comfortably placed and it is quick and easy to clean.

Size:

large bowl = 0.3 لتر
small bowl= 0.25 لتر
46x35x11 cm",Stefanplast,34.0,//aleef.com/cdn/shop/products/StefanplastSetdinnerDoubleBowlforCatsandDogs_e9f8eea4-8cc7-4605-930f-2dd47b2d13d1.jpg?v=1674043985
5,<tc>Stefanplast Slow Food Chic Bowl for Cats and Dogs 0.5 L</tc>,"Stefanplast Chic Bowl for Cats and Dogs 0.5 L

Anti-gulping bowl for dogs and cats.
With anti-slip rubber rim.
It slows down feed intake and promotes a correct digestion.

Size:

20.5x20.5x6.5 cm
0.5 L",Stefanplast,24.0,//aleef.com/cdn/shop/products/StefanplastSlowFoodChicBowl.jpg?v=1673766305
6,"<tc>Stefanplast Bowl Break 11 Non Slip, Multiple colour For Cats and Dogs 0.4 L</tc>","Stefanplast Bowl Break 11 Non Slip, Multiple colour For Cats and Dogs 0.4 L

It has side grips to safely move it and anti-slip tabs that guarantee excellent stability.
It is practical and easy to clean.
Ideal for everyday use.
available in Green and Gray
Sold by colour availability

Dimensions

28x17x6 cm
0.4 L",Stefanplast,12.0,//aleef.com/cdn/shop/products/StefanplastBowlBreak11NonSlip_MultiplecolourForCatsandDogs0_4L.jpg?v=1673699723
7,"Zolux Happy Stainless steel non-slip Dogs bowl, White","Zolux Happy Stainless steel non-slip Dogs bowl, White

Stainless steel dog bowls are perfect for holding your dog’s food and water.
They won’t break if dropped or tipped over unlike ceramic bowls and are chew-proof, unlike plastic bowls.
These metal dog bowls don’t hold odours, making them more hygienic than other options.
equipped with a non-skid rubber bottom or a rounded rubber bottom.
This design is intended for pets that knock over their food bowls and love to create messes.
The non-slip feature helps keep the bowl from sliding around when your pet eats
Stainless steel is considered to be the best material for a dog bowl as it’s easy to clean, doesn’t hold on to bacteria and is much more durable




الحجم - Sizes
السعه - Capacity
Diameter - القطر


صغير جدا - X-Small
400mL
14cm


صغير - Small
800mL
17cm


وسط- Medium
1.5L
21cm


كبير - Large
2.65L
25cm",Zolux,15.0,//aleef.com/cdn/shop/products/ZoluxHappyStainlesssteelnon-slipDogsbowl_White.jpg?v=1679823766
8,Moderna Non-Slip Plastic Food Bowl For Cats and Dogs,"Moderna Non-Slip Plastic Food Bowl For Cats and Dogs


Non-slip rubber feet
Easy pickup sides offer a safe grip
A stable base prevents tipping over
Available in different sizes for every breed
Dishwasher safe for everyday convenience
Premium quality plastic for long-lasting use


Size:


Medium (1248  ml): 23.9× 21.4×8.4 cm
Large (2200 ml): 28.8×25.7×10.1cm",Moderna,23.0,//aleef.com/cdn/shop/products/ModernaNon-SlipPlasticFoodBowlForCatsandDogs.jpg?v=1676101344
9,"OurPets Healthy Pet Raised Diner Beige 12""","Comfortable dining for your dogReduces stress on joints and bonesEasy to clean, hygienic stainless steel bowlsConstant water supply (remove bowl and use any use 2 litter bottle)",Our Pet's,254.1,//aleef.com/cdn/shop/products/780824735127.jpg?v=1658654088
10,<tc>Stefanplast Slow Food Chic Bowl for Cats and Dogs 1 L</tc>,"Stefanplast Chic Bowl for Cats and Dogs 1 L

Anti-gulping bowl for dogs and cats.
With anti-slip rubber rim.
It slows down feed intake and promotes a correct digestion.

Size:

26x26x8 cm
1 L",Stefanplast,30.0,//aleef.com/cdn/shop/products/StefanplastSlowFoodChicBowl_d7586348-f0d0-4df3-a49f-65b49ce40b86.jpg?v=1673766909
11,<tc>Stefanplast Chic Double Bowl for Cats and Dogs 0.25 L</tc>,"Stefanplast Chic Double Bowl for Cats and Dogs 0.25 L

Anti-slip rubber rim, ensure maximum stability
It consists of two comfortable and practical.
A compartments where it is possible to pour water and food or two different kind of food at the same time.
Easy to clean
An ergonomic grip that allows a secure grip during trips.

Size:

27x17.5x7.2 cm
0.25 L",Stefanplast,14.0,//aleef.com/cdn/shop/products/StefanplastChicDoubleBowl.jpg?v=1673767638
12,Moderna Eco medium-size plastic bowl for cats and dogs,"Moderna Eco medium-size plastic bowl for cats and dogsDimensions:diameter x heightMedium 9 x 25.5 cm",Moderna,20.7,//aleef.com/cdn/shop/products/ModernaEcomedium-sizeplasticbowlforcatsanddogs.jpg?v=1663492255
13,OurPets Healthy Pet Raised Diner-black,"Comfortable dining for your dog Reduces stress on joints and bones Easy to clean, hygienic stainless steel bowls Constant water supply (remove bowl and use any use 2 litter bottle)",Our Pet's,203.2,//aleef.com/cdn/shop/products/780824104091.jpg?v=1658654422
14,"Zolux Happy Stainless steel non-slip Dogs bowl, Black","Zolux Happy Stainless steel non-slip Dogs bowl, Black

Stainless steel dog bowls are perfect for holding your dog’s food and water.
They won’t break if dropped or tipped over unlike ceramic bowls and are chew-proof, unlike plastic bowls.
These metal dog bowls don’t hold odours, making them more hygienic than other options.
equipped with a non-skid rubber bottom or a rounded rubber bottom.
This design is intended for pets that knock over their food bowls and love to create messes.
The non-slip feature helps keep the bowl from sliding around when your pet eats
Stainless steel is considered to be the best material for a dog bowl as it’s easy to clean, doesn’t hold on to bacteria and is much more durable




الحجم - Sizes
السعه - Capacity
Diameter - القطر


صغير جدا - X-Small
400mL
14cm


صغير - Small
800mL
17cm


وسط- Medium
1.5L
21cm


كبير - Large
2.65L
25cm",Zolux,15.0,//aleef.com/cdn/shop/products/ZoluxHappyStainlesssteelnon-slipDogsbowl_Black.jpg?v=1679824056
15,Moderna Eco Large Dish For Cat and Dog,Dimensions:diameter x heightLarge 11 x 30 cm,Moderna,32.2,//aleef.com/cdn/shop/products/ModernaEcomedium-sizeplasticbowlforcatsanddogs_d03a61d0-1321-460e-b18e-e6f2e418c493.jpg?v=1663573309
16,Feeding Bowl Large,مأكلية و مشربية للكلاب و القطط كبير مأكلية و مشربية للكلاب و القطط . يمكنك تقديم نوعين من الطعام لحيوانك الاليف او يمكنك وضع الطعام و الماء .. سهلة التنظيف بعد انتهاء حيوانك الايف من وجبته 66x49x12cm,MPS,115.0,//aleef.com/cdn/shop/products/8018084052527_9072cc20-436c-4812-821b-c050da3f3fe2.jpg?v=1658653729
17,MPS Plastic Double Bowl Multiple Color For Cats and Dogs 0.5 L,"MPS Plastic Double Bowl Multiple Color For Cats and Dogs 0.5 L Suitable for dogs and cats. 
It is a double food and water container with 
Dimensions of 26 x 15 cm and a capacity of 0.5 liters.",MPS,8.8,//aleef.com/cdn/shop/products/MPSPlasticDoubleBowlMultipleColor0.5L.jpg?v=1670325947
18,Feeding Bowl For Cats and Dogs 1.2L,Feeding Bowl For Cats and Dogs 1.2L Double feeding plastic bowl to serve two types of food. And you can also add both food and water. Easy to clean.,MPS,16.5,//aleef.com/cdn/shop/products/MPSPlasticDoubleBowlMultipleColor0.5L_1.jpg?v=1674372036
19,<tc>Stefanplast Chic Bowl for Cats and Dogs 0.65 L</tc>,"Stefanplast Chic Bowl for Cats and Dogs 0.65 L

An innovative in their shape and incredibly practical to clean
They are also remarkably stable thanks to the anti-slip rubber rim and provided with an ergonomic and safe grip.

Size:

22x22x8.6 cm
0.65 L",Stefanplast,14.0,//aleef.com/cdn/shop/products/StefanplastChicBowl_2.jpg?v=1673764659
20,<tc>Stefanplast Chic Bowl for Cats and Dogs 1 L</tc>,"Stefanplast Chic Bowl for Cats and Dogs 1 L

An innovative in their shape and incredibly practical to clean
They are also remarkably stable thanks to the anti-slip rubber rim and provided with an ergonomic and safe grip.

Size:

25.6x25.6x10 cm
1 L",Stefanplast,14.0,//aleef.com/cdn/shop/products/StefanplastChicBowl_2e4b8435-24a8-448e-9bf9-c5bc83a443e5.jpg?v=1673765194
21,Catidea Cat ears pet Food Bowl With Spoon&Fork,"Catidea Cat ears pet Food Bowl With Spoon&Fork1.This durable and easy to use pet bowl is made of high-quality plastic material that is 100% safe,non-toxic, odorless and anti-corrosion, safe for your pet use.2.The base is full of elasticity, anti-slip and firmly placed. You don't have to worry about wastage of food for its special design.3.This pet bowl comes with a spoon and fork for easy mixing of food.4.Easy to Clean - just rinse it in clean water and let it air dry or simply run it through the dishwasher5.Serve a great and lovely gift for your baby pets! It's very ideal for puppy, kitten.",Catidea,31.0,//aleef.com/cdn/shop/products/6921103002330.jpg?v=1658654471
22,"Moderna non-slip plastic food bowl for cats and dogs, beige colour","Moderna non-slip plastic food bowl for cats and dogs, beige colourDimensions:Diameter 20 cm Height 7 cm",Moderna,31.05,//aleef.com/cdn/shop/products/Modernanon-slipplasticfoodbowlforcatsanddogs_beigecolor.jpg?v=1663576087
23,Tray with bowl Nembo,Tray with bowl Nembo Feeding Bowl The wide tray with raised edges prevent food from spoiling out.You can put two types of food or you can feed your pet with both food and water. Easy to clean too NEMBO – 48X38X12H,MP Bergamo,35.0,//aleef.com/cdn/shop/products/8058093270574-1.jpg?v=1658654166
24,ام بي اس صحن مذدوج بلاستيك 0.6 لتر ألوان متعدده,,MP Bergamo,25.0,//aleef.com/cdn/shop/products/8033776762065.jpg?v=1672562348
25,Bowl for trips with food storage in multiple colors,Bowl for trips with food storage in multiple colorsMade of strong plasticIt has a storage space inside the disheasy to navigateColor is selected according to quantity availability,متجر اليف,39.0,//aleef.com/cdn/shop/products/Dishfortripswithfoodstorageinmultiplecolors_3.jpg?v=1667201363
26,"Feeder and Drinker  for cats and dogs, Multiple colours","Feeder and Drinker  for cats and dogs, Multiple coloursA meal and drinker for cats and dogs in the shape of a ball, in addition to a wonderful collection, in addition to collecting food and the plastic made of it, as well as combining the food and drink of your pet in one bowl to make it easier for himProduct Dimensions2×29 cmplate diameter15 cmMaterialplastic",متجر اليف,85.0,//aleef.com/cdn/shop/products/6620050404050.jpg?v=1666859583
27,OurPets High Rise Diner Feeding Station,"Comfortable dining for your pet Reduces stress on joints and bones Easy to clean, hygienic stainless steel bowls",Our Pet's,218.2,//aleef.com/cdn/shop/products/780824114922.jpg?v=1658654324
28,"MP Bergamo  Sensibowl small ,Non-slip 350 ml","beautiful evoke pure Zen at mealtimes. This stylish design offers a matt exterior and glossy inside and the easy pickup sides provide a safe grip.Non-slip rubber feet
Easy pickup sides offer a safe grip
Stable base prevents tipping over
Available in different sizes for every breed",MP Bergamo,16.1,//aleef.com/cdn/shop/products/MPBergamoSensibowlsmall_Non-slip350ml.jpg?v=1669279572
29,"Drinking bowl, green color, 300 ml, 14 cm long","Drinking bowl, green color, 300 ml, 14 cm long",متجر اليف,125.6,//aleef.com/cdn/shop/products/Drinkingbowl_greencolor_300ml_14cmlong.jpg?v=1668926158
