,Name,Description,Brand,Price,Image
0,Butcher's Original Turkey pieces in Gravy Wet food for Dogs 400 g,"Butcher's Original Turkey pieces in Gravy Wet food for Dogs 400 g

Pieces in sauce do not contain cereals.
Naturally gluten-free and free of unnecessary fillers.
Made from natural ingredients with the addition of vegetables straight from the garden.
It has a high content of fiber and vitamins and makes the recipes naturally tasty and easily digestible.
Enriched with vitamins A, D3 and zinc, manganese and iodine to support natural immunity and strengthen the skeletal system.

Composition:

chicken 45.5%, turkey 4.5%, carrot 3%, parsnip 1%, salmon oil, parsley, rosehip, chicory, mint, minerals

Composition analysis (%):

Protein 8.5
crude fibre 0.2
fat content 5
crude ash 2
moisture 82




Feed Recommendation التغذيه


Daily dosage (number of cans weighing 400g per day) 85kcal / 100g الجرعة اليومية (عدد العلب التي تزن 400 جرام في اليوم) 85 كيلو كالوري / 100 جرام


Dog size - حجم الكلب



Mini - ميني


Small - صغير


Medium - وسط


Large - كبير



up to 1
up to 1
1 1/2 - 2 1/2
2 1/2 - 3 1/2


This is just a guideline. Depending on your dog's breed and activity level, you may need to modify the amount we provide. هذا مجرد دليل. اعتمادًا على سلالة كلبك ومستوى نشاطه ، قد تحتاج إلى تعديل الكمية التي نقدمها.",Butcher's,8.5,//aleef.com/cdn/shop/products/Butcher_sOriginalTurkeypiecesinGravyWetfoodforDogs400g.jpg?v=1677571958
1,Butcher's Original chicken pieces in jelly Wet food for Dogs 400 g,"Butcher's Original lamb pieces in jelly Wet food for Dogs 400 g

Pieces of food do not contain cereals.
Naturally gluten-free and free of unnecessary fillers.


Recipes are based on the content of liver – a natural multivitamin.
Additional content of iron and B vitamins will allow your friend to go through life with a proud step.
Added beneficial oils rich in Omega-3 and Omega-6 acids that have anti-inflammatory properties, support the dog's immune system, heart, brain, skin and coat condition.
Liver - a wealth of vitamins and taste that dogs love


No artificial additives, preservatives, flavors or dyes.

Composition:

chicken 42%, lamb 4%, kidneys 4%, salmon oil, parsley, rosehip, chicory, mint, minerals.

Composition analysis (%):

Protein 7.5.
crude fibre 0.2.
fat content 5.
crude ash 2.
moisture 83.




Feed Recommendationالتغذيه


Daily dosage (number of cans weighing 400g per day) 85kcal / 100gالجرعة اليومية (عدد العلب التي تزن 400 جرام في اليوم) 80 كيلو كالوري / 100 جرام


Dog size - حجم الكلب



Mini - ميني


Small - صغير


Medium - وسط


Large - كبير



up to 1
1-1 1/2
1 1/2 - 2 1/2
2 1/2 - 3 1/2


This is just a guideline. Depending on your dog's breed and activity level, you may need to modify the amount we provide.هذا مجرد دليل. اعتمادًا على سلالة كلبك ومستوى نشاطه ، قد تحتاج إلى تعديل الكمية التي نقدمها.",Butcher's,8.5,//aleef.com/cdn/shop/products/Butcher_sOriginallambpiecesinjellyWetfoodforDogs400g.jpg?v=1677586391
2,"Schesir Multi Pack Chicken Fillets With Lamb Wet Food For Dogs, 4×85g","Schesir Multi Pack Chicken Fillets With Lamb Wet Food For Dogs, 4×85g

A delicious and nutritious wet food for your dog
It contains high-quality chicken and lamb fillets, cooked in a natural jelly that preserves their flavor and texture
This natural wet food is made with 100% natural ingredients, free of artificial colours, preservatives and additives
It is also low in fat and rich in protein, vitamins and minerals, making it a balanced and complete meal for your dog
Schesir dog food is suitable for dogs of all breeds and sizes and can be mixed with dry food or served as a treat
Your dog will love the taste and variety of this chicken and lamb fillets wet food!
Schesir Dog Multi Pack Chicken Fillets with Lamb 4x85g is a high protein dog food that provides your dog with the energy and nutrients they need
It is also a low fat dog food that helps your dog maintain a healthy weight and avoid obesity
Schesir Dog Multi Pack Chicken Fillets with Lamb 4x85g is a natural wet food that your dog will enjoy every day!

Ingredients: 

chicken fillets 50%, lamb 4%, rice 1.3%.

Analytical constituents: 

protein 10%, crude fat 0.3%, crude fibre 0.1%, crude ash 1%, moisture 86.5%",Schesir,26.0,//aleef.com/cdn/shop/products/8005852143068.jpg?v=1662291500
3,Butcher's Original chicken pieces in jelly Wet food for Dogs 400 g,"Butcher's Original chicken pieces in jelly Wet food for Dogs 400 g

Pieces of food do not contain cereals.
Naturally gluten-free and free of unnecessary fillers.


Recipes are based on the content of liver – a natural multivitamin.
Additional content of iron and B vitamins will allow your friend to go through life with a proud step.
Added beneficial oils rich in Omega-3 and Omega-6 acids that have anti-inflammatory properties, support the dog's immune system, heart, brain, skin and coat condition.
Liver - a wealth of vitamins and taste that dogs love


No artificial additives, preservatives, flavors or dyes.

Composition:

Chicken 46%, liver 4%, salmon oil, parsley, rosehip, chicory, mint, minerals.

Composition analysis (%):

Protein 7.5.
crude fibre 0.2.
fat content 5.
crude ash 2.
moisture 83.




Feed Recommendationالتغذيه


Daily dosage (number of cans weighing 400g per day) 85kcal / 100gالجرعة اليومية (عدد العلب التي تزن 400 جرام في اليوم) 80 كيلو كالوري / 100 جرام


Dog size - حجم الكلب



Mini - ميني


Small - صغير


Medium - وسط


Large - كبير



up to 1
1-1 1/2
1 1/2 - 2 1/2
2 1/2 - 3 1/2


This is just a guideline. Depending on your dog's breed and activity level, you may need to modify the amount we provide.هذا مجرد دليل. اعتمادًا على سلالة كلبك ومستوى نشاطه ، قد تحتاج إلى تعديل الكمية التي نقدمها.",Butcher's,8.5,//aleef.com/cdn/shop/products/Butcher_sOriginalchickenpiecesinjellyWetfoodforDogs400g.jpg?v=1677585813
4,Canifors meat chunks with chicken 410g,Canifors meat chunks with chicken 410g,Canifors,6.3,//aleef.com/cdn/shop/products/21bf6c8003506a5f13edcfe08776a7f5da3fbb7a.png?v=1662291666
5,Schesir Chicken fillets for dogs 150g,"Schesir Chicken fillets for dogs 150gTop quality food for Adult Dogs in soft jelly: with 100% natural ingredients, free from added colorings and preservatives. Careful selection of the very best parts of the Chicken, steam-cooked, and hand-processed.Composition:Chicken fillets 67%Rice 1,5%Nutritional Additives/Kgvit. A 1650 I.U.,vit. E 10 mg,",Schesir,10.5,//aleef.com/cdn/shop/files/SchesirChickenFilletsForDogs150g.jpg?v=1700661291
6,Applaws Chicken Breast Wet Food forDogs 156g,Applaws Chicken Breast Wet Food forDogs 156g100% NaturalA Natural Source Of Taurine essential for proper function for the heart and eye healthMade with limited ingredients,Applaws,10.5,//aleef.com/cdn/shop/products/ApplawsChickenBreastWetFoodForDogs.jpg?v=1665481153
7,Schesir Natural Chicken Wet food  For Adult Dogs  84g,"Schesir Natural Chicken Wet food  For Adult Dogs 84gChicken is the main ingredient in this recipeSchesir is committed to using 100% natural ingredientsAll ingredients are steam-cooked and prepared by handAll Schesir products are formulated with no added preservatives or coloursAll Schesir products are formulated with no added preservatives or coloursA portion ideal for small dogsCOMPOSITION60% CHICKEN1.5% RICEANALYTICAL CONSTITUENTSProtein 12,5%Raw fats 0,4%Raw fibre 0,1%Raw ash 0,9%Moisture 86%",Schesir,8.0,//aleef.com/cdn/shop/products/8005852161710.jpg?v=1662291425
8,Butcher's Original Junior chicken pieces in jelly Wet food  for Small Dogs 400 g,"Butcher's Original Junior chicken pieces in jelly Wet food  for Small Dogs 400 g

A recipe to give puppies the best start in adult life.
Vitamins and minerals they contain are essential to replenish these endless amounts of energy, and healthy growth and support natural immunity.
The recipes contain salmon oil rich in Omega-3 and Omega-6 fatty acids and prebiotics that help take care of the bellies of our small, most demanding connoisseurs.
Grain-free Junior foods do not contain gluten or fillers.
High-quality calcium and protein for strong bones and strong muscles.
It contains prebiotics that improves the work of the sensitive digestive system of the puppy.

Composition:

chicken 40%, beef 6%, liver 4%, salmon oil, parsley, rosehip, chicory, mint, minerals, prebiotics (mannan-oligosaccharides 0.2%), docosahexaenoic acid (DHA 0.07%).

Composition analysis (%):

protein 8, 
crude fibre 0.2
fat content 6
crude ash 2
moisture 82
Omega 3 0.36
Omega 6 1.3




Feed Recommendation التغذيه


Daily dosage (number of cans weighing 400g per day) 85kcal / 100g الجرعة اليومية (عدد العلب التي تزن 400 جرام في اليوم) 85 كيلو كالوري / 100 جرام


Dog size - حجم الكلب



Mini - ميني


Small - صغير


Medium - وسط


Large - كبير



Up to 3 months:1/2 - 1 حتى 3 شهور: 1/2 - 1
Up to 3 months:3/4 - 1 3/4 حتى 3 شهور: 3/4 - 1 3/4
Up to 3 months:1 1/2 - 2 3/4 حتى 3 أشهر: 1 1/2 - 2 3/4
Up to 3 months:1 3/4 - 4 حتى 3 أشهر: 1 3/4 - 4


3-6 months:1 - 1 1/2 3-6 شهور: 1 - 1 1/2
3-6 months:1 3/4 - 2 1/4 3-6 شهور: 1 3/4 - 2 1/4
3-6 months:2 3/4 - 3 1/2 3-6 شهور: 2 3/4 - 3 1/2
3-6 months:4 - 5 1/4 3-6 شهور: 4-5 1/4


6-12 months:1 - 1 1/2 من 6 إلى 12 شهرًا: 1 - 1 1/2
6-12 months:2 1/4 - 2 1/2 6-12 شهرًا: 2 1/4 - 2 1/2
6-12 months:3 1/2 - 3 3/4 6-12 شهرًا: 3 1/2 - 3 3/4
6-12 months:5 1/4 - 5 1/2 6-12 شهرًا: 5 1/4 - 5 1/2",Butcher's,204.0,//aleef.com/cdn/shop/products/Butcher_sOriginalJuniorchickenpiecesinjellyWetfoodforSmallDogs400g.jpg?v=1677570266
9,Butcher's Original Junior Beef pieces in jelly Wet food  for Small Dogs 400 g,"Butcher's Original Junior Beef pieces in jelly Wet food  for Small Dogs 400 g

A recipe to give puppies the best start in adult life.
Vitamins and minerals they contain are essential to replenish these endless amounts of energy, and healthy growth and support natural immunity.
The recipes contain salmon oil rich in Omega-3 and Omega-6 fatty acids and prebiotics that help take care of the bellies of our small, most demanding connoisseurs.
Grain-free Junior foods do not contain gluten or fillers.
High-quality calcium and protein for strong bones and strong muscles.
It contains prebiotics that improves the work of the sensitive digestive system of the puppy.

Composition:

chicken 40%, beef 10%, salmon oil, parsley, rosehip, chicory, mint, minerals, prebiotics (mannan-oligosaccharides 0.2%), docosahexaenoic acid (DHA 0.07%)

Composition analysis (%):

protein 8, 
crude fibre 0.2
fat content 6
crude ash 2
moisture 82
Omega 3 0.36
Omega 6 1.3




Feed Recommendation التغذيه


Daily dosage (number of cans weighing 400g per day) 85kcal / 100g الجرعة اليومية (عدد العلب التي تزن 400 جرام في اليوم) 85 كيلو كالوري / 100 جرام


Dog size - حجم الكلب



Mini - ميني


Small - صغير


Medium - وسط


Large - كبير



Up to 3 months:1/2 - 1 حتى 3 شهور: 1/2 - 1
Up to 3 months:3/4 - 1 3/4 حتى 3 شهور: 3/4 - 1 3/4
Up to 3 months:1 1/2 - 2 3/4 حتى 3 أشهر: 1 1/2 - 2 3/4
Up to 3 months:1 3/4 - 4 حتى 3 أشهر: 1 3/4 - 4


3-6 months:1 - 1 1/2 3-6 شهور: 1 - 1 1/2
3-6 months:1 3/4 - 2 1/4 3-6 شهور: 1 3/4 - 2 1/4
3-6 months:2 3/4 - 3 1/2 3-6 شهور: 2 3/4 - 3 1/2
3-6 months:4 - 5 1/4 3-6 شهور: 4-5 1/4


6-12 months:1 - 1 1/2 من 6 إلى 12 شهرًا: 1 - 1 1/2
6-12 months:2 1/4 - 2 1/2 6-12 شهرًا: 2 1/4 - 2 1/2
6-12 months:3 1/2 - 3 3/4 6-12 شهرًا: 3 1/2 - 3 3/4
6-12 months:5 1/4 - 5 1/2 6-12 شهرًا: 5 1/4 - 5 1/2",Butcher's,8.5,//aleef.com/cdn/shop/products/Butcher_sOriginalJuniorBeefpiecesinjellyWetfoodforSmallDogs400g.jpg?v=1677570951
