,Name,Description,Brand,Price,Image
0,Tiki Dog  MEATY Chicken with Beef in a Broth Wet Food For Dogs 85g × 4,"Tiki Dog  MEATY Chicken with Beef in a Broth Wet Food For Dogs 85g × 4IngredientsChicken, chicken broth, beef, sunflower oil, calcium lactate, dicalcium phosphate, xanthan gum, potassium chloride, salt, choline chloride, magnesium sulfate, fish oil, turmeric, ferrous sulfate, thiamine mononitrate (vitamin B1), vitamin E supplement, niacin (vitamin B3), zinc oxide, vitamin A supplement, biotin, copper amino acid chelate, vitamin B12 supplement, manganous oxide, calcium pantothenate, riboflavin, sodium selenite, pyridoxine hydrochloride (vitamin B6), folic acid, potassium iodide, vitamin D3 supplement, menadione sodium bisulfite complex (source of vitamin K activity).NutritionsProtein (min)    15.8%Fat (min)    3.4%Fiber (max)    0%Moisture (max)    77.7%Ash    1.4%73 kcal/cupFeeding GuidelinesFeed approximately (3) 3oz cups per 6 Ibs. of body weight for adult dogs. For puppies, offer food several times a day, and feed up to twice this amount. Pregnant or nursing dogs may require two to four times their normal feeding.",Tiki Dog,37.0,//aleef.com/cdn/shop/products/TikiDogMEATYChickenwithBeefinaBrothWetFoodForDogs85gx4.jpg?v=1662357800
1,Tiki Dog  MEATY Chicken in a Broth Wet Food For Dogs 85g × 4,"Tiki Dog  MEATY Chicken in a Broth Wet Food For Dogs 85g × 4IngredientsChicken, chicken broth, sunflower oil, calcium lactate, dicalcium phosphate, xanthan gum, potassium chloride, salt, choline chloride, magnesium sulfate, fish oil, turmeric, ferrous sulfate, thiamine mononitrate (vitamin B1), vitamin E supplement, niacin (vitamin B3), zinc oxide, vitamin A supplement, biotin, copper amino acid chelate, vitamin B12 supplement, manganous oxide, calcium pantothenate, riboflavin, sodium selenite, pyridoxine hydrochloride (vitamin B6), folic acid, potassium iodide, vitamin D3 supplement, menadione sodium bisulfite complex (source of vitamin K activity).NutritionsProtein (min)    17.1%Fat (min)    4.2%Fiber (max)    0%Moisture (max)    76%Ash    1.9%74 kcal/cupFeeding GuidelinesFeed approximately (3) 3oz cups per 6 Ibs. of body weight for adult dogs. For puppies, offer food several times a day, and feed up to twice this amount. Pregnant or nursing dogs may require two to four times their normal feeding.",Tiki Dog,37.0,//aleef.com/cdn/shop/products/TikiDogMEATYChickeninaBrothWetFoodForDogs85gx4.jpg?v=1662357003
2,Tiki Dog  Taste of the World Asian Peking Duck Wet Food For Dogs 85g × 4,"Tiki Dog  Taste of the World Asian Peking Duck Wet Food For Dogs 85g × 4IngredientsChicken broth, duck, chicken, rice noodle (rice, water), cabbage, sunflower seed oil, red bell pepper, orange juice, potassium chloride, xanthan gum, choline chloride, magnesium sulfate, dicalcium phosphate, tuna oil, thiamine mononitrate (vitamin B1), vitamin E supplement, ferrous sulfate, niacin (vitamin B3), zinc oxide, vitamin A supplement, biotin, vitamin B12 supplement, copper amino acid chelate, manganous oxide, calcium pantothenate, riboflavin, sodium selenite, pyridoxine hydrochloride (vitamin B6), folic acid, potassium iodide, vitamin D3 supplement.NutritionsCrude Protein (min)    8%Crude Fat (min)    3%Crude Fiber (max)    2%Moisture (max)    82%813 kcal ME/kg69 kcal ME/cupFeeding GuidelinesFeed approximately (3) 3oz cups per 7lbs of body weight per day for adult dogs.",Tiki Dog,37.0,//aleef.com/cdn/shop/products/TikiDogTasteoftheWorldAsianPekingDuckWetFoodForDogs85gx4.jpg?v=1662356726
3,Tiki Dog  MEATY Chicken with Egg in a Broth Wet Food For Dogs 85g × 4,"Tiki Dog  MEATY Chicken with Egg in a Broth Wet Food For Dogs 85g × 4IngredientsChicken, chicken broth, dried egg, sunflower oil, calcium lactate, dicalcium phosphate, xanthan gum, potassium chloride, salt, choline chloride, magnesium sulfate, fish oil, turmeric, ferrous sulfate, thiamine mononitrate (vitamin B1), vitamin E supplement, niacin (vitamin B3), zinc oxide, vitamin A supplement, biotin, copper amino acid chelate, vitamin B12 supplement, manganous oxide, calcium pantothenate, riboflavin, sodium selenite, pyridoxine hydrochloride (vitamin B6), folic acid, potassium iodide, vitamin D3 supplement, menadione sodium bisulfite complex (source of vitamin K activity).NutritionsProtein (min)    16.1%Fat (min)    4.1%Fiber (max)    0%Moisture (max)    77.2%Ash    1.7%76 kcal/cupFeeding GuidelinesFeed approximately (3) 3oz cups per 6 Ibs. of body weight for adult dogs. For puppies, offer food several times a day, and feed up to twice this amount. Pregnant or nursing dogs may require two to four times their normal feeding.",Tiki Dog,37.0,//aleef.com/cdn/shop/products/TikiDogMEATYChickenwithEgginaBrothWetFoodForDogs85gx4.jpg?v=1662357196
4,Tiki Dog  MEATY Chicken with Duck in a Broth Wet Food For Dogs 85g × 4,"Tiki Dog  MEATY Chicken with Duck in a Broth Wet Food For Dogs 85g × 4
Ingredients
Chicken, chicken broth, duck, sunflower oil, calcium lactate, dicalcium phosphate, xanthan gum, potassium chloride, salt, choline chloride, magnesium sulfate, fish oil, turmeric, ferrous sulfate, thiamine mononitrate (vitamin B1), vitamin E supplement, niacin (vitamin B3), zinc oxide, vitamin A supplement, biotin, copper amino acid chelate, vitamin B12 supplement, manganous oxide, calcium pantothenate, riboflavin, sodium selenite, pyridoxine hydrochloride (vitamin B6), folic acid, potassium iodide, vitamin D3 supplement, menadione sodium bisulfite complex (source of vitamin K activity).
Nutritions
Protein (min)    15.7%
Fat (min)    4.3%
Fiber (max)    0%
Moisture (max)    77.3%
Ash    1.7%
74 kcal/cup
Feeding Guidelines
Feed approximately (3) 3oz cups per 6 Ibs. of body weight for adult dogs. 
For puppies, offer food several times a day, and feed up to twice this amount. 
Pregnant or nursing dogs may require two to four times their normal feeding",Tiki Dog,37.0,//aleef.com/cdn/shop/products/TikiDogMEATYChickenwithDuckinaBrothWetFoodForDogs85gx4.jpg?v=1663398214
5,Tiki Dog  Taste of the World Spanish Paella Wet Food For Dogs 85g × 4,"Tiki Dog  Taste of the World Spanish Paella Wet Food For Dogs 85g × 4IngredientsChicken broth, chicken, brown rice, shrimp, carrots, green peas, sunflower seed oil, ham, calcium lactate, dicalcium phosphate, potassium chloride, salt, xanthan gum, choline chloride, magnesium sulfate, turmeric, paprika, tuna oil, thiamine mononitrate (vitamin B1), vitamin E supplement, ferrous sulfate, niacin (vitamin B3), zinc oxide, vitamin A supplement, biotin, vitamin B12 supplement, copper amino acid chelate, manganous oxide, calcium pantothenate, riboflavin, sodium selenite, pyridoxine hydrochloride (vitamin B6), folic acid, potassium iodide, vitamin D3 supplement.NutritionsCrude Protein (min)    8%Crude Fat (min)    3%Crude Fiber (max)    2%Moisture (max)    82%1055 kcal ME/kgFeeding GuidelinesFeed approximately (3) 3oz cups per 7lbs of body weight per day for adult dogs.",Tiki Dog,37.0,//aleef.com/cdn/shop/products/TikiDogTasteoftheWorldSpanishPaellaWetFoodForDogs85gx4.jpg?v=1662358204
6,Tiki Dog Aloha Petites  Chicken & Duck Wet Food  For Dogs  85g × 4,"Tiki Dog Aloha Petites  Chicken & Duck Wet Food  For Dogs  85g × 4 Ingredients Chicken broth, chicken, duck, chicken liver, mung bean, sweet potato, carrot, chicken heart, chicken gizzard, carrot, kale, sunflower oil, canola oil, tricalcium phosphate, locust bean gum, flaxseed, tuna oil, disodium pyrophosphate, salt, potassium chloride, turmeric powder, zinc oxide, vitamin E supplement, reduced iron, magnesium oxide, manganese sulfate, vitamin B12 supplement, copper glycine complex, vitamin A supplement, niacin supplement (vitamin B3), calcium pantothenate, thiamine mononitrate (vitamin B1), biotin supplement, riboflavin supplement (vitamin B2), potassium iodide, pyridoxine hydrochloride (vitamin B6), vitamin D3 supplement, beta-carotene, folic acid.NutritionsCrude Protein (min)    8.9%Crude Fat (min)    4.7%Crude Fiber (max)    0.2%Moisture (max)    84.9%Ash    1.5%76 kcal/can (3.5 oz.)Feeding GuidelinesFeed two 3.5 oz. cans per 4 lbs. body weight. For 9 oz cans. Varies based on age, activity and lifestyle. Reduce amount when paired. Serve at room temperature. keep Refrigerated after opening.",Tiki Dog,37.0,//aleef.com/cdn/shop/products/TikiDogAlohaPetitesChicken_DuckWetFoodForDogs85gx4.jpg?v=1662357083
7,Tiki Dog Aloha Petites  Chicken & Beef Liver Wet Food  For Dogs  85g × 4,"Tiki Dog Aloha Petites  Chicken & Beef Liver Wet Food  For Dogs  85g × 4 Ingredients Chicken broth, chicken, beef heart, beef liver, mung bean, sweet potato, carrot, kale, sunflower oil, tricalcium phosphate, canola oil, locust bean gum, flaxseed, disodium pyrophosphate, tuna oil, salt, potassium chloride, turmeric powder, choline chloride, calcium sulfate, vitamin E supplement, zinc oxide, reduced iron, magnesium oxide, sodium selenite, manganese sulfate, vitamin B12 supplement, copper glycine complex, vitamin A supplement, niacin supplement (vitamin B3), calcium pantothenate, thiamine mononitrate (vitamin B1), biotin supplement, riboflavin supplement (vitamin B2), potassium iodide, pyridoxine hydrochloride (vitamin B6), vitamin D3 supplement, beta-carotene, folic acid.NutritionsProtein (min)    7.3%Fat (min)    4.2%Fiber (max)    0%Moisture (max)    86.2%Ash    1.5%83 kcal/can (3.5 oz.)Feeding GuidelinesFeed two 3.5 oz. cans per 4 lbs. body weight. For 9 oz cans. Varies based on age, activity and lifestyle. Reduce amount when paired. Serve at room temperature. keep Refrigerated after opening.",Tiki Dog,37.0,//aleef.com/cdn/shop/products/TikiDogAlohaPetitesChicken_BeefLiverWetFoodForDogs85gx4.jpg?v=1662357892
8,Tiki Dog  MEATY Chicken with Salmon in a Broth Wet Food For Dogs 85g × 4,"Tiki Dog  MEATY Chicken with Salmon Broth Wet Food For Dogs 85g × 4IngredientsChicken, chicken broth, salmon, sunflower oil, calcium lactate, dicalcium phosphate, xanthan gum, potassium chloride, salt, choline chloride, magnesium sulfate, fish oil, turmeric, ferrous sulfate, thiamine mononitrate (vitamin B1), vitamin E supplement, niacin (vitamin B3), zinc oxide, vitamin A supplement, biotin, copper amino acid chelate, vitamin B12 supplement, manganous oxide, calcium pantothenate, riboflavin, sodium selenite, pyridoxine hydrochloride (vitamin B6), folic acid, potassium iodide, vitamin D3 supplement, menadione sodium bisulfite complex (source of vitamin K activity).NutritionsCrude Protein (min)    17.1%Crude Fat (min)    4%Crude Fiber (max)    0%Moisture (max)    76%Ash    1.5%75 kcal/cupFeeding GuidelinesFeed approximately (3) 3oz cups per 6 Ibs. of body weight for adult dogs. For puppies, offer food several times a day, and feed up to twice this amount. Pregnant or nursing dogs may require two to four times their normal feeding.",Tiki Dog,37.0,//aleef.com/cdn/shop/products/TikiDogMEATYChickenwithSalmonBrothWetFoodForDogs85gx4.jpg?v=1662357458
9,Tiki Dog  Taste of the World Asian Chicken Stir Fry Wet Food For Dogs 85g × 4,"Tiki Dog  Taste of the World Asian Chicken Stir Fry Wet Food For Dogs 85g × 4IngredientsChicken broth, chicken, brown rice, carrots, snow peas, sunflower seed oil, red bell pepper, calcium lactate, dicalcium phosphate, potassium chloride, salt, xanthan gum, choline chloride, magnesium sulfate, tuna oil, thiamine mononitrate (vitamin B1), vitamin E supplement, ferrous sulfate, niacin (vitamin B3), zinc oxide, vitamin A supplement, biotin, vitamin B12 supplement, copper amino acid chelate, manganous oxide, calcium pantothenate, riboflavin, sodium selenite, pyridoxine hydrochloride (vitamin B6), folic acid, potassium iodide, vitamin D3 supplement.NutritionsCrude Protein (min)    8%Crude Fat (min)    3%Crude Fiber (max)    2%Moisture (max)    82%967 kcal ME/kgFeeding GuidelinesFeed approximately (3) 3oz cups per 7lbs of body weight per day for adult dogs.",Tiki Dog,37.0,//aleef.com/cdn/shop/products/TikiDogTasteoftheWorldAsianChickenStirFryWetFoodForDogs85gx4.jpg?v=1662356904
