,Name,Description,Brand,Price,Image
0,"Beaphar Fresh Breath Spray for cats & dogs, 150ml","Beaphar Fresh Breath Spray for cats & dogs, 150ml

An easy-to-use product that fights bad breath, plaque and tartar in your furry dog friend.
Beaphar Fresh Breath Spray for dogs contains natural enzymes that break down plaque and prevent tartar formation.
It also contains ingredients that bind calcium, which is a major component of tartar.
By spraying this product on your dog’s teeth daily, you can help to keep their mouth hygienic and their teeth cleaner.
Beaphar Fresh Breath Spray for Dogs is suitable for cats and dogs of all ages and breeds.
It has a pleasant taste that your pet will love.
Beaphar Fresh Breath Spray for dogs is a must-have product for any pet owner who cares about their pet’s dental health.
Order yours today and see the difference it makes!

Instructions

ALWAYS FULLY READ THE PRODUCT LABEL BEFORE USE.
Spray 3–4 pumps onto your pet's teeth from a distance of 5–10cm. It is recommended to repeat this daily for optimum benefit.
If bad breath persists it may be a sign of tooth decay, and you should seek veterinary advice. Teeth heavily coated in tartar may need veterinary attention.
Always have fresh drinking water available.",Beaphar,40.0,//aleef.com/cdn/shop/files/BeapharFreshBreathSprayforcats_dogs_150ml.jpg?v=1684394495
1,"VetIQ Skin & Coat For Cats & Dogs, 250ml","VetIQ Skin & Coat For Cats & Dogs, 250ml Edible liquid skin and coat conditioner For a healthy skin and coat Helps ease dry and flaky skin conditions Helps minimize seasonal shedding Contains Omega 3 and Omega 6 fatty acids",Mark & Chappell,70.0,//aleef.com/cdn/shop/products/VetIQSkin_CoatForCats_Dogs_250ml.jpg?v=1666861687
2,Beaphar Eye Gel for all Pets,"Beaphar Eye Gel for all Pets

A sterile liquid gel to soothe and relieve dry and irritated eyes. 
Once applied to the eye, the gel gently softens and melts across the cornea to provide instant relief and reduce discomfort caused by dry eyes. 
Beaphar Eye Gel contains Vitamin A to help protect and repair the surface of the eye.
Ideal for helping your pet’s eyes to naturally clean dust and debris away.
Suitable for all animals, big and small.

Instructions1. Remove the screw cap on the tube.2. Hold your pet gently but firmly and place a single drop of Beaphar Eye Gel directly onto the surface of the eye, ensuring the tube does not touch the eye. You may find it helpful to support your pet in a towel to help restrain them while you are administering the Beaphar Eye Gel.3. The gel will gently melt across the surface of the eye.If required, this can be repeated every four hours.IMPORTANT:

Dispose of Beaphar Eye Gel 28 days after opening and replace it with a new one.",Beaphar,35.0,//aleef.com/cdn/shop/products/BeapharEyeGelforallPets.jpg?v=1674975039
3,"Beaphar Tear Stain Remover for cats and dogs, 50ml","Beaphar Tear Stain Remover for cats and dogs, 50ml
Beaphar Tear Stain Remover is a specially formulated solution to gently but effectively remove tear stains on the fur around your cat or dog's eyes. Beaphar Tear Stain Remover can be used regularly to help prevent tear stains and is ideal for use on white or light coloured cats and dogs. Suitable for cats and dogs.


Instructions

ALWAYS FULLY READ THE PRODUCT LABEL BEFORE USE.
Use a new, clean cotton wool ball for each eye.
Thoroughly soak a cotton wool ball with Beaphar Tear Stain Remover.
Gently clean around eye and the stained fur with the wet cotton wool ball.
After use, gently dab the affected area with a dry cotton wool ball to soak up any excess moisture.
To remove stubborn stains, use up to three times daily for at least one week. As a preventative measure, use one or two times per week.",Beaphar,38.0,//aleef.com/cdn/shop/files/BeapharTearStainRemoverforcatsanddogs_50ml.jpg?v=1690359806
4,Vet’s Best  Breath Freshener  For Dogs 500ml,"Vet’s Best  Breath Freshener  For Dogs 500mlIs a water additive that de-odorizes your pet’s breath – no brushing required
Is a Natural water additive that deodorizes your pet’s breath. 
It contains Natural anti bacterial Ingredients as well as peppermint oil and clove oil. 
Just add a teaspoon to your pets fresh drinking water to tackle sources of bad breath.
Containing natural anti-bacterial agents, Vet’s Best breath freshener has been specially formulated to tackle sources of bad breath in dogs which form in the mouth",Vet's Best,59.5,//aleef.com/cdn/shop/products/Vet_sBestBreathFreshenerForDogs500ml.jpg?v=1669619783
5,Beaphar Finger Toothbrush 2x,Beaphar Finger Toothbrush 2x Many health problems can stem from a lack of attention to oral hygiene. Daily brushing removes food particles and reduces bacteria. Early plaque formation should be brushed away in order to prevent bad breath and tooth decay.,Beaphar,16.0,//aleef.com/cdn/shop/products/8711231113279.jpg?v=1658654481
6,Vet's Best Advanced Dental Spray For Dogs 14ml,"Vet's Best Advanced Dental Spray For Dogs 14mlA convenient pocket-size Dental spray formulated with Peppermint and Aloe Vera can help to prevent dental plaque and tartar and keeps breath fresh, maintaining a healthy oral environment while on the go.Helps to maintain good oral hygiene and fresh breath while on the goWe recommend you use it in conjunction with other products from the Vet’s Best Dental range for an overall dental care solution",Vet's Best,28.0,//aleef.com/cdn/shop/products/Vet_sBestAdvancedDentalSprayForDogs14ml.jpg?v=1669620449
7,"Vet's Best Flea & Tick Wipes For Cats and Dogs, 50 Wipes","When it comes to keeping your furry friends safe from pesky fleas and ticks, Vet's Best has your back. Our Flea & Tick Wipes, available in a convenient pack of 50, are the ultimate solution for pet owners who prioritize their pet's well-being. Say goodbye to those relentless parasites and hello to a happier, itch-free pet!


Vet's Best Flea & Tick Wipes For Cats and Dogs Features:




Dual Action Formula: Vet's Best Flea & Tick Wipes are designed to provide a two-fold defense against fleas and ticks. These wipes not only repel these pesky insects but also help soothe and relieve your pet's skin from itching and irritation caused by bites.


Gentle and Safe: Our wipes are formulated with natural ingredients that are gentle on your pet's skin and coat, making them suitable for cats and dogs of all ages and sizes. You can trust Vet's Best for a safe and effective solution.


Quick and Convenient: Applying these wipes couldn't be easier. Simply remove a wipe from the pack and gently rub it over your pet's fur, paying extra attention to flea and tick-prone areas like the neck, back, and hindquarters. No need for messy, complicated treatments.


Long-Lasting Protection: Each wipe offers extended protection, keeping your pet safeguarded from fleas and ticks for hours, so you can enjoy quality time together without worrying about infestations.


Ideal for On-the-Go: These compact wipes are perfect for outdoor adventures, trips to the park, or visits to the vet. Keep them in your bag or car for easy access to instant pest protection.


Trusted Brand: Vet's Best is a name pet owners and veterinarians trust. Our commitment to quality and pet well-being ensures you're providing the best care for your beloved companion.




Ingredients

Active Ingredients: Peppermint Oil...0.30%, Eugenol (from Clove plants) ...0.70%, Sodium Lauryl Sulfate (plant-derived) ...2.70%, Inert Ingredients* ...96.30%, *Water, Sodium Benzoate (preservative widely used in foods).





Directions for Use:



Remove a wipe from the pack.
Gently rub the wipe over your pet's fur, paying extra attention to flea and tick-prone areas.
Discard the used wipe in a trash bin.

Invest in Vet's Best Flea & Tick Wipes for Cats and Dogs today and grant your pets the gift of a pest-free, comfortable life. With our easy-to-use, all-natural formula, you'll see a noticeable difference in your pet's happiness and well-being.
Aleef Store, The destination for your pet care supplies.",Vet's Best,45.0,//aleef.com/cdn/shop/files/Vet_sBestFlea_TickWipesForCatsandDogs_50Wipes.jpg?v=1694950685
8,"Vet's Best  Flea, Tick & Mite Spray For Dogs 500mL","Vet's Best  Flea, Tick & Mite Spray For Dogs 500mLProtect your home and your pup with our 1 selling Home Spray for Dogs. Highly effective formula kills fleas, flea eggs and ticks by contact using certified natural essential oils.Kills fleas, flea eggs and ticks by contactDIRECTIONS FOR USE: FOR USE ON DOGS ONLY. Apply directly to the coat. Spray 3mls of product (3 trigger pulls) to the vulnerable areas (back of neck and base of tail) and brush into coat and leave. Avoid the eyes and nasal area.Certified natural peppermint and eugenol ingredientsDoesn’t stainDetachable sprayer and induction seal cap for leak-free portabilityMade in the USA",Vet's Best,65.0,//aleef.com/cdn/shop/products/Vet_sBestFlea_Tick_MiteSprayForDogs500mL.jpg?v=1669703194
9,"Vet’s Best Dog Toothpaste, Teeth Cleaning and Fresh Breath Dental Care Gel Kit","Vet’s Best Dog Toothpaste, Teeth Cleaning and Fresh Breath Dental Care Gel Kit SOOTHING AND EFFECTIVE - Vet’s Best Dental Gel Toothpaste is a formulated soothing and effective mix of vitamin C, clove leaf oil, grapefruit seed extract and peppermint FAST AND EASY - The triple-headed toothbrush has a unique bristle head design that cleans teeth from multiple angles at once, to make brushing fast and easy. CLEANS AND FRESHENS - Freshens breath and gently cleans away plaque and tartar. NATURAL FLAVORS - Your dog will love the great taste. You will love how it brightens and whitens teeth while freshening the breath. TOTAL CARE - Vet's Best Dental Gel Toothpaste is part of our complete treatment system for Advanced dental care. Use with Vet’s Best Breath Freshener, dental powder an dental spray for overall healthy teeth and gums",Vet's Best,70.0,//aleef.com/cdn/shop/products/031658803644.jpg?v=1658654944
