,Name,Description,Brand,Price,Image
0,Beaphar Perfume 50ml,Beaphar Perfume 50mlThe form of a vaporizer has been specially designed for adult dogs. This sweet and subtle fragrance of very good quality leaves a particularly pleasant smell on the male and Female,Beaphar,70.0,//aleef.com/cdn/shop/products/BeapharPerfume50ml.jpg?v=1664001489
1,"Beaphar Dimethi care parasite infestations removal shampoo for cats and dogs, 200ml","Beaphar Dimethi care parasite infestations removal shampoo for cats and dogs, 200ml

A natural and effective way to protect your pet from ticks, fleas and other parasites.
This shampoo is suitable for cats and dogs of at least 12 weeks of age.
It supports the maintenance of healthy skin and coat by nourishing it with aloe vera and dimethicone.
Beaphar dimethi care shampoo immobilizes parasites by purely physical means, without using any chemicals or pesticides.
It also has a pleasant fragrance that your pet will enjoy.
Beaphar dimethi care shampoo is part of the Beaphar dimethi care range, which offers products that help to prevent and treat parasite infestations in your pet.",Beaphar,35.0,//aleef.com/cdn/shop/files/anaturalandeffectivewaytoprotectyourpetfromticks_fleasandotherparasites..jpg?v=1684401982
2,Espree Tea Tree & Aloe Shampoo 591 ml,"Directions:DO NOT USE IT ON CATS.diluted 5 parts water to 1 part shampoo, if desired. Wet dog thoroughly with room temperature water. Gently work into a rich lather, taking care to avoid the eyes, inner ears and other sensitive areas. For best results, leave it in for 3 minutes. Rinse thoroughly. Repeat as necessary. The towel-dry dog promptly to avoid chilling.Ingredients:Purified Water, Coconut- & Plant-Derived Cleansers, Aloe Vera Juice, Pearlizer, Conditioners, Tea Tree Oil, Salicylic Acid, EDTA, Pro-Vitamin B5, Jojoba Oil, Vitamin E, Preservative, Vitamins A & D, Salt",Espree,58.0,//aleef.com/cdn/shop/products/748406003873.jpg?v=1658654661
3,"Trixie Shampoo For Long Hair For Dogs, 250 ml","Trixie Shampoo For Long Hair For Dogs, 250 ml

Eases combing and prevents matts
Especially suitable for sensitive skin
Also suitable for young animals from 12 weeks onwards
For naturally beautiful coat
This shampoo help your dogs to develop a naturally beautiful coat.
It smoothes the hair texture, prevents tangling and has a
particularly replenishing effect.",Trixie,24.0,//aleef.com/cdn/shop/products/TrixieShampooForLongHairForDogs_250ml.jpg?v=1679394263
4,Beaphar Coat Repair Shampoo For Dogs,"Beaphar Coat Repair Shampoo For Dogs Beaphar Coat Repair Shampoo is a specially formulated, cleansing shampoo for all breeds of dog. A brittle, coarse or damaged coat will regain its glossy appearance thanks to the addition of Macadamia Oil.",Beaphar,35.0,//aleef.com/cdn/shop/products/BeapharCoatRepairShampooForDogs250ml.jpg?v=1664694918
5,Beaphar Bio Cosmetic Shampoo & Conditioner 2 in 1 200ml,"Beaphar Bio Cosmetic Shampoo & Conditioner 2 in 1 200ml Beaphar BIO 2 in 1 Dog Shampo Cleans and detangles your dog's hair. It contains Aloe Vera gel from Organic Farming that moisturizes the skin and softens the fur. The ECOCERT® label guarantees the natural origin and the quality of the ingredients used. The shampoo, enriched with Argan Oil and Apricot, restores the suppleness of the coat and makes it easy to detangle. Its neutral pH respects the nature of your dog's fur.",Beaphar,40.0,//aleef.com/cdn/shop/products/7686eaa6ebcb7333277c1236cb187fb45c8e1469.jpg?v=1658655065
6,Espree Bright White Dog Shampoo 591ml,"Espree Bright White Dog Shampoo 591ml Color revitalizing shampoo for light colored coats Floral Fragrance Removes difficult stains, gray, and yellowing Made with 100% Organically Grown Aloe Vera Made in the USA",Espree,60.0,//aleef.com/cdn/shop/products/748406003811.jpg?v=1658654101
7,Inodorina Sensation Shampoo Ginger scent 300ml,"Suitable for all types of skin and coatParaben freeMade in ItalyInodorina Sensation is available in 6 fragrances: Cotton, Ginger, Vanilla, Cucumber, Coconut and Milk.",Inodorina,33.95,//aleef.com/cdn/shop/products/8031398128122.jpg?v=1658654303
8,Buddy Rinse Lavender & Mint  Hydrating Conditioner Therapy. 473 mL,"Buddy Wash Lavender And Mint  2 in 1 Shampoo + Conditioner For Dogs 473 mLIngredientsaloe vera juice, the essence of lavender, the essence of mint, wheat protein extract, rosehip oil, kukui nut oil, olive oil, wheat germ oil, jojoba oil, chamomile extract, sage extract, nettle extract, rosemary extract, allantoin, vitamin E, vitamin C, vitamin A, vitamin B5.",Buddy,65.0,//aleef.com/cdn/shop/products/693804153029.jpg?v=1658653852
9,"Simple Solution Extreme Carpet Shampoo Odor, Spring Fresh Scent","Tired of battling those relentless carpet stains and lingering odors? Look no further! Our Extreme Carpet Shampoo is meticulously crafted to combat tough stains and banish odors, infusing your home with the rejuvenating scent of spring.


KeySimple Solution Extreme Carpet Shampoo Odor, Spring Fresh Scent Features:




Powerful Stain Remover: Bid farewell to unsightly stains. This shampoo delves deep into your carpets, effectively lifting and erasing even the most stubborn blemishes.


Odor Neutralization: No more masking odors. Our formula gets to the root of the issue, neutralizing unpleasant smells and leaving your carpets with the fresh, inviting fragrance of spring.


Deep Cleaning: Offering a comprehensive and thorough clean, it revitalizes your carpets, restoring their appearance and texture.


Carpet-Friendly: Crafted to be gentle on your carpet's fibers while maintaining its formidable cleaning power.



Ingredients


Purified water, professional strength detergents and fragrance


Directions for Use:



Vacuum your carpet thoroughly before use to remove loose dirt and debris.


Shake the bottle well to ensure proper mixing of the formula.


Dilute the shampoo according to the manufacturer's instructions, if necessary, based on the severity of stains and odors.


Test the product on a small, inconspicuous area of your carpet to ensure colorfastness and compatibility.


Apply the diluted solution evenly to your carpet using a carpet cleaning machine or a clean, damp cloth, working in small sections.


Allow the shampoo to sit for the recommended time mentioned in the instructions, but do not let it dry on the carpet.


Use a clean, damp cloth or the carpet cleaning machine to remove the shampoo, going over the treated areas until the water runs clear.


Allow your carpet to fully dry before resuming regular use.


Experience the delight of cleaner, fresher carpets with Simple Solution Extreme Carpet Shampoo. Bring the invigorating essence of spring to your home today. Order now!
Aleef Store, The destination for your pet care supplies.",Simple Solution,61.2,//aleef.com/cdn/shop/files/SimpleSolutionExtremeCarpetShampooOdor_SpringFreshScent.jpg?v=1695638177
10,"Trixie Coat Conditioning Shampoo For Dogs, 250 ml","Trixie Coat Conditioning Shampoo For Dogs, 250 ml

Eases combing and prevents matts
Extra replenishing
For naturally beautiful coat
This shampoo help your dogs to develop a naturally beautiful coat.
It smoothes the hair texture, prevents tangling and has a
particularly replenishing effect.",Trixie,24.0,//aleef.com/cdn/shop/products/TrixieCoatConditioningShampooForDogs_250ml.jpg?v=1679393490
11,Farm To Market Dirty Dog Oatmeal Pet Shampoo For Dogs 592 ml,"Preparation instructionsShake well. avoid direct eye contact. Massage shampoo into the fur from head to tail rinse until water runs clear.IngredientsContains: Purified Water (Hydrator), Hydrolyzed Oat Protein, Coconut Based Cleansers (Plant Derived), Goat's Milk (Conditioner), Proprietary Soy Derived Odor Neutralizing Compound, Panthenol (Moisturizer), Vitamins A, D, E, Fragrance.",Farm To Market,48.0,//aleef.com/cdn/shop/products/748406006515.jpg?v=1658654660
12,Inodorina Sensation Shampoo Cucumber smell 300ml,"Suitable for all types of skin and coatParaben freeMade in ItalyInodorina Sensation is available in 6 fragrances: Cotton, Ginger, Vanilla, Cucumber, Coconut and Milk.",Inodorina,33.95,//aleef.com/cdn/shop/products/8031398128146.jpg?v=1658654620
13,Buddy Wash Green Tea & Bergamot 2-in-1  Shampoo + Conditioner For Dogs 473 mL,"Buddy Wash Green Tea & Bergamot 2-in-1  Shampoo + Conditioner For Dogs 473 mL.Ingredients:Coconut shampoo, aloe vera gel, the essence of green tea, the essence of bergamot, chamomile extract, sage extract, nettle extract, rosemary extract, wheat protein extract (natural deodorizing agent), tea tree oil, vitamin E, vitamin C.",Buddy,55.25,//aleef.com/cdn/shop/products/693804152329.jpg?v=1658653855
14,"Vet's Best Moisture Mist Conditioner Dogs, 470mL","Introducing Vet's Best Moisture Mist Conditioner for Dogs, the ultimate solution to keep your furry friend's coat soft, shiny, and in pristine condition. This 470 ml bottle of canine luxury is designed to pamper your beloved pet and give them the healthy, lustrous coat they deserve.


Vet's Best Moisture Mist Conditioner Dogs Features:




Deep Conditioning: Vet's Best Moisture Mist Conditioner is formulated to provide deep hydration and nourishment to your dog's skin and coat. Say goodbye to dryness and hello to silky-smooth fur.


Natural Ingredients: We believe in the power of nature, which is why our conditioner is made with carefully selected, plant-based ingredients. It contains aloe vera and chamomile to soothe and calm the skin, leaving it feeling refreshed.


Detangling Action: Tired of struggling with knots and tangles? Our conditioner helps to detangle your dog's hair, making grooming a breeze. You'll love how easily your comb or brush glides through their fur.


Long-Lasting Freshness: Vet's Best Moisture Mist Conditioner has a light, fresh scent that leaves your dog smelling clean and pleasant. No more lingering odors after playtime outdoors.


Easy-to-Use Spray Bottle: The convenient spray nozzle ensures even distribution of the conditioner. Simply spray, massage, and comb through your dog's coat for a luxurious grooming experience.


Safe for All Breeds: Whether you have a small, medium, or large dog, this conditioner is suitable for all breeds and coat types. It's also safe for puppies over 12 weeks old.



Ingredients:


green herbal essence blend, panthenol (vitamin B-5), allantoin, elastin and collagen.


Directions for Use:



Shake Well: Before each use, shake the bottle well to ensure the ingredients are properly mixed.


Spray: Hold the bottle about 6-8 inches away from your dog's dry or damp coat. Start at the neck and work your way down, making sure to avoid the eyes and ears. Be generous with the spray, but don't saturate the coat.


Massage: Gently massage the conditioner into your dog's fur, paying special attention to any tangles or mats. Use your fingers or a wide-toothed comb to work through stubborn knots.


Comb Through: Using a comb or brush, carefully comb through your dog's coat to distribute the conditioner evenly and remove any remaining tangles. Start from the tips and work your way up to the roots.


Let Dry: Allow your dog's coat to air dry or use a low-heat setting on a pet dryer. Your dog will be left with a soft, shiny, and manageable coat that's a joy to touch.


Treat your dog to the ultimate spa-like experience with Vet's Best Moisture Mist Conditioner. Say goodbye to dull, dry fur and hello to a happier, healthier, and more beautiful canine companion. Make every day a good hair day for your furry friend!
Aleef Store, The destination for your pet care supplies.",Vet's Best,55.0,//aleef.com/cdn/shop/files/Vet_sBestMoistureMistConditionerForDogs_470ml.jpg?v=1695117653
15,"Vet's Best Hypo-Allergenic Shampoo For Sensitive Dogs, 470 ml","For dogs with sensitive skin, finding the right shampoo is essential. Vet's Best understands the unique needs of your furry friend, and that's why we've created our Hypo-Allergenic Shampoo. Available in a generous 470 ml bottle, this gentle formula is designed to cleanse, soothe, and pamper your dog's delicate skin. Say goodbye to irritation and hello to a clean, happy pup!
Vet's Best Hypo-Allergenic Shampoo For Sensitive Dogs Features:


Hypo-Allergenic Formula: Vet's Best Hypo-Allergenic Shampoo is specially crafted for dogs with sensitive skin and allergies. It contains a mild, hypo-allergenic formula that cleanses without harsh chemicals or irritants, making it perfect for even the most delicate skin types.


Gentle Cleansing: This shampoo provides a thorough yet gentle cleansing experience. It effectively removes dirt, grime, and odors without stripping the skin of its natural oils, leaving your dog's coat soft, clean, and lustrous.


Soothing Relief: Does your dog suffer from itching or skin irritation? Our shampoo contains natural ingredients like aloe vera and chamomile to soothe and calm irritated skin, providing relief and comfort.


Long-Lasting Freshness: Vet's Best Hypo-Allergenic Shampoo leaves your dog smelling fresh and clean for days after each wash, making cuddle time even more enjoyable.


Veterinarian-Recommended: Trusted by veterinarians and pet owners alike, Vet's Best is dedicated to providing the best care for your furry companion. Our Hypo-Allergenic Shampoo is no exception, offering your dog a soothing bath experience.


Large 470 ml Bottle: Each bottle contains 470 ml of shampoo, providing ample product for multiple baths and ensuring your dog's ongoing comfort.



Contains:

Aloe Vera, Allantoin, Panthenol (Vitamin B5) and Vitamin E.


Directions for Use:


Wet your dog's coat thoroughly with warm water.
Apply Vet's Best Hypo-Allergenic Shampoo generously, starting from the neck and working your way down to the tail.
Gently massage the shampoo into your dog's coat, paying extra attention to sensitive or irritated areas.
Rinse thoroughly with warm water until all shampoo residue is removed.
Towel dry your dog, and enjoy their refreshed, clean coat.

Give Your Sensitive Dog the Love They Deserve:
Invest in Vet's Best Hypo-Allergenic Shampoo for Sensitive Dogs today and provide your furry companion with the care they need. With our gentle, hypo-allergenic formula, you'll see a noticeable improvement in your dog's comfort and overall well-being.
Aleef Store, The destination for your pet care supplies.",Vet's Best,72.0,//aleef.com/cdn/shop/files/Vet_sBestHypo-AllergenicShampooForSensitiveDogs_470ml.jpg?v=1694974918
16,Vet’s Best Waterless Shampoo Dog Bath150ml,"Vet’s Best Waterless Shampoo Dog Bath150mlThe perfect solution in cold weather. also while travelling, or when water is unavailableA no-rinse foam dog shampoo that acts as a calming cleanser and moisturizer for your dog's skin and coat between baths.Formulated using natural ingredients such as aloe vera and neem oil and has a relaxing and calming fragrance.For use with dogs 12 weeks or older",Vet's Best,48.0,//aleef.com/cdn/shop/products/Vet_sBestWaterlessShampooDogBath150ml.jpg?v=1669622120
17,Espree Skin & Coat Care for Pets 354ml,Espree Skin & Coat Care for Pets 354ml Hydrates and Conditions Dry Skin Clean Fragrance A highly moisturizing spray infused with Aloe Vera to hydrate the coat. Made with 100% Organically Grown Aloe Vera Made in the USA,Espree,46.75,//aleef.com/cdn/shop/products/748406000445.jpg?v=1658654436
18,"Espree Simple Shed Shampoo, 591ml","Espree Simple Shed Shampoo, 591ml A gentle shampoo formulated to release loose hair and undercoat. Strengthen the hair shafts of viable strands to create the best coat condition Frequent use will reduce seasonal and non-seasonal shedding Made with 100% Organically Grown Aloe Vera Made in the USA",Espree,60.0,//aleef.com/cdn/shop/products/748406004214.jpg?v=1658654098
19,Buddy Splash Lavender & Mint  Spritzer & Conditioner 475 ml,"Buddy Splash Lavender & Mint Spritzer & Conditioner For Dogs 473 mLIngredientsDeionized water, natural conditioner base, aloe vera juice, the essence of lavender, the essence of mint, wheat protein extract (natural deodorizing agent), vitamin C, vitamin B5.",Buddy,65.0,//aleef.com/cdn/shop/products/693804154026.jpg?v=1658653851
20,"Crazy Dog  Shampoo  For Dogs and puppies, 355 mL","Crazy Dog   Shampoo  For Dogs and puppies, 355 mLKey BenefitsProfessional quality conditioning shampoo for puppies and adult dogs of all breeds.The gentle, non-stinging formula cleanses and moisturizes to keep your body clean.With Vitamin B5 to support a manageable layer and add soft shine.Conditioners with wheat protein to nourish hair from the inside out for a healthier coat.Baby fresh scent for long lasting odor control and holdability.PrecautionsIf your furry friend is using a topical flea and tick treatment, please remember to follow the bathing instructions on the flea and tick package. Each treatment works differently and may require different waiting times before exposure to water.",Crazy Dog,45.0,//aleef.com/cdn/shop/products/012104355122.jpg?v=1658653568
21,"Vet's Best Oatmeal Medicated Shampoo Dogs, 470mL","Introducing Vet's Best Oatmeal Medicated Shampoo for Dogs - the soothing solution for your furry friend's itchy, irritated skin. We understand that your dog's comfort and well-being are a top priority, and this specially formulated shampoo is designed to provide relief and promote healthy skin and a lustrous coat.


Vet's Best Oatmeal Medicated Shampoo Dogs Features:



Oatmeal Relief: Our medicated shampoo is enriched with natural colloidal oatmeal, which is known for its calming and moisturizing properties. It helps to soothe itching, dryness, and redness, providing immediate relief for your pet.
Medicated Formula: This shampoo contains salicylic acid and other carefully selected ingredients that work together to alleviate skin discomfort and promote healing. It's perfect for dogs with various skin issues, including allergies, dermatitis, and hot spots.
Gentle Cleansing: The mild, soap-free formula cleanses your dog's skin and coat without stripping away essential oils. It leaves your pet feeling clean, refreshed, and comfortable after every bath.
Natural Ingredients: We believe in the power of nature, so we've crafted this shampoo with carefully chosen natural ingredients, free from harsh chemicals, parabens, or artificial fragrances. It's safe for frequent use and suitable for dogs of all ages and breeds.



Ingredients:



Colloidal Oatmeal: Provides relief from itching and inflammation.
Salicylic Acid: Exfoliates and promotes healthy skin.
Tea Tree Oil: Antiseptic properties to combat skin issues.
Vitamin B5: Nourishes and hydrates the skin and coat.
Allantoin: Supports skin healing and regeneration.
Aloe Vera: Soothes and moisturizes the skin.



Directions for Use:



Wet Your Dog: Start by thoroughly wetting your dog's coat with warm water. Make sure to saturate the fur from head to tail.
Apply Shampoo: Dispense a generous amount of Vet's Best Oatmeal Medicated Shampoo into your hand and gently apply it to your dog's wet coat. Begin by massaging it into the skin, paying extra attention to problem areas. Work up a rich lather, and don't forget the paws and underbelly.
Massage and Wait: With your fingertips, massage the shampoo into your dog's skin for about 5-10 minutes. This allows the medicated formula to work its magic and provide maximum relief.
Rinse Thoroughly: Rinse your dog's coat thoroughly with warm water. Ensure that all the shampoo is completely rinsed out to avoid any residue.
Dry and Enjoy: Towel-dry your dog or let them shake off excess water. Follow up with a gentle brushing to keep the coat looking its best. Your furry friend is now ready to enjoy their clean, comfortable, and itch-free skin.

For best results, use Vet's Best Oatmeal Medicated Shampoo as needed, or as recommended by your veterinarian. Your dog deserves the very best, and with Vet's Best, you're providing them with the care and comfort they deserve. Say goodbye to itchiness and hello to a happy, healthy pup!
Aleef Store, The destination for your pet care supplies.",Vet's Best,82.0,//aleef.com/cdn/shop/files/Vet_sBestOatmealMedicatedShampooDogs_470mL.jpg?v=1695201092
22,Espree Puppy and Kitten Shampoo Baby Powder Fragrance,"Espree Puppy and Kitten Shampoo Baby Powder Fragrance

Premium Espree Puppy & Kitten Shampoo is super mild for tender skin, but doesn’t skimp on the clean. Features:
Cleans thoroughly without stripping the skin’s natural oils Hypoallergenic and tear free
Mild enough for even the most sensitive pets
Light, baby powder scent · Natural, cosmetic-grade ingredients
Safe for puppies, kittens and nursing or expectant mothers
Concentrated formula saves money and space, and reduces",Espree,270.0,//aleef.com/cdn/shop/products/EspreePuppyandKittenShampooBabyPowderFragrance1.jpg?v=1676887966
23,Back to black dog shampoo enriched with vitamins 250ml,"This shampoo is characterized by the presence of vitamins that nourish the hair of the jaws, and also contributes to maintaining the color and luster of the fur, it is used so that we wet the hair of the jaws with warm water, apply the shampoo and rub until a foam forms, and then wash the hair with water and dry it, avoid contact with the eyes and in any case Happen, wash your eyes",متجر اليف,50.0,//aleef.com/cdn/shop/products/Backtoblackdogshampooenrichedwithvitamins250ml_fb276e20-c322-477b-abbd-1f6006c14085.jpg?v=1667978991
24,Beaphar Veto PureBio Shampoo Cat And Dog 250ml,"Beaphar Veto PureBio Shampoo Cat And Dog 250mlFor your pet use natural oils. 
After applying the shampoo, the oils will be spread over the skin and through the coat of your pet, producing a fresh and hygienic effect.
Irritated skin will be soothed and itchiness and scratching reduced.",Beaphar,35.0,//aleef.com/cdn/shop/products/BeapharVetoPureBioShampooCatAndDog250ml.jpg?v=1664004857
25,Farm To Market Natural Aloe & Tea Tree Pet Shampoo For Dogs 592 ml,"Preparation instructionsShake well. Avoid direct eye contact. Massage shampoo into the fur from head to tail. Allow shampoo to sit for 5 minutes. Rinse until water runs clear.IngredientsContains Purified Water (Hydrator), Aloe Vera, Coconut Based Cleansers (Plant Derived), Goat's Milk, Panthenol (conditioner), Jojoba (moisturizer), Vitamins A, D, E, Tea Tree Oil, Salicylic Acid (Exfoliant).",Espree,40.8,//aleef.com/cdn/shop/products/748406006553.jpg?v=1658656696
26,Espree Sensitive Goat Milk Shampoo With Oatmeal And Soda For Sensitive Dogs Fresh Scent 591 ml,"Moisturizing the skin and furRemove unpleasant odorsMade with 100% organically grown aloe vera",Espree,58.0,//aleef.com/cdn/shop/products/748406030534.jpg?v=1658656670
