,Name,Description,Brand,Price,Image
0,"ZOLUX COSMIC Light BlueRope toy for Dogs, 3 knots","ZOLUX COSMIC Light BlueRope toyFor Dogs, 3 knots Dog chewing toy in polyester rope ""Cosmic"" 3 knots with a glittery effect. Beneficial for the development of the jaw. Allows interaction between the master and his dog. Promotes oral hygiene",Zolux,19.0,//aleef.com/cdn/shop/products/ZOLUXCOSMICLightBlueRopetoyForDogs_3knots.jpg?v=1663665550
1,Zolux Velvet Plush Dog Toy Freda The Frog,"FeaturesVelvet bodyCotton rope feetNylon eyes, mouth and backSqueakerKeep your dog entertained for hoursDimensions: 33 x 9 x 32cmSafetyIntended exclusively for petsTo be used under human supervisionCheck the condition of the toy regularly to avoid any danger of small pieces being swallowed by your petA damaged toy should be replaced with a new one",Zolux,33.0,//aleef.com/cdn/shop/products/3336024800638.jpg?v=1658654793
2,"Zolux Chewing Ball Toy For Dogs, With rope 7.5 cm in multiple colors","Zolux Chewing Ball Toy For Dogs, With rope 7.5 cm in multiple colorsIt's the perfect toy for your dog in his free time .. It's also good for the health of his teeth because it stimulates him to chew plus it got feathers which also stimulate him to play.Available in 3 colours Green, Orange, and Blue.""",Zolux,40.0,//aleef.com/cdn/shop/products/ZoluxChewingBallToyForDogs.jpg?v=1666866489
3,"Zolux Titan Rubber toy with a rope,  Yellow Colour For Dogs","Zolux Titan Rubber toy with a rope,  Yellow Colour For DogsExtremely resistant toy made of natural rubberThis material is not only durable but also friendly to the dog's teethThe specific shape allows you to use it as a dispenser of treats during games with the dogGrooves and protrusions on the surface help maintain the excellent oral hygiene of the dogIt is particularly resistant and can be used for both indoor and outdoor play",ZOLUX,30.0,//aleef.com/cdn/shop/products/ZoluxTitanRubbertoywitharopeYellowColourForDogs.jpg?v=1662797626
4,ZOLUX Plain Octopus Rope Toy,"Made of cotton and hempThe fibers of the rope contribute to maintaining your dog's oral hygieneThese tug toys are good for the development of your dog’s jaw, and provide some play time between you and your dog",Zolux,23.0,//aleef.com/cdn/shop/products/3336024803899.jpg?v=1658653476
5,ZOLUX WILD MIX Rope toy 3 Knots and a Wooden disc for Dogs,ZOLUX WILD MIX Rope toy 3 Knots and a Wooden disc for Dogs,Zolux,40.0,//aleef.com/cdn/shop/products/ZOLUXWILDMIXRopetoy3KnotsandaWoodendiscForDogs.jpg?v=1664091745
6,Zolux Chiquitos Sloth with a rope toy For Dogs,"Zolux Chiquitos Sloth with a rope toy For Dogs

Pillow in Lama animal shapes
plush made from 100% recycled materials.
It combines different shapes and sizes to introduce novelty and differentiation and meet the different needs, of caregivers and dogs.
Chiquitos are suitable for dogs of all breeds, sizes and ages.
The main function of toys is to stimulate the mental and emotional stimulation of the dog and to allow chewing. Playing with this type of object can also be an important factor in modifying undesirable behaviors.
Depending on the temperament of the animal, its habits and the amount and type of toys owned, stuffed animals can act as cuddly toys, which the animal will take care of due to its attachment to them.",Zolux,25.0,//aleef.com/cdn/shop/products/ZoluxChiquitosSlothwitharopetoyForDogs.jpg?v=1680686745
7,Zolux Maxou Toy with Rope for Dogs,"Zolux Maxou Toy with Rope for Dogs

A great way to keep your dog entertained and active.
Durable material that can withstand rough play
Easy to grip by both you and your dog.
Safe for your dog to chew on
This toy is perfect for dogs who love to play and chew.
It’s made of durable materials that can withstand even the toughest chewers.
The toy also makes a fun squeaking noise when squeezed, which will keep your puppy engaged and excited
Made of non-toxic materials
The toy comes in a variety of colours and shapes, so you can choose the one that best suits your dog’s personality.
The toy also makes a fun squeaking noise when squeezed, which will keep your puppy engaged and excited",Zolux,18.0,//aleef.com/cdn/shop/products/ZoluxToywithRopeforDogs.jpg?v=1681291573
8,ZOLUX  FOOTBALL WITH 10CM ROPE  TOY FOR DOGS,ZOLUX  FOOTBALL WITH 10CM ROPE  TOY FOR DOGS,ZOLUX,28.0,//aleef.com/cdn/shop/products/ZOLUXFOOTBALLWITH10CMROPETOYFORDOGS.jpg?v=1662797831
9,"Zolux Titan Rubber toy with a rope,  Red Colour For Dogs","Zolux Titan Rubber toy with a rope,  Red Colour For DogsExtremely resistant toy made of natural rubberThis material is not only durable but also friendly to the dog's teethThe specific shape allows you to use it as a dispenser of treats during games with the dogGrooves and protrusions on the surface help maintain the excellent oral hygiene of the dogIt is particularly resistant and can be used for both indoor and outdoor play",ZOLUX,30.0,//aleef.com/cdn/shop/products/ZoluxTitanRubbertoywitharopeRedColourForDogs.jpg?v=1662797235
10,زولكس لعبة حبل للكلاب,زولكس لعبة حبل للكلاب,Zolux,27.6,//aleef.com/cdn/shop/products/ZOLUXNATURECOILROPETOY.jpg?v=1668422494
11,"ZOLUX COSMIC Light BlueRope toyFor Dogs, 2 knots","ZOLUX COSMIC Light BlueRope toyFor Dogs, 2 knotsDog chewing toy in polyester rope ""Cosmic"" 3 knots with a glittery effect. Beneficial for the development of the jaw. Allows interaction between the master and his dog. Promotes oral hygiene.",Zolux,13.0,//aleef.com/cdn/shop/products/ZOLUXCOSMICLightBlueRopetoyForDogs_2knots.jpg?v=1663668434
12,زولكس وايلد لعبة حبل ملتوي ، 3 عقدة وقرص خشبي للكلاب,زولكس وايلد لعبة حبل ملتوي ، 3 عقدة وقرص خشبي للكلاب,Zolux,30.0,//aleef.com/cdn/shop/products/ZOLUXWILDTwistedRopetoy_3KnotsandawoodendiscForDogs.jpg?v=1664093350
13,ZOLUX  BASKETBALL WITH 10CM ROPE  TOY FOR DOGS,ZOLUX  BASKETBALL WITH 10CM ROPE  TOY FOR DOGS,ZOLUX,31.0,//aleef.com/cdn/shop/products/ZOLUXBASKETBALLWITH10CMROPETOYFORDOGS.jpg?v=1662797843
