,Name,Description,Brand,Price,Image
0,Altimate Pet  Fresh Scent Medium Size  45cm x 60cm  100Pads For Dogs,"Altimate Pet  Fresh Scent Medium Size  45cm x 60cm  100Pads For Dogs.potty pads are 100% leakproof, highly absorbent pads with fresh scents for enhanced odour control.Made with leak-proof multilayer technology, these heavy-duty pads are built to withstand overflow. The fast-drying top layer also prevents tracking, so you don’t have to worry about your pup stepping into his mess.Whether you are using them for puppy training or to assist ageing dogs, these pads are a great way to keep your floors clean and provide your furry friend with relief.",Altimate Pet,145.0,//aleef.com/cdn/shop/products/671875796642.jpg?v=1658653594
1,CatIdea Dog Tray,CatIdea Dog TrayMade of high quality plastic that is smooth and non-toxicEasy to use and clear and offer you and your dog a clean environmentRemovable pee pillar to help your male dogs aimSoft finishing - gentle on their pawsPrevents pee spillageNon-slip rubber mat to prevent slippingA good way to keep your house clean,Catidea,135.0,//aleef.com/cdn/shop/products/6921103070025.jpg?v=1658653614
2,Zolux Sanitary Pads For Dogs 20 Pads,Zolux Sanitary Pads. Functional Placing for absorbent sanitary pads.  These Pads complaint with zolux sanitary pants for dogs.The product contains only the Pads.Waist measurements:S-S: 18-23cm & 24-31cmS-L: 32-39cm & 40-49cmS-XL: 40-49cm - 50-59cm,Zolux,11.0,//aleef.com/cdn/shop/products/3336024772171.jpg?v=1658654803
3,Zolux Sanitary Pads For Dogs 20 Pads,Zolux Sanitary Pads. Functional Placing for absorbent sanitary pads.  These Pads complaint with zolux sanitary pants for dogs.The product contains only the Pads.Waist measurements:S-S: 18-23cm & 24-31cmS-L: 32-39cm & 40-49cmS-XL: 40-49cm - 50-59cm,Zolux,11.0,//aleef.com/cdn/shop/products/3336024772188.jpg?v=1658654802
4,Zolux Sanitary Pads For Dogs 20 Pads,Zolux Sanitary Pads. Functional Placing for absorbent sanitary pads.  These Pads complaint with zolux sanitary pants for dogs.The product contains only the Pads.Waist measurements:S-S: 18-23cm & 24-31cmS-L: 32-39cm & 40-49cmS-XL: 40-49cm - 50-59cm,Zolux,11.0,//aleef.com/cdn/shop/products/3336024772164.jpg?v=1658653675
5,Zolux puppy training 30mats,"Zolux puppy training 30mats This ultra-absorbent mat retains moisture thanks to its absorbent cells that leave the surface of the mat very dry, for optimal comfort of the animal.With its bottom and its anti-leakage barriers, this waterproof mat will protect the floors of the house.Ideal for puppies, this mat helps puppies learn how to cleanDimensions: 40 x 60cm (retains up to 250ml of moisture).",Zolux,35.0,//aleef.com/cdn/shop/products/3336024770177_4d4e0423-cb7f-464a-a202-e99c8e7ac64f.jpg?v=1658654807
6,Zolux Ultra-absorbent 60 x 60 cm,"Zolux Ultra-absorbent 60 x 60 cmmulti use pad is ideal for training your puppy thanks to absorbent cells,this pad can retain up to 400ml of dampness while the surface remains very dry for your pet maximum comfortthe pads are waterproofleakproof liner and bottom will protect the floors in your home",Zolux,45.0,//aleef.com/cdn/shop/products/3336024770184.jpg?v=1658654806
7,Zolux Ultra-absorbent 90 x 60 cm,"Zolux Ultra-absorbent 90 x 60 cmmulti-use pad is ideal for training your puppy thanks to absorbent cells,this pad can retain up to 400ml of dampness while the surface remains very dry for your pet maximum comfortthe pads are waterproofleakproof liner and bottom will protect the floors in your home",Zolux,75.0,//aleef.com/cdn/shop/products/3336024770191.jpg?v=1658653655
8,Inodorina Perfumed Training Pads 60X60 Wild Flowred Perfume,Super-absorbent Inodorina pads with odour-control polymers will keep your dog clean and your house free of accidents. The 100% virgin cellulose layer provides total absorption and helps to best spread liquids while odour-control polymers help prevent unwanted odours. The backing is 100% leak-proof.How to use:Place on the floor. Pay attention the plastic side with sticker should be facing down while the filtering side should be facing up,Inodorina,42.0,//aleef.com/cdn/shop/products/8031398127279.jpg?v=1658654052
9,"Simple Solution &nbsp;All Day Training Pads, &nbsp;For Dogs, Lavender Scent","Simple Solution  All Day Training Pads,  For Dogs, Lavender Scent


FOR DOGS OF ALL SIZES
SIZE: 58×60 CM
24 HOUR PROTECTION
ODOR NEUTRALIZER
6 LAYER ABSORBENCY
LEAKPROOF QUILTING


That perfect pad delivers the all-day dependability your busy lifestyle demands. Powered by InstaShield Technology, these lavender-scented premium dog pads hold up to 10 cups and eliminate odours to keep your home clean and smelling fresh. And they're guaranteed to work All Day!It's another Simple Solution to make pet parenting easier.
 
DIRECTIONS

Place on the floor, plastic side down and tissue side up
Introduce your dog to the pad and say a familiar command to encourage use If she doesn't relieve herself immediately, take her back several times until she is successful
When she relieves herself on the pad, reward her with a treat or enthusiastic praise 
Replace as needed


TRAINING TIPSEnsure the pad is accessible to your pet and away from her bed and food",Simple Solution,190.0,//aleef.com/cdn/shop/products/SimpleSolutionAllDayTrainingPads_ForDogs_LavenderScent.jpg?v=1671866895
10,سمبل سلوشن مفرش تدريب الجراء 55*56سم 56 حبه,,Simple Solution,110.0,//aleef.com/cdn/shop/products/010279906309.jpg?v=1658654960
11,سمبل سلوشن مفرش تدريب للجراء 55*56 سم 100 حبه,مفرش تدريب للجراء,Simple Solution,165.0,//aleef.com/cdn/shop/products/010279906316.jpg?v=1658654959
12,Inodorina Perfumed Training Pads 60X60 Wild Flowred Perfume,Super-absorbent Inodorina pads with odour-control polymers will keep your dog clean and your house free of accidents. The 100% virgin cellulose layer provides total absorption and helps to best spread liquids while odour-control polymers help prevent unwanted odours. The backing is 100% leak-proof.How to use:Place on the floor. Pay attention the plastic side with sticker should be facing down while the filtering side should be facing up,Inodorina,53.0,//aleef.com/cdn/shop/products/8031398127293.png?v=1658654304
13,Simple Solution Training Puppy Pads,"Simple Solution Training Puppy Pads MORE ABSORBENT - Simple Solution Dog and Puppy Training Pads are here to make housebreaking your puppy and living with incontinent dogs easier. They are 100% more absorbent than our standard economy pads. LEAK PROTECTION - These house training pads are 23 x 24 inches, with 6-layer construction that guarantees leak protection. Tiny dogs can make repeat visits, and very large dogs will be able to make one pit stop without worry. WE HAVE THE TECHNOLOGY - Only Simple Solution pads come with InstaShield Technology, which allows these dog pads to contain up to 6 cups of liquid while neutralizing unpleasant odors. Protect your floors and your sense of smell. WORKING SMARTER - Our 3-in-1 attractant works overtime to entice your pet to approach the pad, engages your pet with the pad, and encourages the pet to use the pad. KNOW AT A GLANCE - When the pad turns teal, you know it’s time to change the pad. Our wetness indicator does the work and keeps you in the know.",Simple Solution,57.8,//aleef.com/cdn/shop/products/010279906293.jpg?v=1658654963
14,إندورينا مفارش تدريب معطرة 10 قطع 60×90 سم,"إندورينا مفارش تدريب معطرة 10 قطع 60×90 سممفارش تدريب عالية الامتصاص معطرة للتحكم بالروائح الكريهة والقضاء عليها بتركيبة البوليمر للحفاض على نظافة حيوانك الاليف ومنزلك,بالإضافة الى طبقة السليلوز التي توفر الامتصاص العالي وتوزيع السوائل بشكل متساوي لامتصاص متكامل كما يقوم السليلوز بالقضاء على الروائح السيئةمثالة للتدريب الجراء والقطط الصغيرة على قضاء الحاجة في المكان المخصص",Inodorina,53.0,//aleef.com/cdn/shop/products/8031398125169.jpg?v=1658654305
15,Altimate Pet  Fresh Scent  Large size  60cm x 90cm  50 Pads For Dogs,"Altimate Pet  Fresh Scent  Large size  60cm x 90cm  50 Pads For Dogspotty pads are 100% leakproof, highly absorbent pads with fresh scents for enhanced odour control.Made with leak-proof multilayer technology, these heavy-duty pads are built to withstand overflow. The fast-drying top layer also prevents tracking, so you don’t have to worry about your pup stepping into his mess.Whether you are using them for puppy training or to assist ageing dogs, these pads are a great way to keep your floors clean and provide your furry friend with relief.",Altimate Pet,145.0,//aleef.com/cdn/shop/products/671875796666.jpg?v=1658653595
