,Name,Description,Brand,Price,Image
0,"Sanal Soft Sticks for Dogs, Lamb 12g&nbsp;","Sanal Soft Sticks for Dogs, Lamb 12g


Delicious soft sticks with 80% meat
Full of flavor
With vitamin A, D3, E and L-carnitine
Available in: lamb, poultry and beef",Sanal,6.0,//aleef.com/cdn/shop/products/SanalSoftSticksforDogsLamb.jpg?v=1672221883
1,Sanal Chicken Sushi Strips  Treats and Snacks  for dogs  80g,"Sanal Chicken Sushi Strips  Treats and Snacks  for dogs  80g
Feeding Instructions
1 piece for a small dog, 1-2 pieces for a medium dog and 2-3 pieces for a large dog daily as a reward.
- Delicious chicken and fish snack
- 100% natural
- Grain-free
- Low fat
- Supplementary food for adult dogs
- 80 grams
- In handy resealable packaging.
Analytical constituents:
- 30% crude protein
- 4.6% fat
- 4% ash
- 0.2% fibre
- 23% moisture",Sanal,16.0,//aleef.com/cdn/shop/products/SanalChickenSushiStripsTreatsandSnacksfordogs80g.jpg?v=1663572269
2,Sanal Duck Filet Treats and Snacks  for dogs  80g,"Sanal Duck Filet Treats and Snacks  for dogs  80g
Feeding Instructions: 
1 piece for a small dog, 1-2 pieces for a medium dog and 2-3 pieces for a large dog daily as a reward.
- Delicious duck snack
- 100% natural
- Grain-free
- Low fat
- Supplementary food for adult dogs
- 80 grams
- In handy resealable packaging.
Analytical constituents:
- 40% crude protein
- 3.5% crude fat
- 3% crude ash
- 1.5% crude fibers
- 18% moisture",Sanal,16.0,//aleef.com/cdn/shop/products/SanalDuckFiletTreatsandSnacksfordogs80g.jpg?v=1668592058
3,"Sanal Soft Sticks for Dogs, Beef 12g","Sanal Soft Sticks for Dogs, Beef 12g

tasty and healthy treats for dogs of all breeds and sizes.
Made with 80% fresh beef meat and enriched with vitamins A, D3, and E.
these soft sticks support your dog’s immune system, skin, and coat.
They are also grain-free, gluten-free, and free from artificial additives, making them suitable for dogs with sensitive stomachs or allergies.
they help maintain your dog’s dental and urinary health by reducing tartar and urinary stones.",Sanal,6.0,//aleef.com/cdn/shop/products/SanalSoftSticksforDogsBeef.jpg?v=1672220908
4,Sanal Chicken Fillet Strips Treats and Snacks for dogs 80g,"Sanal Chicken Fillet Strips Treats and Snacks for dogs 80g

Delicious chicken snack
100% natural
Grain-free
Low fat
Supplementary food for adult dogs
80 grams
In handy resealable packaging.

Analytical constituents:

40% crude protein
3.5% crude fat
3% crude ash
1.5% crude fibers
18% moisture

Feeding Instructions:1 piece for a small dog, 1-2 pieces for a medium dog and 2-3 pieces for a large dog daily as a reward.",Sanal,16.0,//aleef.com/cdn/shop/products/SanalChickenFilletStripsTreatsandSnacksfordogs80g.jpg?v=1676705159
5,Sanal Chicken Fillet Strips Treats and Snacks for dogs 80g,"Sanal Rice and Chicken Treats and Snacks for dogs  80g

Delicious chicken and rice snack
100% natural
Grain-free
Low fat
Supplementary food for adult dogs
In handy resealable packaging

Analytical constituents:

25% crude protein
4.5% crude fat
4% crude ash
0.2% crude fibers
18% moisture

Feeding Instructions:

1 piece for a small dog, 1-2 pieces for a medium dog and 2-3 pieces for a large dog daily as a reward.
Not suitable for dogs under 9 months old.",Sanal,16.0,//aleef.com/cdn/shop/products/SanalRiceandChickenTreatsandSnacksfordogs80g.jpg?v=1676705585
6,Inaba Churu Rolls Chicken wraps Dogs Treats 40g,"Inaba Churu Rolls Chicken wraps Dogs Treats 40g

Made with wholesome ingredients you can trust.
made with yummy high-quality ingredients, including farm-raised chicken and natural wild-caught tuna.
A soft baked chicken paste with no grains, preservatives, carrageenan, or artificial colours.
Perfect to use as a training treat- either break off a piece to teach or have them take a bite after each trick.
Creamy-filled dog treats are perfect for hiding medicine. Just squish the pill into the centre.
Soft, savoury, and healthy: Each stick contains 72% moisture for hydration and about 16 kcal making these a low-calorie treat you can feel good about feeding

INGREDIENTSChicken, Water, Tuna, Tapioca Starch, Egg White, Sodium Caseinate, Guar Gum, Natural Chicken Flavor, Yeast Extract, Vitamin E Supplement, Paprika Oleoresin (color), Green Tea ExtractGUARANTEED ANALYSIS

Protein (min) 22.00%
Fat (min) 3.00%
Fiber (max) 0.50%
Moisture (max) 72.00%
Vitamin E (min) 80 IU/kg

CALORIE CONTENT1300 kcal/kg, 15.6 kcal/stick MEFeeding Instructions

Feed as a treat to your dog. 
This product is not intended to be fed as a meal. 
Provide clean, fresh water daily. 
For your pet's health, see your veterinarian regularly.",Inaba,29.0,//aleef.com/cdn/shop/products/InabaChuruRollsChickenwrapsDogsTreats40g.jpg?v=1676704400
7,"Sanal Soft Sticks for Dogs, Chicken 12g","Sanal Soft Sticks for Dogs, Chicken 12g


Delicious soft sticks with 80% meat
 Full of flavor
 With vitamin A, D3, E and L-carnitine
 Available in: lamb, poultry and beef",Sanal,4.8,//aleef.com/cdn/shop/products/SanalSoftSticksforDogsChicken.jpg?v=1672221413
8,Sanal Chicken Bones Strips Treats and Snacks  for dogs  80g,"Sanal Chicken Bones Strips Treats and Snacks for dogs 80g

Delicious Chicken snack
100% natural
Grain-free
Low fat
Supplementary food for adult dogs
In handy resealable packaging.

Analytical constituents:

70% crude protein
3.5% crude fat
5.5% crude ash
1.2% crude fibers
18% moisture

Feeding Instructions:

1-2 pieces for a small dog, 2-3 pieces for a medium dog and 2-4 pieces for a large dog weekly as a reward.",Sanal,16.0,//aleef.com/cdn/shop/products/SanalChickenBonesStripsTreatsandSnacksfordogs80g.jpg?v=1676706815
9,Sanal Chicken Wrap Strips Treats and Snacks  for dogs  80g,"Sanal Chicken Wrap Strips Treats and Snacks for dogs 80g

Delicious Chicken snack
100% natural
Grain free
Low fat
Supplementary food for adult dogs
In handy resealable packaging.

Analytical constituents:

45% crude protein
3.5% crude fat
3.5% crude ash
1.5% crude fibers
20% moisture

Feeding Instructions:

1 piece for a small dog, 1-2 pieces for a medium dog and 2-3 pieces for a large dog daily as a reward.",Sanal,12.8,//aleef.com/cdn/shop/products/SanalChickenWrapStripsTreatsandSnacksfordogs80g.jpg?v=1676707174
10,Sanal Chicken & Fish Strips Treats and Snacks for dogs 80g,"Sanal Chicken & Fish Strips Treats and Snacks for dogs 80g

Delicious chicken and fish snack
100% natural
Grain-free
Low fat
Supplementary food for adult dogs
In handy resealable packaging

Analytical constituents:

28% crude protein
4.6% crude fat
4% crude ash
0.2% crude fibre
23% moisture

Feeding Instructions:

1 piece for a small dog, 1-2 pieces for a medium dog and 2-3 pieces for a large dog daily as a reward.",Sanal,16.0,//aleef.com/cdn/shop/products/SanalChicken_FishStripsTreatsfordogs80g.jpg?v=1676706440
11,Sanal Coachy Bones Chicken & Beef Cup 100g,"Ideal treatWith chicken and beefWith vitamins A, D3 and ESanal Coachy Bones are delicious and healthy treats for your dog. The Coachy Bones are a perfect rewarding system during your dog’s training or just for good behaviour. Sanal Coachy Bones contain chicken and beef and are full of vitamins A, D3 and E. The re-closable cup makes the product stay fresh for longer and guarantees a constant quality of the product",Sanal,16.0,//aleef.com/cdn/shop/files/8711908297004.jpg?v=1685778527
12,Zolux Chicken Sausages treats 100g,"Zolux Chicken Sausages treats 100gTreats Snack 'Zolux sticks are rich in chicken to the delight of your dog.They contain 67% chicken, which makes them a real pleasure snack or a delicious reward!",Zolux,20.0,//aleef.com/cdn/shop/products/3336024827840.jpg?v=1658653985
13,Sanal Calcium & Chicken Bones Strips Treats and Snacks  for dogs 80g,"Sanal Calcium & Chicken Bones Strips Treats and Snacks  for dogs 80g

Delicious chicken and calcium snack
100% natural
Grain-free
Low fat
Supplementary food for adult dogs
In handy resealable packaging.

Analytical constituents:

12% protein
4% fat
4% ash
0.2% fibers
18% moistur

Feeding Instructions:

1 piece for a small dog, 1-2 pieces for a medium dog and 2-3 pieces for a large dog daily as a reward.
Not suitable for dogs under 9 months old.",Sanal,16.0,//aleef.com/cdn/shop/products/SanalCalcium_ChickenBonesStripsTreatsandSnacksfordogs80g.jpg?v=1676705960
14,Zolux Sushi Dogs treats 100g,"Zolux Sushi Dogs treats 100gTreats Snack 'Zolux sticks are rich in chicken to the delight of your catThey contain 54% chicken, which makes them a real pleasure snack or a delicious reward!",Zolux,20.0,//aleef.com/cdn/shop/products/3336024827864.jpg?v=1658654754
15,Churu Bites Dogs Treats 8packs,"Churu Bites Dogs Treats 8packs ・Made with 100% pure and natural chicken meat and wild tuna ・Creamy Churu® filling inside, soft baked chicken paste outside ・No grains, preservatives or artificial colors ・Contains 8 individual packs for maximum freshness ・2 different textures in one bite",Inaba,29.0,//aleef.com/cdn/shop/products/850006715541.jpg?v=1658653889
16,Zolux Snack With Chicken 70 g,"Zolux Snack With Chicken 70gTreats Snack 'Zolux sticks are rich in chicken to the delight of your dog.They contain 67% chicken, which makes them a real pleasure snack or a delicious reward!",Zolux,20.0,//aleef.com/cdn/shop/products/3336024827703.jpg?v=1658653509
17,"Zolux Bone shaped chicken flavor treats for dogs, 70g","Zolux Bone shaped chicken flavor treats for dogs, 70g

Treats are rich in chicken to the delight of your dog.
They contain 72 % chicken, which makes them a real pleasure snack or a delicious reward!
Rich in chicken meat, this tasty treat will be a feast for your companion dog.
Food supplement for adult dogs.

Composition: 

chicken 72%, rawhide, glycerine, vegetable proteins, rice flour, and salt.

Instructions: 

Dog treats to give to your pet in addition to his daily
perfect as a diet. 
Always leave clean, fresh water
available for your pet.
Monitor your dog when you give him a treat.
Store in a cool, dry place, away from light.",Zolux,20.0,//aleef.com/cdn/shop/files/ZoluxBoneshapedchickenflavortreatsfordogs_70g.jpg?v=1684309189
18,Zolux Snack Chicken Sandwich for Dogs 100g,"Zolux Snack Chicken Sandwich for Dogs 100gTreats Snack 'Zolux sticks are rich in chicken to the delight of your dog.They contain 40% chicken, which makes them a real pleasure snack or a delicious reward!",Zolux,20.0,//aleef.com/cdn/shop/products/3336024827857.jpg?v=1658653965
19,Inaba Churu Rolls Chicken Recipe wraps Chicken with Cheese Recipe Dogs Treats 40g,"Inaba Churu Rolls Chicken Recipe wraps Chicken with Cheese Recipe Dogs Treats 40g

Made with wholesome ingredients you can trust.
made with yummy high-quality ingredients, including farm-raised chicken and natural wild-caught tuna.
A soft baked chicken paste with no grains, preservatives, carrageenan, or artificial colours.
Perfect to use as a training treat- either break off a piece to teach or have them take a bite after each trick.
Creamy-filled dog treats are perfect for hiding medicine. Just squish the pill into the centre.
Soft, savoury, and healthy: Each stick contains 72% moisture for hydration and about 16 kcal making these a low-calorie treat you can feel good about feeding


INGREDIENTSChicken, Water, Tuna, Tapioca Starch, Egg White, Sodium Caseinate, Cheese (Milk, Water, Phosphoric acid), Guar Gum, Natural Chicken Flavor, Yeast Extract, Vitamin E Supplement, Paprika Oleoresin (colour), Green Tea ExtractGUARANTEED ANALYSIS

Protein (min) 22.00%
Fat (min) 3.00%
Fiber (max) 0.50%
Moisture (max) 72.00%
Vitamin E (min) 80 IU/kg

CALORIE CONTENT1300 kcal/kg, 15.6 kcal/stick MEFeeding Instructions

Feed as a treat to your dog. 
This product is not intended to be fed as a meal. 
Provide clean, fresh water daily. 
For your pet's health, see your veterinarian regularly.",Inaba,29.0,//aleef.com/cdn/shop/products/InabaChuruRollsChickenRecipewrapsChickenwithCheeseRecipeDogsTreats40g.jpg?v=1676703067
20,"VETIQ  Healthy Treats For Skin and Coat Salmon Flavor For Dogs, 70g","VETIQ  Healthy Treats For Skin and Coat Salmon Flavor For Dogs, 70gHELPS SUPPORT SOFT SKIN, A SHINY COAT, AND A HEALTHY HEARTAvailable as a soft chewThe Omega-3 helps support cognitive health in ageing pets and healthy joint functionFlavoured for your dog to enjoyINGREDIENTSBrewers Dried Yeast, Tapioca Starch, Dried Sweet Whey, Glycerin, Spray Dried Chicken Liver, Fish Oil (preserved with Mixed Tocopherols), Sucrose, Molasses, Dried Ground Molasses, Pork Gelatin, Safflower Oil, Hydrolyzed Corn Protein, Lecithin, Biotin Supplement, Caramel Color, Dried Milk Protein, Hickory Smoke Flavor, Vitamin E Supplement, Zinc Proteinate, Mixed Tocopherols, Citric Acid (preservative), Vitamin A Supplement, Rosemary Extract.",Mark & Chappell,18.0,//aleef.com/cdn/shop/products/VETIQHealthyTreatsForSkinandCoatSalmonFlavorForDogs_70g.jpg?v=1667632466
21,Churu Bites Dogs Treats 8packs,"Churu Bites Dogs Treats 8packs ・Made with 100% pure and natural chicken meat and wild tuna ・Creamy Churu® filling inside, soft baked chicken paste outside ・No grains, preservatives or artificial colors ・Contains 8 individual packs for maximum freshness ・2 different textures in one bite",Inaba,29.0,//aleef.com/cdn/shop/products/850006715589.jpg?v=1658653888
22,"M&C Dog Treat Healthy Treats Breath & Dental Duck Flavour, 70g","M&C Dog Treat Healthy Treats Breath & Dental Duck Flavour, 70gComplementary feed for dogs and puppies. Crispy treats with a cereal wrapper and a delicious creamy filling that help remove tartar, keep your breath fresh, and gums and teeth healthy.ingredients: cereals, oils and fats (omega-3 fatty acids 1.2%, omega-6 fatty acids 3.2%), derivatives of plant origin, meat and animal derivatives (duck 4%), minerals. Additives per kg: seasonings. Antioxidant. Dye (E414 chlorophyll copper complex).",Mark & Chappell,18.0,//aleef.com/cdn/shop/products/M_CDogTreatHealthyTreatsBreath_DentalDuckFlavour_70g.jpg?v=1667633741
23,VetIQ Healthy Treats Joint & Hip for Dogs & Puppies 70g,"VetIQ Healthy Treats Joint & Hip for Dogs & Puppies 70g VetIQ Healthy Treats Joint & Hip are tasty treats designed to help support and maintain mobility in your pet’s joints. Each treat contains a unique blend of Glucosamine, Chondroitin and MSM that supports joints and their connective tissues, and are essential for healthy cartilage in joints.",Mark & Chappell,18.0,//aleef.com/cdn/shop/products/VetIQHealthyTreatsJoint_HipforDogs_Puppies70g.jpg?v=1666850809
24,Zolux Snack Duck Fillet for Dogs 70g,Zolux Snack Duck Fillet for Dogs 70gTreats Snack 'Zolux sticks are rich in duck to the delight of your dog.Duck enriched treats (89%) made with real pieces of duck. Resealable zip bag for freshness and optimal preservation of treats.,Zolux,20.0,//aleef.com/cdn/shop/products/3336024827727.jpg?v=1658653508
25,"VETIQ Healthy Teething Treats for Puppies, 50g","VETIQ Healthy Teething Treats for Puppies, 50gSoothe your pup's teething with delicious and healthy treats made with clove, chamomile and peppermint oils for fresh breath. The authentic chicken recipe contains Omega 3 & 6 fatty acids for improved skin and coat quality.Vitamin D3 helps aid the development of bones and joints during early development with Vitamin E added as a natural antioxidant. Designed to be easy to chew.Real chickenSuitable for teething puppiesVitamin D3 for bones and jointsVitamin A for improved eyesightVitamin E added as a natural antioxidantNo artificial colourants50g23 servings per pack",Mark & Chappell,18.0,//aleef.com/cdn/shop/products/VETIQHealthyTeethingTreatsforPuppies50g.jpg?v=1666426143
26,M&C Healthy Treats Nutri-Boosters For Puppies 50g,"M&C Healthy Treats Nutri-Boosters For Puppies 50g




Healthy Treats have been formulated by animal nutritionists to promote your pets wellbeing. Each treat is comprised of a delicious crispy cereal shell with a health enhancing cream filled centre. Healthy Treats Nutri-Boosters For Puppies support a you puppy’s immune system and build healthy teeth and bones.Rich in Calcium for healthy teeth and bone developmentSource of Prebiotic fibre for healthy digestionAntioxidants to support the immune systemLow in saturated fatsNo artificial coloursWith real chickenSuitable for puppies from 4 weeks of age",Mark & Chappell,18.0,//aleef.com/cdn/shop/products/M_CHealthyTreatsNutri-BoostersForPuppies50g.jpg?v=1667631990
27,Inaba Churu Rolls Chicken wraps with Salmon Dogs Treats 40g,"Inaba Churu Rolls Chicken wraps with Salmon Dogs Treats 40g

Made with wholesome ingredients you can trust.
made with yummy high-quality ingredients, including farm-raised chicken and natural wild-caught tuna.
A soft baked chicken paste with no grains, preservatives, carrageenan, or artificial colours.
Perfect to use as a training treat- either break off a piece to teach or have them take a bite after each trick.
Creamy-filled dog treats are perfect for hiding medicine. Just squish the pill into the centre.
Soft, savoury, and healthy: Each stick contains 72% moisture for hydration and about 16 kcal making these a low-calorie treat you can feel good about feeding


INGREDIENTSChicken, Water, Tuna, Tapioca Starch, Egg White, Sodium Caseinate, Salmon, Guar Gum, Natural Chicken Flavor, Yeast Extract, Vitamin E Supplement, Paprika Oleoresin (color), Green Tea ExtractGUARANTEED ANALYSIS

Protein (min) 22.00%
Fat (min) 3.00%
Fiber (max) 0.50%
Moisture (max) 72.00%
Vitamin E (min) 80 IU/kg

CALORIE CONTENT1300 kcal/kg, 15.6 kcal/stick MEFeeding Instructions

Feed as a treat to your dog. 
This product is not intended to be fed as a meal. 
Provide clean, fresh water daily. 
For your pet's health, see your veterinarian regularly.",Inaba,29.0,//aleef.com/cdn/shop/products/InabaChuruRollsChickenRecipewrapsChickenwithSalmonRecipeDogsTreats40g.jpg?v=1676703888
28,Nutri-Vet Glucosamine for Dogs: Hip & Joint Biscuits Peanut-Butter flavored,Nutri-Vet Hip & Joint Biscuits provide standardized levels of glucosamine for dogs in a crunchy wafer to help maintain healthy canine joint function and connective tissue. This peanut-butter flavored treat is veterinarian formulated to provide the best joint supplement for dogs.,Nutri-Vet,35.0,//aleef.com/cdn/shop/products/669125136621.jpg?v=1658655079
29,Zolux Snack With Chicken 90g,"Zolux Snack With Chicken 90gTreats Snack 'Zolux sticks are rich in chicken to the delight of your dog.They contain 67% chicken, which makes them a real pleasure snack or a delicious reward!",Zolux,22.0,//aleef.com/cdn/shop/products/3336024827772.jpg?v=1658653505
30,VET IQ Healthy Treats Intestinal aid with Chicken 50g,"VET IQ Healthy Treats Intestinal aid with Chicken 50gNatural control of intestinal hygieneWith seaweed containing natural Kainic acidAids nutrient absorption for gut healthVetIQ Healthy Treats Intestinal Aid are delicious treats will help maintain natural control of intestinal hygiene and help to create a less hospitable environment for worms to thrive.Containing a patented blend of brown, green and red seaweeds with scientifically proven results, VetIQ Healthy Treats Intestinal Aid also contains a source of prebiotic fibre for a healthy gut and digestion.Less than 3 calories per teatSuitable for dogs and puppies from 4 weeks of age",Mark & Chappell,18.0,//aleef.com/cdn/shop/products/750826005887.jpg?v=1658654656
31,Sanal Mini Bones Chicken & Beef Cups 100g,"Sanal Mini Bones are delicious and healthy small treats for your dog. Perfect for training or just to reward good behaviour. With chicken and beef supplemented with vitamin A, D3 and E. The re-closable cup makes the product stay fresh and guarantees a constant quality of the product.",Sanal,16.0,//aleef.com/cdn/shop/files/8711908297301.jpg?v=1685778790
