,Name,Description,Brand,Price,Image
0,Versele Laga Crispy Muesli - Rabbits,"Versele Laga Crispy Muesli - RabbitsTasty, fibre-rich high quality mixture for Rabbits Fiber-rich mixture for good digestive system and healthy teethEnriched with the ""Happy & Healthy"" pellet for optimum conditionEasy to use thanks to the handy resealable fresh pack.",Versele Laga,7.0,//aleef.com/cdn/shop/products/VerseleLagaCrispyMuesli-Rabbits.jpg?v=1666766179
1,ZuPreem Timothy Naturals Hay for Small Animals,"ZuPreem Timothy Naturals Hay for Samll Animals

A High-fiber daily nutrition for Small Animals, made with sun-cured timothy hay for healthy digestion. 
Contains a stable source of Vitamin C your guinea pig needs every day.
To support healthy digestion.

IngredientsSun-cured timothy hay, Soybean hulls, Dried alfalfa meal, Soybean meal, Wheat middlings, Dried molasses, Sodium bentonite, Flaxseeds, Salt
Guaranteed Analysis

Protein, min 14.0%
Fat, min 1.5%
Fiber, min 20.0%
Fiber, max 25.0%
Moisture, max 12%
Calcium, min 0.35%
Calcium, max 0.85%
Phosphorus, min 0.25%
Salt, min. 0.25%
Salt, max 0.75%

Feeding Directions

Adjust the amount fed to ensure your pet’s optimum body weight
Do not leave moistened food or hay in the habitat for more than 2 hours.
Store in a cool, dry place free of pests and insects.
Gently push air from bag and reclose after each use.",ZuPreem,33.0,//aleef.com/cdn/shop/products/ZuPreemTimothyNaturalsHayforSamllAnimals.jpg?v=1678357859
2,Versele-Laga Complete Cuni Junior 500g,"Versele-Laga Complete Cuni Junior 500gVersele-Laga Complete Cuni Junior is nutrition without worries. The tasty all-in-one pellets avoid selective feeding behaviour. That way your young rabbit gets all essential nutrients and stays perfectly healthy. The cereal-free food with long fibres has a higher calcium, protein and vitamin content - all the building blocks for optimal growth. Versele-Laga Complete Cuni Junior is developed by veterinarians, based on advanced scientific insights.All-in-one - prevents selective eating behaviourWithout cereals; high protein content, long fibres a.o. alfalfa hay, for optimum growthEnriched with herbs for an optimal functioning of stomach and bowel",Versele Laga,25.0,//aleef.com/cdn/shop/products/c6f09390cb9b8ac018ae70db3cce2acd8c62011f.jpg?v=1658655242
3,Versele Laga Crispy Muesli - Hamesters,"Versele Laga Crispy Muesli - Hamesters
Tasty, fibre-rich high quality mixture for Hamesters Fiber-rich mixture for good digestive system and healthy teethEnriched with the ""Happy & Healthy"" pellet for optimum conditionEasy to use thanks to the handy resealable fresh pack.",Versele Laga,30.0,//aleef.com/cdn/shop/products/VerseleLagaCrispyMuesli-Hamesters.jpg?v=1668588224
4,Versele Laga - Mountain Hay Mint 500g,"Versele Laga - Mountain Hay Mint 500g Mint formula mountain grass Added freshness, digestion and up to 30% fiber. Grass that grows in the mountains of Germany Especially in the Weaterwald and Eifel regions. From the geographical origin of Mountain Hay, the mountain has fine leaves. Low humidity, rich flavor Special formula, add mint to give a deep cool aroma Helps to feel refreshed Stimulate the energy It stimulates the digestive system as well. With a fine blade, it helps to polish your teeth perfectly.",Versele Laga,23.0,//aleef.com/cdn/shop/products/5410340241851.jpg?v=1658654179
5,Zolux Nutrimeal Meadow Orchard grass Hay For Small Animals,"Zolux Nutrimeal Meadow Raw Hay For Small Animals, 2.5Kg

its nutritional, aromatic and highly appetizing properties, our premium hay allows proper tooth wear and good digestive function owing to its fibre content.

Hay is tall grass suitable for young animals as well as other small animals

food for small pets such as rabbits, guinea pigs, hamsters, gerbils, mice, and rats
Rich in long fiber and its abrasive texture helps to grind down the teeth, keeping both the teeth and jaw in good order.
Low protein, high fiber, and high energy content which make it easily digestible
Harvest from Touraine
made in France

Composition

Grass (with timothy and fescue)
With added shoots of orchard grass

Analysis:

Crude fiber 29,9%
Mey protein 6,7%
Crude fat 1,5%
Crude ash 4,7%
Calcium 0,36%
Sodium 0,17%
Phosphorus 0,21%.

Instructions for use:

Offer your pet the equivalent to one handful
Hay daily Always provide access fresh, clean water. 
Keep the hay and protect it from sun light",Zolux,80.0,//aleef.com/cdn/shop/products/ZoluxNutrimealMeadowRawHayForSmallAnimals.jpg?v=1679994809
6,Versele Laga Crispy Muesli - Guinea Pigs,"Versele Laga Crispy Muesli - Guinea PigsTasty, fibre-rich high quality mixture for guinea pigsFiber-rich mixture for good digestive system and healthy teethEnriched with the ""Happy & Healthy"" pellet for optimum conditionEasy to use thanks to the handy resealable fresh pack.",Versele Laga,30.0,//aleef.com/cdn/shop/products/VerseleLagaCrispyMuesli-GuineaPigs.jpg?v=1665559965
7,Zolux NutriMeal Compound Food For Hamster,"Zolux NutriMeal Compound Food For Hamster


Formulated with a veterinarian,  Granules is a specific formula which promotes balanced nutrition while avoiding selective feeding. 
The granules contain 100% natural-origin raw materials, as an everyday feed for guinea pigs. 
Daily intake of hay, fresh fruit and vegetables rich in vitamin Chelp support perfectly balanced nutrition.


COMPOSITION:

Vegetable by-products, vegetables, cereals, mineral

ANALYTICAL CONSTITUENTS 

Crude fibre 6.20%, crude protein 17.10%, crude fat 4.20%, crude ash 3.40%, calcium 0.33%, phosphorus 0.42%, sodium 0.04%.

INSTRUCTIONS FOR USE: 

Make available daily in sufficient quantity. 
Clean the feeder every day and make sure clean, fresh water is available at all times. 
Use preferably before the 'Best before' date marked on the pack.",Zolux,13.0,//aleef.com/cdn/shop/products/ZoluxNutriMealCompoundFoodForHamster.jpg?v=1672728226
8,VERSELE-LAGA Mountain Hay- Herbs 500g,"Mountain hay with herbs Roughage for rabbits and rodents 100% natural product, high in fibre (>30 %), supports digestion and dental care Dust-free, sundried and with a wonderful scent",Versele Laga,20.7,//aleef.com/cdn/shop/products/5410340241806.jpg?v=1658654376
9,Versele Laga Crispy Muesli - Hamesters,"Versele Laga Crispy Muesli - HamestersTasty, fibre-rich high quality mixture for Hamesters Fiber-rich mixture for good digestive system and healthy teethEnriched with the ""Happy & Healthy"" pellet for optimum conditionEasy to use thanks to the handy resealable fresh pack.",Versele Laga,7.0,//aleef.com/cdn/shop/products/b8012bd922426511cd1b7617e9a1fd1f80881d96_170cca2f-c43f-4c23-8283-937438393a0f.jpg?v=1658656832
