,Name,Description,Brand,Price,Image
0,"Witte Molen Country Blossom hay & Dandelion Food For Small Animal, 500g","Elevate your small animal's daily nourishment with the exquisite Witte Molen Country Blossom Hay & Dandelion. Crafted with utmost care and precision, this premium blend offers your cherished pets an opportunity to indulge in the finest natural ingredients, promoting both their well-being and happiness.


Witte Molen Country Blossom hay & Dandelion Food For Small Animal Features:




Pure Natural Delight: Our Country Blossom Hay & Dandelion is sourced from the purest, sun-kissed fields, ensuring the highest quality for your small animals. We believe in providing them with a natural haven for their daily nourishment.


Rich in Nutrients: This carefully curated blend combines the nutritional benefits of aromatic hay and the herbal goodness of dandelions. It's packed with essential vitamins, minerals, and fiber, contributing to your pet's overall health.


Digestive Support: The high fiber content aids in proper digestion, helping to prevent gastrointestinal issues and promoting a happy, healthy tummy.


Dandelion Delight: Dandelions are known for their medicinal properties and are a natural source of vitamins A, C, and K. They also serve as a tasty treat for your small animals, adding variety to their diet.


Aromatic Enrichment: The natural scent of blossoming hay and dandelions adds a sensory dimension to your pet's environment, enhancing their daily routine.


Convenient Packaging: Available in a user-friendly package, our Country Blossom Hay & Dandelion is easy to store and dispense, ensuring freshness with every serving.


Give your small animals the ultimate dining experience with Witte Molen Country Blossom Hay & Dandelion. Whether you're looking to enhance their diet, provide them with a delectable treat, or simply show your affection, this blend is the perfect choice.
Aleef Store, The destination for your pet care supplies.",Witte Molen,16.15,//aleef.com/cdn/shop/files/WitteMolenCountryBlossomhay_DandelionFoodForSmallAnimal.jpg?v=1694608318
1,"Witte Molen Country rose blossom & Dandelion Food For Small Animal, 500g","Elevate your small animal's daily nourishment with the exquisite Witte Molen Country rose blossom Hay & Dandelion. Crafted with utmost care and precision, this premium blend offers your cherished pets an opportunity to indulge in the finest natural ingredients, promoting both their well-being and happiness.


Witte Molen Country rose blossom hay & Dandelion Food For Small Animal Features:




Pure Natural Delight: Our Country rose blossom Hay & Dandelion is sourced from the purest, sun-kissed fields, ensuring the highest quality for your small animals. We believe in providing them with a natural haven for their daily nourishment.


Rich in Nutrients: This carefully curated blend combines the nutritional benefits of aromatic hay and the herbal goodness of dandelions. It's packed with essential vitamins, minerals, and fiber, contributing to your pet's overall health.


Digestive Support: The high fiber content aids in proper digestion, helping to prevent gastrointestinal issues and promoting a happy, healthy tummy.


Dandelion Delight: Dandelions are known for their medicinal properties and are a natural source of vitamins A, C, and K. They also serve as a tasty treat for your small animals, adding variety to their diet.


Aromatic Enrichment: The natural scent of rose blossom hay and dandelions adds a sensory dimension to your pet's environment, enhancing their daily routine.


Convenient Packaging: Available in a user-friendly package, our Country rose blossom Hay & Dandelion is easy to store and dispense, ensuring freshness with every serving.


Give your small animals the ultimate dining experience with Witte Molen Country rose blossom Hay & Dandelion. Whether you're looking to enhance their diet, provide them with a delectable treat, or simply show your affection, this blend is the perfect choice.
Aleef Store, The destination for your pet care supplies.",Witte Molen,16.15,//aleef.com/cdn/shop/files/WitteMolenCountryroseblossom_DandelionFoodForSmallAnimal_500g.jpg?v=1700124888
2,Versel-Laga NATURE SNACK BERRIES 85ml,"Versel-Laga NATURE SNACK BERRIES 85ml Highly varied berry mix A delicious natural mixture including grapes, rosehips, juniper berries, ash berries and cranberries Very tasty composition for a good intake and smooth digestion Ideal snack for rabbits, herbivorous and omnivorous rodents",Versele Laga,20.0,//aleef.com/cdn/shop/products/5410340614341.jpg?v=1658654491
3,"Zolux Nutrimeal Premium Red Millet Stick Treats for Parakeet and Budgie, 115g","Zolux Nutrimeal Premium Vegetable Sticks Treats for Rabbit and Dwarf Rabbit, 115g
Balanced treats
100% natural and vet-approved formula
No additives or added sugar
Rich in vegetables 16.5% 
Composition:
Wheat, wheat flour, millet, rolled oats, mung beans 8.5%, dehydrated carrot 7%, pea flakes, oat groats, alfalfa, dehydrated beetroot 1%.
Analytical constituents:
fibre 3.10%.
protein 11.38%.
fat 2.99%.
ash 2.05%.
Feeding instructions:
1-2 per day
Along with the daily feeding quantity
Store in a dry place (30°C)away from direct sunlight",Zolux,12.0,//aleef.com/cdn/shop/products/ZoluxNutrimealPremiumVegetableSticksTreatsforRabbitandDwarfRabbit_110g.jpg?v=1681214744
4,"Zolux Nutrimeal Premium Red Millet Stick Treats for Parakeet and Budgie, 115g","Zolux Nutrimeal Premium Red Millet Stick Treats for Parakeet and Budgie, 115g
Balanced treats
100% natural and vet-approved formula
No additives or added sugar
Rich in carrot 25%
Composition:
Dehydrated carrot 25% wheat, wheat flour, millet, rolled oats, oat groats.
Analytical constituents:
fibre 3.10%.
protein 11.38%.
fat 2.99%.
ash 2.05%.
Feeding instructions:
1-2 per day
Along with the daily feeding quantity
Store in a dry place (30°C)away from direct sunlight",Zolux,12.0,//aleef.com/cdn/shop/products/ZoluxNutrimealPremiumCarrotSticksTreatsforRabbitandDwarfRabbit_110g.jpg?v=1681214305
5,Versele-Laga Crispy Crunchies Hay+Carrot,Versele-Laga Crispy Crunchies Hay+CarrotLight biscuits for rabbits and rodentsLight biscuits with hay and vegetablesCrispy fresh thanks to the freshpack,Versele Laga,14.0,//aleef.com/cdn/shop/products/098f85e638037db2f570da73797a2e8493a6eaec.jpg?v=1658656101
6,فيرسل لاقا كومبليت كروك بالتفاح للقوارض والأرانب 50 جرام,,Versele Laga,17.0,//aleef.com/cdn/shop/products/5410340613023.jpg?v=1658653549
7,Versel-Laga NATURE SNACK VEGGIES 85ml,"Highly varied vegetable mix , A delicious natural mixture including bell pepper, tomato, leek, parsnip, carrot, beetroot, etc. Very tasty composition for a good intake and smooth digestion, Ideal snack for rabbits, herbivorous and omnivorous rodents,",Versele Laga,14.45,//aleef.com/cdn/shop/products/5410340614334.jpg?v=1658654699
8,"Witte Molen Country Elderberry & Apple Sticks Treats For Small Animal, 110g","Give your beloved small animals a taste of orchard-fresh delight with Witte Molen Country Elderberry & Apple Sticks Treats. These meticulously crafted treats are designed to delight your pets' taste buds while providing them with essential vitamins and minerals for their well-being.


Witte Molen Country Elderberry & Apple Sticks Treats For Small Animal Features:




Irresistible Orchard Fusion: Our Elderberry & Apple Sticks combine the sweet and tangy flavors of ripe apples with the rich, earthy essence of elderberries. It's a taste sensation that will have your small animals begging for more.


Nutrient-Rich Ingredients: Witte Molen prioritizes quality, using only premium, all-natural ingredients. These sticks are loaded with vitamins, minerals, and fiber to support your pets' overall health and vitality.


Encourages Natural Foraging: Each stick is carefully crafted to stimulate your small animal's natural foraging instincts. Hang these treats in their habitat, and watch as they nibble and play, staying mentally and physically active.


Promotes Dental Health: Chewing on these sticks helps maintain your pet's dental health by naturally wearing down their teeth and preventing overgrowth.


Easy to Use: These sticks come with a convenient hanger, making it a breeze to hang them in your pet's enclosure. It's an engaging and hassle-free way to treat your furry companions.


Suitable for Various Small Animals: Witte Molen Country Elderberry & Apple Sticks are perfect for a wide range of small pets, including rabbits, guinea pigs, hamsters, gerbils, and more. Share the orchard-fresh goodness with all your little pals.


Resealable Packaging: Our thoughtful resealable packaging ensures freshness with every treat, so your pets can enjoy a delightful and nutritious snack each time.



Composition

cereals, seeds, fruits (3% elderberry, 3% cranberry, 3% apple)


Directions for use

Maximum 25% of the daily menu.



Treat your small animals to the flavors of the orchard and provide them with essential nutrients. Witte Molen Country Elderberry & Apple Sticks Treats are the perfect way to show your love and care for your furry friends. Bring the orchard to them today!
Aleef Store is the best destination for your pet care supplies.",Witte Molen,12.0,//aleef.com/cdn/shop/files/WitteMolenCountryElderberry_AppleSticksTreatsForSmallAnimal.jpg?v=1694523352
9,"Witte Molen Country Cranberry & Pear Sticks Treats For Small Animal, 110g","Give your beloved small animals a taste of the countryside with Witte Molen's Country Cranberry & Pear Sticks Treats. Crafted with love and care, these delectable treats are designed to provide not only a delightful snack but also essential nutrition to keep your pets healthy and happy.


Witte Molen Country Cranberry & Pear Sticks Treats For Small Animal Features:




All-Natural Goodness: Our Cranberry & Pear Sticks are made from the finest natural ingredients, ensuring a wholesome and nutritious treat for your small pets. We believe in providing the best, just like nature intended.


Irresistible Flavor: The combination of tangy cranberries and sweet pears creates a flavor explosion that your furry friends will adore. These sticks are a delightful way to pamper your pets and make their day a little brighter.


Healthy Snacking: Each stick is carefully crafted to balance taste and nutrition. Cranberries and pears bring a wealth of vitamins, antioxidants, and fiber to your pets' diet, promoting their overall well-being.


Promotes Dental Health: These sticks are not just tasty but also serve as a valuable dental aid. The natural chewing action helps maintain your small animal's dental hygiene by reducing the risk of dental issues.


Easy to Use: The sticks are conveniently portioned, making them an ideal treat for a variety of small animals, including rabbits, guinea pigs, hamsters, and more. Simply place the sticks in their habitat, and watch them enjoy their delicious treat.


Long-Lasting: Each pack contains multiple sticks, ensuring you have enough to treat your pets over an extended period. This means more joy and excitement for your furry companions.


Resealable Packaging: Our resealable packaging helps maintain freshness and ensures that every treat remains as delicious as the first one.



Composition


cereals, seeds, fruits (2% elderberry, 2% rosehip, 1,5% cranberry, 1,5% apple, 1,3% pear)


Directions for use


Maximum 25% of the daily menu.

Give your small animals the love and care they deserve with Witte Molen Country Cranberry & Pear Sticks Treats. Whether you want to reward good behavior, strengthen the bond with your pets, or simply provide them with a healthy snack, our treats are the perfect choice.
Aleef Store is the best destination for your pet care supplies.",Witte Molen,12.0,//aleef.com/cdn/shop/files/WitteMolenCountryCranberry_PearSticksTreatsForSmallAnimal_110g.jpg?v=1694595162
